,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
37547,2020,2019-20,1610612754,Indiana Pacers,1629048,Goga Bitadze,C,C,02-23-2020,21900843,TOR,IND,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.795,0,4,0,38
37551,2020,2019-20,1610612761,Toronto Raptors,1629744,Matt Thomas,G,SG,02-23-2020,21900843,TOR,IND,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.1100000000000003,7.395,26,4,0,43
37553,2020,2019-20,1610612754,Indiana Pacers,1628988,Aaron Holiday,G,PG,02-23-2020,21900843,TOR,IND,Made Shot,True,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,6.025,3,4,0,53
37556,2020,2019-20,1610612761,Toronto Raptors,1629052,Oshae Brissett,F,SF,02-23-2020,21900843,TOR,IND,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.885,1,4,1,10
37566,2020,2019-20,1610612754,Indiana Pacers,1628988,Aaron Holiday,G,PG,02-23-2020,21900843,TOR,IND,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.23,5.715,2,4,1,18
37569,2020,2019-20,1610612761,Toronto Raptors,1628778,Paul Watson,F,SF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.82,7.885,27,4,1,28
37573,2020,2019-20,1610612754,Indiana Pacers,1629048,Goga Bitadze,C,C,02-23-2020,21900843,TOR,IND,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.08,6.035,11,4,1,39
37580,2020,2019-20,1610612754,Indiana Pacers,1628988,Aaron Holiday,G,PG,02-23-2020,21900843,TOR,IND,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.11,5.885,1,4,2,6
37583,2020,2019-20,1610612761,Toronto Raptors,1629744,Matt Thomas,G,SG,02-23-2020,21900843,TOR,IND,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.47,5.975,24,4,2,17
37589,2020,2019-20,1610612761,Toronto Raptors,1629052,Oshae Brissett,F,SF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.43,5.965,4,4,2,19
37591,2020,2019-20,1610612754,Indiana Pacers,1628988,Aaron Holiday,G,PG,02-23-2020,21900843,TOR,IND,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.885,1,4,2,31
37595,2020,2019-20,1610612761,Toronto Raptors,1629744,Matt Thomas,G,SG,02-23-2020,21900843,TOR,IND,Made Shot,True,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.35,6.235,23,4,2,49
37599,2020,2019-20,1610612754,Indiana Pacers,1628993,Alize Johnson,F,PF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.935,2,4,2,55
37600,2020,2019-20,1610612761,Toronto Raptors,1626169,Stanley Johnson,F,PF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.27,8.565,28,4,3,17
37609,2020,2019-20,1610612761,Toronto Raptors,1626169,Stanley Johnson,F,PF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.925,1,4,3,24
37619,2020,2019-20,1610612761,Toronto Raptors,1626259,Malcolm Miller,F,SF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.39,7.875,25,4,3,48
37621,2020,2019-20,1610612754,Indiana Pacers,1628388,T.J. Leaf,,,02-23-2020,21900843,TOR,IND,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.39,6.395,7,4,3,57
37622,2020,2019-20,1610612761,Toronto Raptors,1629744,Matt Thomas,G,SG,02-23-2020,21900843,TOR,IND,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.5,8.325,29,4,4,14
37628,2020,2019-20,1610612761,Toronto Raptors,1629744,Matt Thomas,G,SG,02-23-2020,21900843,TOR,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.91,7.725,21,4,4,37
37633,2020,2019-20,1610612754,Indiana Pacers,203200,Justin Holiday,F,SF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.28,6.765000000000001,24,4,4,52
37634,2020,2019-20,1610612761,Toronto Raptors,1626259,Malcolm Miller,F,SF,02-23-2020,21900843,TOR,IND,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,6.095,23,4,5,3
37640,2020,2019-20,1610612754,Indiana Pacers,1629048,Goga Bitadze,C,C,02-23-2020,21900843,TOR,IND,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.815,0,4,5,16
37646,2020,2019-20,1610612761,Toronto Raptors,1626178,Rondae Hollis-Jefferson,F,PF,02-23-2020,21900843,TOR,IND,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.44,5.835,14,4,5,29
37652,2020,2019-20,1610612754,Indiana Pacers,1627734,Domantas Sabonis,F,PF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.25,6.255,5,4,5,52
37654,2020,2019-20,1610612761,Toronto Raptors,1629056,Terence Davis,G,SG,02-23-2020,21900843,TOR,IND,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.855,1,4,6,5
37665,2020,2019-20,1610612754,Indiana Pacers,203926,Doug McDermott,F,PF,02-23-2020,21900843,TOR,IND,Made Shot,True,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.37,6.295,6,4,6,42
37674,2020,2019-20,1610612754,Indiana Pacers,1627734,Domantas Sabonis,F,PF,02-23-2020,21900843,TOR,IND,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.16,5.815,1,4,7,1
37676,2020,2019-20,1610612761,Toronto Raptors,1628449,Chris Boucher,C,C,02-23-2020,21900843,TOR,IND,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,7,13
