,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
159637,2020,2019-20,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,11-13-2019,21900157,HOU,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.24,5.715,2,4,0,17
159648,2020,2019-20,1610612746,Los Angeles Clippers,101150,Lou Williams,G,PG,11-13-2019,21900157,HOU,LAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.14,6.825,15,4,0,29
159649,2020,2019-20,1610612745,Houston Rockets,2199,Tyson Chandler,C,C,11-13-2019,21900157,HOU,LAC,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.885,1,4,0,37
159653,2020,2019-20,1610612745,Houston Rockets,201566,Russell Westbrook,G,PG,11-13-2019,21900157,HOU,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,6.145,3,4,1,1
159656,2020,2019-20,1610612746,Los Angeles Clippers,203210,JaMychal Green,F,PF,11-13-2019,21900157,HOU,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,5.815,22,4,1,17
159669,2020,2019-20,1610612745,Houston Rockets,201935,James Harden,G,SG,11-13-2019,21900157,HOU,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.65,8.325,26,4,1,31
159674,2020,2019-20,1610612746,Los Angeles Clippers,101150,Lou Williams,G,PG,11-13-2019,21900157,HOU,LAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.05,7.425,16,4,1,41
159684,2020,2019-20,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,11-13-2019,21900157,HOU,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.42,8.105,27,4,2,6
159688,2020,2019-20,1610612745,Houston Rockets,200782,P.J. Tucker,F,PF,11-13-2019,21900157,HOU,LAC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.27,6.295,13,4,2,29
159693,2020,2019-20,1610612745,Houston Rockets,203085,Austin Rivers,G,SG,11-13-2019,21900157,HOU,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.21,8.135,26,4,2,46
