,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
180982,2020,2019-20,1610612747,Los Angeles Lakers,1626188,Quinn Cook,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.945,2,4,0,25
180984,2020,2019-20,1610612747,Los Angeles Lakers,203584,Troy Daniels,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.7399999999999998,7.745,26,4,0,49
180985,2020,2019-20,1610612766,Charlotte Hornets,1628998,Cody Martin,F,SF,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.945,1,4,0,57
180988,2020,2019-20,1610612747,Los Angeles Lakers,203584,Troy Daniels,G,SG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.56,7.795,25,4,1,5
180994,2020,2019-20,1610612747,Los Angeles Lakers,1626188,Quinn Cook,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.03,6.9350000000000005,11,4,1,19
180996,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,6.235,5,4,1,31
181000,2020,2019-20,1610612747,Los Angeles Lakers,203584,Troy Daniels,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.41,5.985,24,4,1,44
181001,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.965,1,4,2,9
181017,2020,2019-20,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,6.095,3,4,2,35
181019,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.5900000000000001,8.385,26,4,2,56
181021,2020,2019-20,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.985,2,4,3,12
181023,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.76,8.185,25,4,3,33
181032,2020,2019-20,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.96,7.705,21,4,4,5
181044,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.3199999999999998,8.075,26,4,4,29
181046,2020,2019-20,1610612747,Los Angeles Lakers,1626188,Quinn Cook,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.49,8.145,27,4,4,46
181051,2020,2019-20,1610612766,Charlotte Hornets,101107,Marvin Williams,F,PF,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.39,7.135,14,4,11,0
181055,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.24,5.885,2,4,5,8
181059,2020,2019-20,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.35,7.325,15,4,5,27
181066,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,10-27-2019,21900040,LAL,CHA,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,5,43
181067,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,5.725,0,4,5,44
181072,2020,2019-20,1610612747,Los Angeles Lakers,2730,Dwight Howard,C,C,10-27-2019,21900040,LAL,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,6.025,2,4,5,59
181073,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,10-27-2019,21900040,LAL,CHA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.775,0,4,6,23
181075,2020,2019-20,1610612747,Los Angeles Lakers,202340,Avery Bradley,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.83,7.685,26,4,6,30
181080,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.98,8.195,26,4,6,57
181082,2020,2019-20,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.19,8.004999999999999,25,4,7,15
181084,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,10-27-2019,21900040,LAL,CHA,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.915,1,4,7,27
181085,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.82,8.754999999999999,30,4,7,33
181089,2020,2019-20,1610612747,Los Angeles Lakers,1626188,Quinn Cook,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.27,7.915,24,4,7,49
181097,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.11,6.515000000000001,7,4,8,2
181106,2020,2019-20,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.29,8.025,25,4,8,25
181110,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.18,7.245,14,4,8,35
181111,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3600000000000003,6.505,24,4,8,44
181113,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.18,6.305,5,4,8,55
181115,2020,2019-20,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.3,8.425,26,4,9,5
181121,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.27,8.135,26,4,9,18
181123,2020,2019-20,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,6.045,2,4,9,30
181128,2020,2019-20,1610612766,Charlotte Hornets,1628370,Malik Monk,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.18,5.885,2,4,9,48
181131,2020,2019-20,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.16,6.055,3,4,9,57
181135,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,10-27-2019,21900040,LAL,CHA,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.865,1,4,10,8
181137,2020,2019-20,1610612747,Los Angeles Lakers,2730,Dwight Howard,C,C,10-27-2019,21900040,LAL,CHA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,6.145,3,4,10,18
181144,2020,2019-20,1610612766,Charlotte Hornets,1628370,Malik Monk,G,SG,10-27-2019,21900040,LAL,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.995,2,4,10,32
