,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
180998,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.815,0,4,0,12
181004,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-27-2019,21900039,MIN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.13,7.175,25,4,0,19
181016,2020,2019-20,1610612748,Miami Heat,1626159,Justise Winslow,G,SG,10-27-2019,21900039,MIN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.67,8.225,25,4,0,24
181028,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3,6.045,23,4,0,41
181034,2020,2019-20,1610612748,Miami Heat,1628389,Bam Adebayo,F,PF,10-27-2019,21900039,MIN,MIA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.975,2,4,1,1
181037,2020,2019-20,1610612750,Minnesota Timberwolves,203496,Robert Covington,F,PF-C,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.8400000000000001,8.285,26,4,1,16
181043,2020,2019-20,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,10-27-2019,21900039,MIN,MIA,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.08,7.245,25,4,1,45
181050,2020,2019-20,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,10-27-2019,21900039,MIN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.05,8.495000000000001,27,4,2,19
181053,2020,2019-20,1610612748,Miami Heat,1626159,Justise Winslow,G,SG,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.27,6.125,4,4,2,43
181058,2020,2019-20,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,10-27-2019,21900039,MIN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.94,8.295,26,4,2,56
181060,2020,2019-20,1610612748,Miami Heat,1628389,Bam Adebayo,F,PF,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.03,6.405,6,4,3,9
181063,2020,2019-20,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,10-27-2019,21900039,MIN,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.15,6.085,3,4,3,28
181083,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.06,8.225,26,4,4,12
181087,2020,2019-20,1610612748,Miami Heat,1629134,Kendrick Nunn,G,PG,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3600000000000003,6.325,24,4,4,29
181092,2020,2019-20,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.98,8.205,26,4,4,49
181095,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,10-27-2019,21900039,MIN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.23,5.915,22,4,5,10
181099,2020,2019-20,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.11,8.475,27,4,5,21
181100,2020,2019-20,1610612748,Miami Heat,1626159,Justise Winslow,G,SG,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.27,6.565,8,4,5,36
181103,2020,2019-20,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,10-27-2019,21900039,MIN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.92,7.495,25,4,5,52
181105,2020,2019-20,1610612748,Miami Heat,1626159,Justise Winslow,G,SG,10-27-2019,21900039,MIN,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.835,0,4,6,8
181109,2020,2019-20,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,10-27-2019,21900039,MIN,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.15,8.375,26,4,6,25
181119,2020,2019-20,1610612750,Minnesota Timberwolves,1626203,Treveon Graham,F,SF,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.35,6.465,7,4,6,55
181126,2020,2019-20,1610612748,Miami Heat,201609,Goran Dragic,G,PG,10-27-2019,21900039,MIN,MIA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.13,6.905,11,4,7,15
181129,2020,2019-20,1610612750,Minnesota Timberwolves,203943,Noah Vonleh,C,C,10-27-2019,21900039,MIN,MIA,Made Shot,True,Turnaround Bank Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2799999999999999,6.005,3,4,7,37
181130,2020,2019-20,1610612748,Miami Heat,1626159,Justise Winslow,G,SG,10-27-2019,21900039,MIN,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,5.885,1,4,7,53
181133,2020,2019-20,1610612750,Minnesota Timberwolves,201952,Jeff Teague,G,PG,10-27-2019,21900039,MIN,MIA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.08,6.395,6,4,8,9
