,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
6189,2020,2019-20,1610612748,Miami Heat,2738,Andre Iguodala,F,SF,08-08-2020,21901283,MIA,PHX,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.65,7.995,27,4,0,0
6194,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,08-08-2020,21901283,MIA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.35,8.155000000000001,27,4,0,10
6202,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,08-08-2020,21901283,MIA,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,5.805,3,4,0,12
6221,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,08-08-2020,21901283,MIA,PHX,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.18,7.955,21,4,0,50
6223,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,08-08-2020,21901283,MIA,PHX,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.64,8.265,29,4,1,8
6230,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,08-08-2020,21901283,MIA,PHX,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.805,0,4,1,17
6231,2020,2019-20,1610612748,Miami Heat,1628389,Bam Adebayo,F,PF,08-08-2020,21901283,MIA,PHX,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.02,6.405,6,4,1,35
6233,2020,2019-20,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,08-08-2020,21901283,MIA,PHX,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,1,57
6237,2020,2019-20,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,08-08-2020,21901283,MIA,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.945,1,4,1,57
6238,2020,2019-20,1610612748,Miami Heat,1629639,Tyler Herro,G,SG,08-08-2020,21901283,MIA,PHX,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,6.045,3,4,2,19
6243,2020,2019-20,1610612756,Phoenix Suns,201937,Ricky Rubio,G,PG,08-08-2020,21901283,MIA,PHX,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.19,5.805,1,4,2,29
6247,2020,2019-20,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,08-08-2020,21901283,MIA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.49,8.125,27,4,2,50
6251,2020,2019-20,1610612748,Miami Heat,2738,Andre Iguodala,F,SF,08-08-2020,21901283,MIA,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.29,6.655,24,4,3,26
6256,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,08-08-2020,21901283,MIA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.23,5.975,22,4,3,47
