,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
106500,2020,2019-20,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-25-2019,21900456,PHI,MIL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.47,8.135,27,4,0,36
106502,2020,2019-20,1610612755,Philadelphia 76ers,201143,Al Horford,C,C,12-25-2019,21900456,PHI,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.34,6.825,25,4,0,43
106503,2020,2019-20,1610612755,Philadelphia 76ers,1626196,Josh Richardson,G,SG,12-25-2019,21900456,PHI,MIL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.08,8.405000000000001,26,4,0,59
106508,2020,2019-20,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-25-2019,21900456,PHI,MIL,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.89,8.375,27,4,1,20
106513,2020,2019-20,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,12-25-2019,21900456,PHI,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.56,7.795,25,4,1,28
106517,2020,2019-20,1610612749,Milwaukee Bucks,1628425,Sterling Brown,F,SF,12-25-2019,21900456,PHI,MIL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.835,0,4,1,52
106521,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,12-25-2019,21900456,PHI,MIL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.97,7.355,18,4,2,3
106523,2020,2019-20,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-25-2019,21900456,PHI,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.55,8.305,25,4,2,25
106527,2020,2019-20,1610612755,Philadelphia 76ers,1627732,Ben Simmons,G,PG,12-25-2019,21900456,PHI,MIL,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.0699999999999999,7.085,13,4,2,36
106532,2020,2019-20,1610612749,Milwaukee Bucks,1628425,Sterling Brown,F,SF,12-25-2019,21900456,PHI,MIL,Made Shot,True,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.22,5.765,2,4,2,51
106536,2020,2019-20,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,12-25-2019,21900456,PHI,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.39,7.965,25,4,3,0
106538,2020,2019-20,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,12-25-2019,21900456,PHI,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.87,7.685,26,4,3,27
106545,2020,2019-20,1610612755,Philadelphia 76ers,201143,Al Horford,C,C,12-25-2019,21900456,PHI,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.53,8.325,26,4,3,39
