,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
90903,2020,2019-20,1610612740,New Orleans Pelicans,202324,Derrick Favors,C,C,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.995,2,2,0,24
90911,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.795,1,4,0,1
90912,2020,2019-20,1610612762,Utah Jazz,202711,Bojan Bogdanovic,F,SF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.43,8.325,25,4,0,7
90914,2020,2019-20,1610612740,New Orleans Pelicans,200755,JJ Redick,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.92,6.985,22,4,0,29
90918,2020,2019-20,1610612762,Utah Jazz,1626220,Royce O'Neale,F,SF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.935,23,4,0,39
90923,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.12,7.425,19,4,0,58
90924,2020,2019-20,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.19,7.075,13,4,1,12
90927,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.39,8.254999999999999,25,4,1,28
90930,2020,2019-20,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.29,5.975,3,4,1,37
90956,2020,2019-20,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,01-06-2020,21900544,NOP,UTA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.665,1,4,2,26
90960,2020,2019-20,1610612740,New Orleans Pelicans,202734,E'Twaun Moore,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.14,7.115,25,4,2,42
90964,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.875,1,4,2,45
90977,2020,2019-20,1610612740,New Orleans Pelicans,1628366,Lonzo Ball,G,PG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.03,8.235,26,4,3,15
91010,2020,2019-20,1610612762,Utah Jazz,202711,Bojan Bogdanovic,F,SF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,5.805,0,4,4,23
91016,2020,2019-20,1610612740,New Orleans Pelicans,200755,JJ Redick,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.0,8.045,22,4,4,46
91028,2020,2019-20,1610612762,Utah Jazz,202711,Bojan Bogdanovic,F,SF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1699999999999999,5.785,1,4,5,0
91036,2020,2019-20,1610612740,New Orleans Pelicans,202324,Derrick Favors,C,C,01-06-2020,21900544,NOP,UTA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.765,1,4,5,11
91039,2020,2019-20,1610612762,Utah Jazz,202711,Bojan Bogdanovic,F,SF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.6900000000000001,8.185,25,4,5,28
91059,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.18,7.255,14,4,6,2
91064,2020,2019-20,1610612740,New Orleans Pelicans,1628404,Josh Hart,F,SF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.16,7.605,18,4,6,19
91066,2020,2019-20,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.77,7.045,14,4,6,31
91072,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.27,7.955,25,4,6,46
91077,2020,2019-20,1610612762,Utah Jazz,202711,Bojan Bogdanovic,F,SF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.16,5.835,1,4,7,5
91084,2020,2019-20,1610612740,New Orleans Pelicans,1629638,Nickeil Alexander-Walker,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,5.875,23,4,7,35
91091,2020,2019-20,1610612740,New Orleans Pelicans,1629638,Nickeil Alexander-Walker,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.25,5.845,22,4,7,40
91100,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,6.035,2,4,7,48
91106,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.64,6.785,11,4,7,54
91134,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.935,1,4,8,1
91139,2020,2019-20,1610612740,New Orleans Pelicans,202734,E'Twaun Moore,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.03,6.395,6,4,8,19
91142,2020,2019-20,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,01-06-2020,21900544,NOP,UTA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.805,0,4,8,32
91148,2020,2019-20,1610612740,New Orleans Pelicans,1628404,Josh Hart,F,SF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.96,7.465,25,4,8,44
91169,2020,2019-20,1610612740,New Orleans Pelicans,202734,E'Twaun Moore,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.11,5.765,1,4,9,13
91175,2020,2019-20,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.96,6.775,13,4,9,36
91192,2020,2019-20,1610612762,Utah Jazz,204060,Joe Ingles,F,PF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.32,6.225,23,4,10,17
91194,2020,2019-20,1610612740,New Orleans Pelicans,202734,E'Twaun Moore,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Floating Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.135,3,4,10,24
91199,2020,2019-20,1610612762,Utah Jazz,1627777,Georges Niang,F,PF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.18,7.025,25,4,10,45
91208,2020,2019-20,1610612740,New Orleans Pelicans,1628366,Lonzo Ball,G,PG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.23,5.925,2,4,10,52
91211,2020,2019-20,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.24,5.755,2,4,11,7
91214,2020,2019-20,1610612740,New Orleans Pelicans,202734,E'Twaun Moore,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.46,5.935,4,4,11,24
91218,2020,2019-20,1610612762,Utah Jazz,204060,Joe Ingles,F,PF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.16,5.815,1,4,11,44
91240,2020,2019-20,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.79,8.385,27,3,0,1
91260,2020,2019-20,1610612740,New Orleans Pelicans,200755,JJ Redick,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.5699999999999998,7.815,25,3,0,20
91267,2020,2019-20,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.71,7.155,15,3,0,40
91274,2020,2019-20,1610612740,New Orleans Pelicans,200755,JJ Redick,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.11,5.775,1,3,1,1
91278,2020,2019-20,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.19,7.915,24,3,1,15
91281,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.5,7.835,25,3,1,27
91284,2020,2019-20,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-06-2020,21900544,NOP,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.1,8.035,25,3,1,37
91288,2020,2019-20,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,PF,01-06-2020,21900544,NOP,UTA,Made Shot,True,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.06,6.635,8,3,1,53
91290,2020,2019-20,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,SG,01-06-2020,21900544,NOP,UTA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.02,6.335,11,3,2,15
