,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
179006,2020,2019-20,1610612760,Oklahoma City Thunder,201568,Danilo Gallinari,F,PF,10-28-2019,21900045,HOU,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.88,7.745,27,4,0,0
179011,2020,2019-20,1610612760,Oklahoma City Thunder,1628983,Shai Gilgeous-Alexander,G,SG,10-28-2019,21900045,HOU,OKC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.31,5.885,3,4,0,9
179026,2020,2019-20,1610612760,Oklahoma City Thunder,1628983,Shai Gilgeous-Alexander,G,SG,10-28-2019,21900045,HOU,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.01,7.515,26,4,0,15
179032,2020,2019-20,1610612760,Oklahoma City Thunder,1628983,Shai Gilgeous-Alexander,G,SG,10-28-2019,21900045,HOU,OKC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.06,7.465,26,4,0,19
179034,2020,2019-20,1610612760,Oklahoma City Thunder,1628983,Shai Gilgeous-Alexander,G,SG,10-28-2019,21900045,HOU,OKC,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.85,6.115,9,4,0,46
179037,2020,2019-20,1610612745,Houston Rockets,200782,P.J. Tucker,F,PF,10-28-2019,21900045,HOU,OKC,Made Shot,True,Jump Bank Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,6.045,23,4,0,54
179041,2020,2019-20,1610612745,Houston Rockets,201935,James Harden,G,SG,10-28-2019,21900045,HOU,OKC,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.96,7.495,26,4,1,4
179043,2020,2019-20,1610612760,Oklahoma City Thunder,101108,Chris Paul,G,PG,10-28-2019,21900045,HOU,OKC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.32,6.405,7,4,1,23
179065,2020,2019-20,1610612760,Oklahoma City Thunder,101108,Chris Paul,G,PG,10-28-2019,21900045,HOU,OKC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.78,8.355,26,4,1,47
179069,2020,2019-20,1610612760,Oklahoma City Thunder,101108,Chris Paul,G,PG,10-28-2019,21900045,HOU,OKC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.37,7.995,26,4,2,23
