,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
57491,2020,2019-20,1610612755,Philadelphia 76ers,1629015,Zhaire Smith,F,SF,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,6.165,23,4,0,28
57498,2020,2019-20,1610612755,Philadelphia 76ers,203504,Trey Burke,G,PG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.63,7.895,26,4,0,49
57501,2020,2019-20,1610612755,Philadelphia 76ers,203504,Trey Burke,G,PG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.47,8.045,27,4,1,5
57503,2020,2019-20,1610612755,Philadelphia 76ers,203526,Raul Neto,G,PG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.96,7.345,25,4,1,18
57505,2020,2019-20,1610612738,Boston Celtics,1629605,Tacko Fall,C,C,02-01-2020,21900732,BOS,PHI,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.18,6.015,3,4,1,27
57516,2020,2019-20,1610612755,Philadelphia 76ers,1629680,Matisse Thybulle,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.25,5.955,22,4,2,7
57520,2020,2019-20,1610612738,Boston Celtics,202954,Brad Wanamaker,G,PG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.78,6.675,11,4,2,19
57532,2020,2019-20,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.93,8.375,27,4,2,38
57534,2020,2019-20,1610612755,Philadelphia 76ers,203504,Trey Burke,G,PG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.905,1,4,3,1
57549,2020,2019-20,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.16,5.825,1,4,3,16
57554,2020,2019-20,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.46,5.975,5,4,3,32
57574,2020,2019-20,1610612738,Boston Celtics,1628369,Jayson Tatum,F,PF,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.06,8.125,25,4,3,39
57580,2020,2019-20,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.96,7.415,25,4,3,54
57585,2020,2019-20,1610612738,Boston Celtics,202954,Brad Wanamaker,G,PG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.87,7.825,27,4,3,57
57593,2020,2019-20,1610612738,Boston Celtics,202954,Brad Wanamaker,G,PG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.69,7.925,27,4,4,45
57597,2020,2019-20,1610612755,Philadelphia 76ers,203504,Trey Burke,G,PG,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.25,6.045,3,4,4,49
57605,2020,2019-20,1610612738,Boston Celtics,202954,Brad Wanamaker,G,PG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.695,0,4,5,5
57617,2020,2019-20,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.16,7.325,15,4,5,18
57637,2020,2019-20,1610612738,Boston Celtics,203935,Marcus Smart,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.19,7.275,15,4,6,2
57673,2020,2019-20,1610612755,Philadelphia 76ers,201143,Al Horford,C,C,02-01-2020,21900732,BOS,PHI,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,6.025,2,4,6,42
57677,2020,2019-20,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.05,6.345,11,4,6,46
57685,2020,2019-20,1610612738,Boston Celtics,202330,Gordon Hayward,F,SF,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.44,6.705,10,4,7,12
57687,2020,2019-20,1610612755,Philadelphia 76ers,1627788,Furkan Korkmaz,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.26,6.615,24,4,7,26
57708,2020,2019-20,1610612738,Boston Celtics,203935,Marcus Smart,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.1,6.575,8,4,7,40
57723,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.87,7.515,25,4,8,2
57727,2020,2019-20,1610612738,Boston Celtics,1628369,Jayson Tatum,F,PF,02-01-2020,21900732,BOS,PHI,Made Shot,True,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,5.965,23,4,8,9
57731,2020,2019-20,1610612755,Philadelphia 76ers,203118,Mike Scott,F,PF,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.41,5.895,4,4,8,22
57754,2020,2019-20,1610612755,Philadelphia 76ers,1629003,Shake Milton,G,SG,02-01-2020,21900732,BOS,PHI,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.24,5.835,2,4,9,1
57759,2020,2019-20,1610612738,Boston Celtics,1628369,Jayson Tatum,F,PF,02-01-2020,21900732,BOS,PHI,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.29,5.875,3,4,9,16
