,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
152347,2020,2019-20,1610612756,Phoenix Suns,1626163,Frank Kaminsky,C,C,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.14,7.145,25,4,0,3
152350,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,8.465,26,4,0,9
152357,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.72,8.215,25,4,0,14
152359,2020,2019-20,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,0,17
152362,2020,2019-20,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.985,2,4,0,17
152365,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.27,6.095,22,4,0,19
152376,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.81,7.625,25,4,0,24
152395,2020,2019-20,1610612758,Sacramento Kings,1627741,Buddy Hield,G,SG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,5.725,23,4,0,59
152400,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,11-19-2019,21900200,SAC,PHX,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.11,8.495000000000001,27,4,1,23
152401,2020,2019-20,1610612758,Sacramento Kings,202357,Nemanja Bjelica,F,PF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.89,8.415,27,4,1,42
152405,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,11-19-2019,21900200,SAC,PHX,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,5.895,2,4,2,1
152406,2020,2019-20,1610612758,Sacramento Kings,202709,Cory Joseph,G,PG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.26,6.755,24,4,2,7
152409,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,5.975,3,4,2,24
152410,2020,2019-20,1610612758,Sacramento Kings,1626158,Richaun Holmes,C,C,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.975,2,4,2,28
152413,2020,2019-20,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.32,5.885,3,4,2,31
152417,2020,2019-20,1610612756,Phoenix Suns,1629059,Elie Okobo,G,PG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.63,7.675,25,4,2,50
152419,2020,2019-20,1610612758,Sacramento Kings,202357,Nemanja Bjelica,F,PF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.47,5.925,4,4,3,5
152421,2020,2019-20,1610612756,Phoenix Suns,1626163,Frank Kaminsky,C,C,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.23,6.035,22,4,3,21
152423,2020,2019-20,1610612758,Sacramento Kings,203992,Bogdan Bogdanovic,G,SG,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.61,7.765,25,4,3,41
152427,2020,2019-20,1610612756,Phoenix Suns,1626163,Frank Kaminsky,C,C,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.71,8.215,25,4,3,55
152430,2020,2019-20,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,6.015,2,4,4,14
152434,2020,2019-20,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,5.725,23,4,4,38
152445,2020,2019-20,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.9,7.475,25,4,5,56
152446,2020,2019-20,1610612758,Sacramento Kings,202357,Nemanja Bjelica,F,PF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.09,6.325,5,4,6,14
152449,2020,2019-20,1610612758,Sacramento Kings,202357,Nemanja Bjelica,F,PF,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.12,8.295,25,4,6,39
152455,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.16,5.905,2,4,6,54
152457,2020,2019-20,1610612758,Sacramento Kings,1626158,Richaun Holmes,C,C,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.945,1,4,6,59
152459,2020,2019-20,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.99,7.405,25,4,7,14
152467,2020,2019-20,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,11-19-2019,21900200,SAC,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.885,1,4,7,26
152470,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.43,5.925,4,4,7,33
152472,2020,2019-20,1610612758,Sacramento Kings,203992,Bogdan Bogdanovic,G,SG,11-19-2019,21900200,SAC,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.34,7.095,18,4,7,44
152478,2020,2019-20,1610612758,Sacramento Kings,202709,Cory Joseph,G,PG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,5.995,23,4,8,12
152481,2020,2019-20,1610612756,Phoenix Suns,1626162,Kelly Oubre Jr.,F,SF,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.89,6.975,14,4,8,31
152486,2020,2019-20,1610612756,Phoenix Suns,1626164,Devin Booker,G,SG,11-19-2019,21900200,SAC,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.54,6.365,7,4,8,42
