,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
97993,2020,2019-20,1610612757,Portland Trail Blazers,1629650,Moses Brown,C,C,01-01-2020,21900505,NYK,POR,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.935,1,4,0,14
97996,2020,2019-20,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,01-01-2020,21900505,NYK,POR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.19,5.825,1,4,0,18
97998,2020,2019-20,1610612757,Portland Trail Blazers,1629018,Gary Trent Jr.,F,SF,01-01-2020,21900505,NYK,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.25,7.215,19,4,0,38
98006,2020,2019-20,1610612752,New York Knicks,1626171,Bobby Portis,F,PF,01-01-2020,21900505,NYK,POR,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.4900000000000001,6.925,12,4,1,31
98009,2020,2019-20,1610612757,Portland Trail Blazers,1629014,Anfernee Simons,G,SG,01-01-2020,21900505,NYK,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.8699999999999999,7.685,20,4,1,42
98012,2020,2019-20,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,01-01-2020,21900505,NYK,POR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.805,0,4,1,52
98014,2020,2019-20,1610612757,Portland Trail Blazers,1629650,Moses Brown,C,C,01-01-2020,21900505,NYK,POR,Missed Shot,False,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.745,0,4,1,58
98021,2020,2019-20,1610612752,New York Knicks,1626171,Bobby Portis,F,PF,01-01-2020,21900505,NYK,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.24,8.285,25,4,2,18
98022,2020,2019-20,1610612757,Portland Trail Blazers,1629018,Gary Trent Jr.,F,SF,01-01-2020,21900505,NYK,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.05,8.504999999999999,27,4,2,34
98025,2020,2019-20,1610612752,New York Knicks,1626171,Bobby Portis,F,PF,01-01-2020,21900505,NYK,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.1,7.395,26,4,2,50
98028,2020,2019-20,1610612757,Portland Trail Blazers,1629642,Nassir Little,F,PF,01-01-2020,21900505,NYK,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.58,7.735,20,4,3,5
98031,2020,2019-20,1610612752,New York Knicks,203944,Julius Randle,F,PF,01-01-2020,21900505,NYK,POR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.35,5.935,3,4,3,17
98033,2020,2019-20,1610612752,New York Knicks,202694,Marcus Morris Sr.,F,SF-PF,01-01-2020,21900505,NYK,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.59,7.765,25,4,3,28
98037,2020,2019-20,1610612752,New York Knicks,1628373,Frank Ntilikina,G,PG,01-01-2020,21900505,NYK,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.28,7.965,25,4,3,48
