,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
143733,2020,2019-20,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.24,6.065,3,4,0,6
143747,2020,2019-20,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,PF,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.815,0,4,0,10
143748,2020,2019-20,1610612759,San Antonio Spurs,1628401,Derrick White,G,SG,11-25-2019,21900249,SAS,LAL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.73,6.145,8,4,0,26
143755,2020,2019-20,1610612747,Los Angeles Lakers,203584,Troy Daniels,G,SG,11-25-2019,21900249,SAS,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.25,7.115,26,4,0,39
143765,2020,2019-20,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.25,7.025,17,4,1,0
143810,2020,2019-20,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,C,C,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.8099999999999999,8.225,25,4,1,10
143832,2020,2019-20,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.41,8.355,26,4,1,17
143842,2020,2019-20,1610612759,San Antonio Spurs,1627854,Bryn Forbes,G,SG,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.705,1,4,1,38
143848,2020,2019-20,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,11-25-2019,21900249,SAS,LAL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.885,1,4,1,46
143854,2020,2019-20,1610612759,San Antonio Spurs,201942,DeMar DeRozan,F,SF,11-25-2019,21900249,SAS,LAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.06,7.865,23,4,2,0
143863,2020,2019-20,1610612759,San Antonio Spurs,200746,LaMarcus Aldridge,C,C,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.11,6.465,6,4,2,23
143893,2020,2019-20,1610612759,San Antonio Spurs,1627854,Bryn Forbes,G,SG,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.21,8.225,24,4,3,2
143899,2020,2019-20,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,11-25-2019,21900249,SAS,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.32,6.955,26,4,3,11
143902,2020,2019-20,1610612759,San Antonio Spurs,201942,DeMar DeRozan,F,SF,11-25-2019,21900249,SAS,LAL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.0,5.775,10,4,3,27
