,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
11279,2020,2019-20,1610612759,San Antonio Spurs,201942,DeMar DeRozan,F,SF,08-03-2020,21901254,PHI,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,-0.01,13.545,77,4,0,0
11285,2020,2019-20,1610612759,San Antonio Spurs,1627751,Jakob Poeltl,C,C,08-03-2020,21901254,PHI,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,6.025,2,4,0,2
11288,2020,2019-20,1610612755,Philadelphia 76ers,1629003,Shake Milton,G,SG,08-03-2020,21901254,PHI,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.53,7.805,25,4,0,7
11296,2020,2019-20,1610612759,San Antonio Spurs,1627749,Dejounte Murray,G,PG,08-03-2020,21901254,PHI,SAS,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.08,7.005,12,4,0,32
11298,2020,2019-20,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,08-03-2020,21901254,PHI,SAS,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.815,0,4,0,49
11300,2020,2019-20,1610612759,San Antonio Spurs,201942,DeMar DeRozan,F,SF,08-03-2020,21901254,PHI,SAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.19,6.995,12,4,1,3
11302,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,08-03-2020,21901254,PHI,SAS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.05,6.835,14,4,1,17
11305,2020,2019-20,1610612759,San Antonio Spurs,201942,DeMar DeRozan,F,SF,08-03-2020,21901254,PHI,SAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,5.905,1,4,1,41
11306,2020,2019-20,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,08-03-2020,21901254,PHI,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.09,6.705,14,4,1,51
11315,2020,2019-20,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,08-03-2020,21901254,PHI,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.15,6.205,4,4,2,14
11318,2020,2019-20,1610612759,San Antonio Spurs,200752,Rudy Gay,F,PF,08-03-2020,21901254,PHI,SAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.26,7.345,20,4,2,32
11319,2020,2019-20,1610612755,Philadelphia 76ers,1626196,Josh Richardson,G,SG,08-03-2020,21901254,PHI,SAS,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.71,7.195,15,4,2,53
11329,2020,2019-20,1610612755,Philadelphia 76ers,1629003,Shake Milton,G,SG,08-03-2020,21901254,PHI,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.815,2,4,6,12
11331,2020,2019-20,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,08-03-2020,21901254,PHI,SAS,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.945,1,4,3,41
