,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
30749,2020,2019-20,1610612761,Toronto Raptors,1626181,Norman Powell,G,SG,02-28-2020,21900879,TOR,CHA,Missed Shot,False,Turnaround Fadeaway shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,6.415,23,4,0,0
30750,2020,2019-20,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-28-2020,21900879,TOR,CHA,Missed Shot,False,Turnaround Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.44,5.725,24,4,0,3
30751,2020,2019-20,1610612761,Toronto Raptors,1626181,Norman Powell,G,SG,02-28-2020,21900879,TOR,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.3199999999999998,8.115,26,4,0,7
30752,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,02-28-2020,21900879,TOR,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.23,8.395,26,4,0,35
30760,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,02-28-2020,21900879,TOR,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.28,8.465,29,4,0,58
30763,2020,2019-20,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-28-2020,21900879,TOR,CHA,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,5.785,1,4,1,14
30769,2020,2019-20,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-28-2020,21900879,TOR,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,5.905,22,4,1,47
30777,2020,2019-20,1610612761,Toronto Raptors,1626178,Rondae Hollis-Jefferson,F,PF,02-28-2020,21900879,TOR,CHA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.44,5.915,4,4,2,5
30780,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,02-28-2020,21900879,TOR,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.09,7.345,26,4,2,29
30784,2020,2019-20,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-28-2020,21900879,TOR,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.04,7.345,25,4,2,50
30795,2020,2019-20,1610612766,Charlotte Hornets,202687,Bismack Biyombo,C,C,02-28-2020,21900879,TOR,CHA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.31,6.215,5,4,3,5
30801,2020,2019-20,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,02-28-2020,21900879,TOR,CHA,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.72,6.484999999999999,10,4,3,25
30804,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,02-28-2020,21900879,TOR,CHA,Made Shot,True,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4900000000000001,6.165,6,4,3,48
