,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
125066,2020,2019-20,1610612764,Washington Wizards,101133,Ian Mahinmi,C,C,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,0.93,13.765,80,4,0,0
125070,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.1,9.425,38,4,0,2
125072,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.28,5.975,22,4,0,7
125073,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.63,8.094999999999999,28,4,0,31
125075,2020,2019-20,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.36,6.995,12,4,0,44
125076,2020,2019-20,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,6.195,23,4,1,21
125078,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.21,5.965,2,4,1,34
125080,2020,2019-20,1610612764,Washington Wizards,1629021,Moritz Wagner,C,C,12-10-2019,21900352,CHA,WAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.995,2,4,1,45
125083,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.3199999999999998,7.925,25,4,1,59
125084,2020,2019-20,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.11,7.295,18,4,2,22
125085,2020,2019-20,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.35,5.945,13,4,2,29
125086,2020,2019-20,1610612766,Charlotte Hornets,1629023,P.J. Washington,F,PF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.0699999999999999,6.225,4,4,2,44
125088,2020,2019-20,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.975,2,4,3,5
125092,2020,2019-20,1610612764,Washington Wizards,202397,Ish Smith,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.26,8.344999999999999,25,4,3,21
125095,2020,2019-20,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.32,6.885,25,4,3,33
125099,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3299999999999999,5.825,3,4,3,44
125102,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.17,7.995,25,4,3,52
125107,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.875,2,4,4,13
125110,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,5.825,2,4,4,27
125115,2020,2019-20,1610612764,Washington Wizards,202397,Ish Smith,G,PG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.33,6.035,23,4,4,41
125122,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.25,8.754999999999999,32,4,5,2
125124,2020,2019-20,1610612766,Charlotte Hornets,1629023,P.J. Washington,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,5.865,22,4,5,8
125130,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.24,5.835,2,4,5,17
125132,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.72,7.735,26,4,5,31
125134,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,5,44
125135,2020,2019-20,1610612766,Charlotte Hornets,1629023,P.J. Washington,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,5.855,23,4,5,49
125137,2020,2019-20,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.27,5.725,22,4,6,9
125141,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.855,1,4,6,24
125145,2020,2019-20,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2799999999999999,6.025,3,4,6,37
125150,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.8699999999999999,8.165,25,4,6,48
125151,2020,2019-20,1610612764,Washington Wizards,1629021,Moritz Wagner,C,C,12-10-2019,21900352,CHA,WAS,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,6,53
125155,2020,2019-20,1610612764,Washington Wizards,1629021,Moritz Wagner,C,C,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,6,59
125161,2020,2019-20,1610612764,Washington Wizards,202397,Ish Smith,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.71,6.745,12,4,7,9
125168,2020,2019-20,1610612766,Charlotte Hornets,1629023,P.J. Washington,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.96,8.145,25,4,7,41
125171,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,7,44
125173,2020,2019-20,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.63,7.715,25,4,7,54
125188,2020,2019-20,1610612766,Charlotte Hornets,202687,Bismack Biyombo,C,C,12-10-2019,21900352,CHA,WAS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.715,0,4,8,23
125191,2020,2019-20,1610612766,Charlotte Hornets,202687,Bismack Biyombo,C,C,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.13,6.805,10,4,8,27
125197,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.77,8.375,31,4,8,56
125201,2020,2019-20,1610612766,Charlotte Hornets,1629023,P.J. Washington,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.77,6.135,8,4,9,6
125203,2020,2019-20,1610612764,Washington Wizards,202397,Ish Smith,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.51,7.505,18,4,9,19
125205,2020,2019-20,1610612766,Charlotte Hornets,1628370,Malik Monk,G,SG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3399999999999999,5.985,3,4,9,26
125208,2020,2019-20,1610612764,Washington Wizards,1629185,Chris Chiozza,G,PG,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.1800000000000002,8.094999999999999,26,4,9,52
125210,2020,2019-20,1610612766,Charlotte Hornets,1629023,P.J. Washington,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.23,5.975,3,4,10,10
125216,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.27,5.815,2,4,10,43
125224,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.67,8.455,27,4,10,53
125228,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.82,6.375,10,4,11,25
125231,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.2,8.045,25,4,11,46
125235,2020,2019-20,1610612766,Charlotte Hornets,1628370,Malik Monk,G,SG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,1.7,11.495,59,3,0,0
125237,2020,2019-20,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,12-10-2019,21900352,CHA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.5900000000000001,8.415,27,3,0,2
125241,2020,2019-20,1610612766,Charlotte Hornets,1628370,Malik Monk,G,SG,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.25,8.225,27,3,0,14
125247,2020,2019-20,1610612766,Charlotte Hornets,203077,Michael Kidd-Gilchrist,F,PF,12-10-2019,21900352,CHA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.35,6.825,25,3,0,36
