,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
85939,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.99,7.415,25,4,0,0
85956,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.46,7.905,25,4,0,20
85960,2021,2020-21,1610612738,Boston Celtics,203935,Marcus Smart,G,PG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.54,8.305,25,4,0,25
85969,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,03-17-2021,22000620,CLE,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.855,0,4,0,36
85980,2021,2020-21,1610612738,Boston Celtics,203935,Marcus Smart,G,PG,03-17-2021,22000620,CLE,BOS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,47
85986,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.885,1,4,0,47
86000,2021,2020-21,1610612738,Boston Celtics,1629057,Robert Williams III,C,C,03-17-2021,22000620,CLE,BOS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,54
86004,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,5.695,23,4,0,55
86016,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,03-17-2021,22000620,CLE,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.22,5.945,2,4,0,59
86024,2021,2020-21,1610612739,Cleveland Cavaliers,1630171,Isaac Okoro,G,SG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3299999999999999,5.955,3,4,1,2
86048,2021,2020-21,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,03-17-2021,22000620,CLE,BOS,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.09,6.465,6,4,1,29
86056,2021,2020-21,1610612738,Boston Celtics,203935,Marcus Smart,G,PG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,6.035,2,4,1,45
86062,2021,2020-21,1610612739,Cleveland Cavaliers,1626204,Larry Nance Jr.,F,PF,03-17-2021,22000620,CLE,BOS,Made Shot,True,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.5700000000000001,6.025,6,4,1,55
86093,2021,2020-21,1610612739,Cleveland Cavaliers,1630171,Isaac Okoro,G,SG,03-17-2021,22000620,CLE,BOS,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.895,1,4,2,16
86097,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.78,7.625,25,4,2,20
86101,2021,2020-21,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,03-17-2021,22000620,CLE,BOS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.37,6.605,9,4,2,33
86108,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.29,6.065,13,4,2,50
86133,2021,2020-21,1610612738,Boston Celtics,1627759,Jaylen Brown,G,SG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.49,7.885,25,4,3,37
86136,2021,2020-21,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,03-17-2021,22000620,CLE,BOS,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.1699999999999999,6.815,10,4,3,56
86157,2021,2020-21,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.12,8.585,30,4,4,25
86162,2021,2020-21,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,03-17-2021,22000620,CLE,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.52,7.975,26,4,4,41
86166,2021,2020-21,1610612739,Cleveland Cavaliers,1628386,Jarrett Allen,C,C,03-17-2021,22000620,CLE,BOS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.905,1,4,4,55
