,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
183088,2021,2020-21,1610612743,Denver Nuggets,1630181,R.J. Hampton,G,SG-PG,12-28-2020,22000044,DEN,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.24,5.865,2,4,0,23
183091,2021,2020-21,1610612745,Houston Rockets,1628425,Sterling Brown,G,SG,12-28-2020,22000044,DEN,HOU,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.05,7.195,24,4,0,36
183092,2021,2020-21,1610612743,Denver Nuggets,1628427,Vlatko Cancar,F,PF,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,6.075,3,4,0,43
183094,2021,2020-21,1610612745,Houston Rockets,203998,Bruno Caboclo,F,PF,12-28-2020,22000044,DEN,HOU,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,6.065,3,4,0,56
183097,2021,2020-21,1610612745,Houston Rockets,1630271,Brodric Thomas,G,SG,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.5699999999999998,7.665,24,4,1,7
183098,2021,2020-21,1610612743,Denver Nuggets,1630192,Zeke Nnaji,F,PF,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.35,7.995,25,4,1,18
183102,2021,2020-21,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,12-28-2020,22000044,DEN,HOU,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.975,2,4,1,30
183105,2021,2020-21,1610612743,Denver Nuggets,1630267,Facundo Campazzo,G,PG,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,6.305,6,4,1,42
183107,2021,2020-21,1610612745,Houston Rockets,1628425,Sterling Brown,G,SG,12-28-2020,22000044,DEN,HOU,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.955,2,4,2,5
183110,2021,2020-21,1610612745,Houston Rockets,1630271,Brodric Thomas,G,SG,12-28-2020,22000044,DEN,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.995,2,4,2,24
183114,2021,2020-21,1610612743,Denver Nuggets,1629626,Bol Bol,F,PF,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.22,7.1850000000000005,14,4,2,58
183116,2021,2020-21,1610612743,Denver Nuggets,1629626,Bol Bol,F,PF,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.1800000000000002,5.885,11,4,3,15
183118,2021,2020-21,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.27,6.035,3,4,3,25
183126,2021,2020-21,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,12-28-2020,22000044,DEN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3,6.035,23,4,3,44
