,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
181370,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.06,8.195,26,4,0,5
181371,2021,2020-21,1610612744,Golden State Warriors,1627814,Damion Lee,G,SG,12-29-2020,22000047,DET,GSW,Made Shot,True,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.53,6.525,9,4,0,10
181372,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.59,7.865,26,4,0,53
181377,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.5900000000000001,6.765000000000001,11,4,1,14
181378,2021,2020-21,1610612744,Golden State Warriors,1627814,Damion Lee,G,SG,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.16,8.145,26,4,1,25
181381,2021,2020-21,1610612765,Detroit Pistons,1630191,Isaiah Stewart,C,C,12-29-2020,22000047,DET,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.915,1,4,1,42
181384,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.5699999999999998,7.915,26,4,2,12
181388,2021,2020-21,1610612765,Detroit Pistons,1630191,Isaiah Stewart,C,C,12-29-2020,22000047,DET,GSW,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.04,6.275,5,4,2,27
181396,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,12-29-2020,22000047,DET,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.835,1,4,2,53
181398,2021,2020-21,1610612744,Golden State Warriors,202954,Brad Wanamaker,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.9,7.475,25,4,2,59
181400,2021,2020-21,1610612765,Detroit Pistons,1626153,Delon Wright,G,SG-PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.29,6.185,5,4,3,10
181403,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-2.02,6.275,20,4,3,24
181405,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.22,6.415,6,4,3,47
181408,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.6800000000000002,7.725,25,4,3,59
181409,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,6.325,23,4,4,5
181410,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.83,7.625,26,4,4,17
181411,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,12-29-2020,22000047,DET,GSW,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.995,2,4,4,32
181424,2021,2020-21,1610612744,Golden State Warriors,202954,Brad Wanamaker,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.995,2,4,4,48
181428,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.995,2,4,4,56
181432,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.2,8.094999999999999,26,4,5,14
181433,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,6.025,2,4,5,37
181440,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.59,7.875,26,4,5,54
181441,2021,2020-21,1610612765,Detroit Pistons,203486,Mason Plumlee,C,C,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.39,5.875,4,4,6,1
181442,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-29-2020,22000047,DET,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.945,2,4,6,19
181448,2021,2020-21,1610612765,Detroit Pistons,203486,Mason Plumlee,C,C,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.19,6.455,7,4,6,25
181450,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.36,6.905,17,4,6,40
181454,2021,2020-21,1610612765,Detroit Pistons,1629635,Sekou Doumbouya,F,PF,12-29-2020,22000047,DET,GSW,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.03,6.205,4,4,7,0
181457,2021,2020-21,1610612744,Golden State Warriors,202954,Brad Wanamaker,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,6.135,3,4,7,15
181464,2021,2020-21,1610612765,Detroit Pistons,1629004,Svi Mykhailiuk,F,SF-SG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,6.085,23,4,7,26
181467,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.28,6.045,22,4,7,41
181470,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.24,5.815,2,4,7,49
181501,2021,2020-21,1610612744,Golden State Warriors,1626172,Kevon Looney,C,C,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.5700000000000001,8.495000000000001,27,3,0,0
181506,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.855,1,4,8,22
181511,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.16,7.345,19,4,8,45
181535,2021,2020-21,1610612744,Golden State Warriors,202954,Brad Wanamaker,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.845,1,4,9,3
181549,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.29,5.775,2,4,9,36
181554,2021,2020-21,1610612765,Detroit Pistons,1629635,Sekou Doumbouya,F,PF,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,6.235,23,4,9,49
181560,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.27,5.885,2,4,10,18
181574,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.38,6.035,4,4,10,51
181584,2021,2020-21,1610612744,Golden State Warriors,1629672,Eric Paschall,F,PF,12-29-2020,22000047,DET,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.845,1,4,11,11
181592,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.34,6.045,13,4,11,21
181601,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,12-29-2020,22000047,DET,GSW,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.22,7.105,18,4,11,43
181646,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.895,1,3,0,4
181649,2021,2020-21,1610612765,Detroit Pistons,1629004,Svi Mykhailiuk,F,SF-SG,12-29-2020,22000047,DET,GSW,Made Shot,True,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.75,7.745,26,3,0,25
181656,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.035,3,3,0,37
181662,2021,2020-21,1610612765,Detroit Pistons,1629004,Svi Mykhailiuk,F,SF-SG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Fadeaway Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.32,5.855,23,3,0,46
181668,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.72,7.625,25,3,1,3
181686,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.09,6.725,9,3,1,16
181701,2021,2020-21,1610612765,Detroit Pistons,1629004,Svi Mykhailiuk,F,SF-SG,12-29-2020,22000047,DET,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.7399999999999998,7.805,26,3,1,47
181729,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.1800000000000002,8.085,25,3,2,14
181735,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.855,0,3,2,21
181750,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,12-29-2020,22000047,DET,GSW,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.21,5.905,2,3,2,34
181758,2021,2020-21,1610612765,Detroit Pistons,201565,Derrick Rose,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.19,5.855,2,3,2,43
181761,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.12,7.505,20,3,2,52
181773,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.55,6.865,12,3,3,24
181782,2021,2020-21,1610612765,Detroit Pistons,1630191,Isaiah Stewart,C,C,12-29-2020,22000047,DET,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.785,0,3,3,40
181787,2021,2020-21,1610612744,Golden State Warriors,1629672,Eric Paschall,F,PF,12-29-2020,22000047,DET,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.6,6.795,11,3,4,0
181813,2021,2020-21,1610612765,Detroit Pistons,1626153,Delon Wright,G,SG-PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,6.045,2,3,4,30
181825,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-29-2020,22000047,DET,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.955,1,3,8,20
181840,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.54,7.955,26,3,5,17
181844,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,12-29-2020,22000047,DET,GSW,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.03,6.195,4,3,5,29
181870,2021,2020-21,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,G,SG,12-29-2020,22000047,DET,GSW,Made Shot,True,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.815,1,3,5,49
181879,2021,2020-21,1610612744,Golden State Warriors,1626162,Kelly Oubre Jr.,F,SF,12-29-2020,22000047,DET,GSW,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,6.045,2,3,6,12
181897,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-29-2020,22000047,DET,GSW,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.37,8.605,31,3,6,41
