,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
165170,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,01-10-2021,22000141,DET,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.24,8.615,28,4,0,20
165180,2021,2020-21,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,01-10-2021,22000141,DET,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.04,7.615,27,4,0,32
165194,2021,2020-21,1610612765,Detroit Pistons,201961,Wayne Ellington,G,SG,01-10-2021,22000141,DET,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.3,8.655,28,4,0,51
165205,2021,2020-21,1610612765,Detroit Pistons,203486,Mason Plumlee,C,C,01-10-2021,22000141,DET,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.03,6.635,8,4,1,13
165211,2021,2020-21,1610612765,Detroit Pistons,201961,Wayne Ellington,G,SG,01-10-2021,22000141,DET,UTA,Made Shot,True,Jump Bank Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.52,7.925,26,4,1,56
165214,2021,2020-21,1610612762,Utah Jazz,202711,Bojan Bogdanovic,F,SF,01-10-2021,22000141,DET,UTA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.93,6.415,11,4,2,7
165216,2021,2020-21,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,PG,01-10-2021,22000141,DET,UTA,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.41,6.335,15,3,5,25
165220,2021,2020-21,1610612765,Detroit Pistons,203486,Mason Plumlee,C,C,01-10-2021,22000141,DET,UTA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.15,5.985,2,4,2,35
165224,2021,2020-21,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,01-10-2021,22000141,DET,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3299999999999999,5.855,3,4,2,53
165228,2021,2020-21,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,01-10-2021,22000141,DET,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.9,7.615,26,4,3,0
