,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
45372,2021,2020-21,1610612744,Golden State Warriors,1627780,Gary Payton II,G,PG,04-15-2021,22000841,CLE,GSW,Missed Shot,False,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.835,1,4,0,16
45373,2021,2020-21,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,04-15-2021,22000841,CLE,GSW,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1,6.535,7,4,0,27
45375,2021,2020-21,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,04-15-2021,22000841,CLE,GSW,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.825,0,4,0,42
45377,2021,2020-21,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,04-15-2021,22000841,CLE,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.56,7.825,25,4,0,51
45378,2021,2020-21,1610612744,Golden State Warriors,1628539,Mychal Mulder,G,PG,04-15-2021,22000841,CLE,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.18,7.035,25,4,1,5
45387,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,04-15-2021,22000841,CLE,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.65,7.775,25,4,1,20
45390,2021,2020-21,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,04-15-2021,22000841,CLE,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.27,8.135,26,4,1,34
45391,2021,2020-21,1610612744,Golden State Warriors,203145,Kent Bazemore,F,SF,04-15-2021,22000841,CLE,GSW,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.9,6.695,21,4,1,45
45393,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-15-2021,22000841,CLE,GSW,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.855,0,4,1,50
45398,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,04-15-2021,22000841,CLE,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.48,7.985,26,4,2,21
