,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
32733,2021,2020-21,1610612745,Houston Rockets,1628391,D.J. Wilson,F,PF,04-24-2021,22000910,DEN,HOU,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.38,7.915,25,4,0,15
32737,2021,2020-21,1610612743,Denver Nuggets,1630210,Markus Howard,G,SG,04-24-2021,22000910,DEN,HOU,Missed Shot,False,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.73,7.595,25,4,0,27
32741,2021,2020-21,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG,04-24-2021,22000910,DEN,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,6.005,22,4,0,38
32747,2021,2020-21,1610612745,Houston Rockets,1630237,Anthony Lamb,F,SF,04-24-2021,22000910,DEN,HOU,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.66,8.155000000000001,29,4,0,57
32751,2021,2020-21,1610612743,Denver Nuggets,1630210,Markus Howard,G,SG,04-24-2021,22000910,DEN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.77,7.575,25,4,1,7
32757,2021,2020-21,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,04-24-2021,22000910,DEN,HOU,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.875,1,4,1,15
32762,2021,2020-21,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG,04-24-2021,22000910,DEN,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.09,8.265,27,4,1,24
32766,2021,2020-21,1610612745,Houston Rockets,1628391,D.J. Wilson,F,PF,04-24-2021,22000910,DEN,HOU,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.985,2,4,1,28
32769,2021,2020-21,1610612743,Denver Nuggets,1630210,Markus Howard,G,SG,04-24-2021,22000910,DEN,HOU,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.12,6.805,10,4,1,42
32777,2021,2020-21,1610612743,Denver Nuggets,1629626,Bol Bol,F,PF,04-24-2021,22000910,DEN,HOU,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,5.995,2,4,2,23
