,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
122157,2021,2020-21,1610612745,Houston Rockets,1629066,Rodions Kurucs,F,SF-PF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.23,6.195,22,4,0,18
122158,2021,2020-21,1610612752,New York Knicks,1629033,Theo Pinson,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.16,8.085,25,4,0,27
122160,2021,2020-21,1610612745,Houston Rockets,203463,Ben McLemore,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.37,6.055,23,4,0,40
122162,2021,2020-21,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.855,0,4,0,47
122163,2021,2020-21,1610612745,Houston Rockets,1630222,Mason Jones,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.37,6.035,23,4,1,3
122166,2021,2020-21,1610612745,Houston Rockets,203463,Ben McLemore,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.82,7.635,26,4,1,8
122169,2021,2020-21,1610612745,Houston Rockets,1630222,Mason Jones,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.55,7.815,25,4,1,14
122170,2021,2020-21,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.32,5.905,3,4,1,19
122180,2021,2020-21,1610612745,Houston Rockets,1629066,Rodions Kurucs,F,SF-PF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.845,0,4,1,56
122189,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.5,5.865,5,4,2,15
122194,2021,2020-21,1610612745,Houston Rockets,1628425,Sterling Brown,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.18,5.825,1,4,2,28
122196,2021,2020-21,1610612745,Houston Rockets,1628425,Sterling Brown,G,SG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.52,7.795,25,4,2,57
122198,2021,2020-21,1610612752,New York Knicks,1628995,Kevin Knox II,F,SF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.785,0,4,3,9
122204,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,5.915,23,4,3,20
122218,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,6.105,3,4,3,49
122230,2021,2020-21,1610612745,Houston Rockets,202322,John Wall,G,PG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.55,6.785,11,4,3,55
122232,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.05,6.235,11,4,4,17
122240,2021,2020-21,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.94,8.235,26,4,4,53
122247,2021,2020-21,1610612745,Houston Rockets,200782,P.J. Tucker,F,PF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,5.675,23,4,5,16
122252,2021,2020-21,1610612752,New York Knicks,201565,Derrick Rose,G,PG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.16,8.305,25,4,5,30
122254,2021,2020-21,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.04,8.285,25,4,5,42
122256,2021,2020-21,1610612745,Houston Rockets,202326,DeMarcus Cousins,C,C,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.59,7.885,26,4,5,46
122264,2021,2020-21,1610612745,Houston Rockets,1628425,Sterling Brown,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.09,7.135,24,4,6,18
122286,2021,2020-21,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.19,5.795,1,4,6,41
122288,2021,2020-21,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,6.515000000000001,24,4,6,47
122291,2021,2020-21,1610612745,Houston Rockets,200782,P.J. Tucker,F,PF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,5.925,23,4,6,57
122293,2021,2020-21,1610612752,New York Knicks,201565,Derrick Rose,G,PG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.975,2,4,7,19
122295,2021,2020-21,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.905,1,4,7,36
122296,2021,2020-21,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.3299999999999999,6.095,4,4,7,52
122298,2021,2020-21,1610612745,Houston Rockets,1627863,Danuel House Jr.,F,SF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.77,7.525,24,4,8,13
122302,2021,2020-21,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.26,8.175,27,4,8,24
122303,2021,2020-21,1610612745,Houston Rockets,1628425,Sterling Brown,G,SG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.28,6.795,24,4,8,32
122307,2021,2020-21,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.21,7.255,26,4,8,45
122311,2021,2020-21,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,5.905,1,4,9,3
122315,2021,2020-21,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.45,8.055,27,4,9,6
122320,2021,2020-21,1610612752,New York Knicks,201959,Taj Gibson,C,C,02-13-2021,22000408,NYK,HOU,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.825,1,4,9,27
122322,2021,2020-21,1610612745,Houston Rockets,1627863,Danuel House Jr.,F,SF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,5.835,1,4,9,35
122326,2021,2020-21,1610612752,New York Knicks,201565,Derrick Rose,G,PG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.32,6.145,4,4,9,51
122330,2021,2020-21,1610612745,Houston Rockets,1630256,Jae'Sean Tate,F,SF,02-13-2021,22000408,NYK,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.56,7.775,25,4,10,10
122340,2021,2020-21,1610612745,Houston Rockets,1628425,Sterling Brown,G,SG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.11,6.484999999999999,7,4,10,41
122342,2021,2020-21,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.91,7.615,26,4,10,59
122352,2021,2020-21,1610612752,New York Knicks,201565,Derrick Rose,G,PG,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.01,7.665,21,4,11,22
122356,2021,2020-21,1610612745,Houston Rockets,1630256,Jae'Sean Tate,F,SF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.845,1,4,11,39
122361,2021,2020-21,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,02-13-2021,22000408,NYK,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,6.095,23,4,11,44
122368,2021,2020-21,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,02-13-2021,22000408,NYK,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.6,8.445,27,3,0,29
