,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
53790,2021,2020-21,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,04-09-2021,22000793,NYK,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.41,6.025,24,5,0,2
53798,2021,2020-21,1610612763,Memphis Grizzlies,1628960,Grayson Allen,G,SG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.6,8.335,26,5,0,20
53803,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.935,1,5,0,26
53808,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.02,6.235,4,5,0,37
53813,2021,2020-21,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.51,8.205,24,5,0,57
53817,2021,2020-21,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.77,7.535,24,5,1,15
53819,2021,2020-21,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,04-09-2021,22000793,NYK,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1699999999999999,6.025,3,5,1,31
53820,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4,5.905,4,5,1,41
53829,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.22,6.615,8,5,2,13
53832,2021,2020-21,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.875,1,5,2,34
53836,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.86,5.885,8,5,2,39
53841,2021,2020-21,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.935,1,5,2,56
53844,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.44,7.785,24,5,3,12
53845,2021,2020-21,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,04-09-2021,22000793,NYK,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.935,1,5,3,24
53847,2021,2020-21,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.51,5.605,5,5,3,29
53849,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,04-09-2021,22000793,NYK,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.79,8.185,25,5,3,46
53850,2021,2020-21,1610612763,Memphis Grizzlies,203937,Kyle Anderson,F,PF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.89,6.9350000000000005,14,5,4,5
53853,2021,2020-21,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.795,1,5,4,26
53858,2021,2020-21,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,04-09-2021,22000793,NYK,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.54,7.745,25,5,4,44
53867,2021,2020-21,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.09,6.815,10,4,0,1
53875,2021,2020-21,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.845,1,4,0,8
53891,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.71,6.185,8,4,0,17
53919,2021,2020-21,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.11,8.275,25,4,0,44
53926,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,04-09-2021,22000793,NYK,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.855,1,4,1,1
53933,2021,2020-21,1610612763,Memphis Grizzlies,202685,Jonas Valanciunas,C,C,04-09-2021,22000793,NYK,MEM,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.865,1,4,1,5
53936,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.32,6.165,5,4,1,20
53947,2021,2020-21,1610612763,Memphis Grizzlies,1628960,Grayson Allen,G,SG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.4300000000000002,7.885,25,4,2,4
53959,2021,2020-21,1610612763,Memphis Grizzlies,203937,Kyle Anderson,F,PF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.6800000000000002,7.855,26,4,2,27
53964,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,5.855,22,4,2,45
53976,2021,2020-21,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.64,7.675,25,4,3,8
53981,2021,2020-21,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.14,5.945,2,4,3,11
53986,2021,2020-21,1610612763,Memphis Grizzlies,202685,Jonas Valanciunas,C,C,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1699999999999999,6.295,5,4,3,16
53991,2021,2020-21,1610612752,New York Knicks,203944,Julius Randle,F,PF,04-09-2021,22000793,NYK,MEM,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.58,7.135,14,4,3,39
54000,2021,2020-21,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.3299999999999999,6.255,5,4,4,19
54006,2021,2020-21,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,04-09-2021,22000793,NYK,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.795,0,4,5,4
54010,2021,2020-21,1610612763,Memphis Grizzlies,1628415,Dillon Brooks,F,SF,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,5.765,22,4,5,12
54011,2021,2020-21,1610612752,New York Knicks,202692,Alec Burks,G,SG,04-09-2021,22000793,NYK,MEM,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.34,5.925,23,4,5,19
