,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
71615,2021,2020-21,1610612763,Memphis Grizzlies,1629723,John Konchar,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,0
71616,2021,2020-21,1610612763,Memphis Grizzlies,1629681,Killian Tillie,C,C,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.0699999999999999,8.295,25,4,0,3
71617,2021,2020-21,1610612762,Utah Jazz,1629744,Matt Thomas,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,6.045,23,4,0,21
71618,2021,2020-21,1610612762,Utah Jazz,1630235,Trent Forrest,G,PG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4900000000000001,6.325,7,4,0,34
71619,2021,2020-21,1610612763,Memphis Grizzlies,1629681,Killian Tillie,C,C,03-27-2021,22000700,UTA,MEM,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.16,5.805,1,4,0,50
71620,2021,2020-21,1610612763,Memphis Grizzlies,1630214,Xavier Tillman Sr.,,,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.24,7.975,25,4,1,5
71621,2021,2020-21,1610612763,Memphis Grizzlies,1629723,John Konchar,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.32,6.605,8,4,1,9
71622,2021,2020-21,1610612762,Utah Jazz,1629744,Matt Thomas,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.4300000000000002,8.215,28,4,1,21
71623,2021,2020-21,1610612763,Memphis Grizzlies,1630253,Sean McDermott,F,SF,03-27-2021,22000700,UTA,MEM,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.02,6.225,4,4,1,32
71624,2021,2020-21,1610612762,Utah Jazz,1629714,Jarrell Brantley,F,PF,03-27-2021,22000700,UTA,MEM,Made Shot,True,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.02,6.425,6,4,1,45
71625,2021,2020-21,1610612763,Memphis Grizzlies,1629681,Killian Tillie,C,C,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.62,7.615,24,4,2,20
71626,2021,2020-21,1610612762,Utah Jazz,1630235,Trent Forrest,G,PG,03-27-2021,22000700,UTA,MEM,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.94,6.365,11,4,2,33
71627,2021,2020-21,1610612763,Memphis Grizzlies,1629007,Jontay Porter,F,PF,03-27-2021,22000700,UTA,MEM,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.33,7.195,19,4,2,49
71629,2021,2020-21,1610612763,Memphis Grizzlies,1630253,Sean McDermott,F,SF,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.25,6.555,23,4,2,54
71632,2021,2020-21,1610612762,Utah Jazz,1629744,Matt Thomas,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.44,7.135,14,4,3,27
71634,2021,2020-21,1610612762,Utah Jazz,1629671,Miye Oni,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.38,8.145,27,4,3,32
71639,2021,2020-21,1610612762,Utah Jazz,101141,Ersan Ilyasova,F,PF,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,6.615,24,4,3,53
71643,2021,2020-21,1610612763,Memphis Grizzlies,1629007,Jontay Porter,F,PF,03-27-2021,22000700,UTA,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.21,8.325,28,4,4,18
71644,2021,2020-21,1610612762,Utah Jazz,1630235,Trent Forrest,G,PG,03-27-2021,22000700,UTA,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4,6.215,5,4,4,28
71647,2021,2020-21,1610612763,Memphis Grizzlies,1629723,John Konchar,G,SG,03-27-2021,22000700,UTA,MEM,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.02,7.225,14,4,4,43
71651,2021,2020-21,1610612763,Memphis Grizzlies,1630253,Sean McDermott,F,SF,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.51,8.254999999999999,25,4,4,48
71656,2021,2020-21,1610612762,Utah Jazz,1629752,Juwan Morgan,F,PF,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.03,8.344999999999999,25,4,5,0
71665,2021,2020-21,1610612763,Memphis Grizzlies,1629681,Killian Tillie,C,C,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.14,8.385,28,4,5,13
71687,2021,2020-21,1610612762,Utah Jazz,1629671,Miye Oni,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.27,6.055,22,4,6,0
71689,2021,2020-21,1610612763,Memphis Grizzlies,1629681,Killian Tillie,C,C,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,5.865,22,4,6,18
71721,2021,2020-21,1610612762,Utah Jazz,202711,Bojan Bogdanovic,F,SF,03-27-2021,22000700,UTA,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.08,7.295,25,4,6,33
71728,2021,2020-21,1610612763,Memphis Grizzlies,1630217,Desmond Bane,G,SG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.35,6.515000000000001,8,4,6,54
71741,2021,2020-21,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,PG,03-27-2021,22000700,UTA,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.46,6.035,5,4,7,7
