,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
140906,2021,2020-21,1610612749,Milwaukee Bucks,1628470,Torrey Craig,F,SF,01-30-2021,22000299,CHA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.24,8.415,26,4,0,4
140909,2021,2020-21,1610612749,Milwaukee Bucks,1628978,Donte DiVincenzo,G,SG,01-30-2021,22000299,CHA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.56,7.885,26,4,0,42
140910,2021,2020-21,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,01-30-2021,22000299,CHA,MIL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.41,7.475,17,4,0,51
140919,2021,2020-21,1610612749,Milwaukee Bucks,201572,Brook Lopez,C,C,01-30-2021,22000299,CHA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.1100000000000003,7.135,25,4,1,35
140921,2021,2020-21,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,01-30-2021,22000299,CHA,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.47,7.835,25,4,1,50
140923,2021,2020-21,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,01-30-2021,22000299,CHA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.72,7.725,26,4,2,12
140925,2021,2020-21,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,01-30-2021,22000299,CHA,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.94,7.625,26,4,2,28
140929,2021,2020-21,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-30-2021,22000299,CHA,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.15,6.085,3,4,2,46
140936,2021,2020-21,1610612749,Milwaukee Bucks,1626192,Pat Connaughton,G,SG,01-30-2021,22000299,CHA,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.29,6.855,25,4,3,27
140939,2021,2020-21,1610612766,Charlotte Hornets,1628370,Malik Monk,G,SG,01-30-2021,22000299,CHA,MIL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.08,5.945,1,4,3,35
140940,2021,2020-21,1610612766,Charlotte Hornets,1628370,Malik Monk,G,SG,01-30-2021,22000299,CHA,MIL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.8699999999999999,8.254999999999999,26,4,3,51
