,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
161574,2021,2020-21,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,01-13-2021,22000165,DET,MIL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.03,6.625,8,4,2,58
161575,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,01-13-2021,22000165,DET,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.11,8.425,26,4,0,17
161579,2021,2020-21,1610612765,Detroit Pistons,203486,Mason Plumlee,C,C,01-13-2021,22000165,DET,MIL,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,27
161581,2021,2020-21,1610612765,Detroit Pistons,1626153,Delon Wright,G,SG-PG,01-13-2021,22000165,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.98,7.215,24,4,0,31
161583,2021,2020-21,1610612749,Milwaukee Bucks,1626192,Pat Connaughton,G,SG,01-13-2021,22000165,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,5.935,23,4,0,39
161594,2021,2020-21,1610612765,Detroit Pistons,203486,Mason Plumlee,C,C,01-13-2021,22000165,DET,MIL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.855,0,4,1,10
161599,2021,2020-21,1610612765,Detroit Pistons,1626153,Delon Wright,G,SG-PG,01-13-2021,22000165,DET,MIL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.46,6.275,6,4,1,20
161601,2021,2020-21,1610612749,Milwaukee Bucks,1627854,Bryn Forbes,G,SG,01-13-2021,22000165,DET,MIL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.24,6.295,5,4,1,43
161613,2021,2020-21,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,01-13-2021,22000165,DET,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.01,7.095,13,4,2,5
161617,2021,2020-21,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,01-13-2021,22000165,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.88,7.485,25,4,2,23
161620,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,01-13-2021,22000165,DET,MIL,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.13,6.245,4,4,2,32
161625,2021,2020-21,1610612765,Detroit Pistons,201933,Blake Griffin,F,PF,01-13-2021,22000165,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,6.425,23,4,2,41
161630,2021,2020-21,1610612765,Detroit Pistons,203924,Jerami Grant,F,SF,01-13-2021,22000165,DET,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-1.8,6.415,19,4,3,18
161634,2021,2020-21,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,01-13-2021,22000165,DET,MIL,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.855,0,4,3,35
161645,2021,2020-21,1610612765,Detroit Pistons,1628367,Josh Jackson,G,SG,01-13-2021,22000165,DET,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.89,7.455,25,4,4,3
161646,2021,2020-21,1610612765,Detroit Pistons,1630180,Saddiq Bey,F,SF,01-13-2021,22000165,DET,MIL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.6799999999999999,5.985,7,4,4,7
161647,2021,2020-21,1610612749,Milwaukee Bucks,201572,Brook Lopez,C,C,01-13-2021,22000165,DET,MIL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-1.7399999999999998,6.555,19,4,4,19
161655,2021,2020-21,1610612765,Detroit Pistons,1630191,Isaiah Stewart,C,C,01-13-2021,22000165,DET,MIL,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.935,1,4,4,43
161658,2021,2020-21,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,01-13-2021,22000165,DET,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.51,5.575,15,4,4,59
