,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
187626,2021,2020-21,1610612749,Milwaukee Bucks,1630241,Sam Merrill,G,SG,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.64,6.215,7,4,0,22
187628,2021,2020-21,1610612744,Golden State Warriors,202954,Brad Wanamaker,G,PG,12-25-2020,22000006,MIL,GSW,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.48,7.465,17,4,1,10
187632,2021,2020-21,1610612749,Milwaukee Bucks,1629670,Jordan Nwora,F,SF,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.89,7.325,17,4,1,40
187634,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.08,8.504999999999999,27,4,1,53
187636,2021,2020-21,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.2799999999999999,7.545,17,4,2,7
187638,2021,2020-21,1610612749,Milwaukee Bucks,1628391,D.J. Wilson,F,PF,12-25-2020,22000006,MIL,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.9,8.305,26,4,2,19
187639,2021,2020-21,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,12-25-2020,22000006,MIL,GSW,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.73,7.205,16,4,2,35
187640,2021,2020-21,1610612749,Milwaukee Bucks,1630241,Sam Merrill,G,SG,12-25-2020,22000006,MIL,GSW,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.63,8.265,29,4,2,46
187642,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.16,7.025,12,4,2,56
187643,2021,2020-21,1610612749,Milwaukee Bucks,203648,Thanasis Antetokounmpo,F,SF,12-25-2020,22000006,MIL,GSW,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,5.995,2,4,3,14
187644,2021,2020-21,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,12-25-2020,22000006,MIL,GSW,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.16,6.734999999999999,9,4,3,34
187645,2021,2020-21,1610612749,Milwaukee Bucks,1628391,D.J. Wilson,F,PF,12-25-2020,22000006,MIL,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.38,8.315,25,4,3,51
187647,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,6.085,3,4,4,0
187651,2021,2020-21,1610612744,Golden State Warriors,1628539,Mychal Mulder,G,PG,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Jump Bank Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.14,8.025,25,4,4,7
187653,2021,2020-21,1610612744,Golden State Warriors,202954,Brad Wanamaker,G,PG,12-25-2020,22000006,MIL,GSW,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.14,7.305,15,4,4,38
187656,2021,2020-21,1610612749,Milwaukee Bucks,1629670,Jordan Nwora,F,SF,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.785,0,4,4,49
187676,2021,2020-21,1610612749,Milwaukee Bucks,203648,Thanasis Antetokounmpo,F,SF,12-25-2020,22000006,MIL,GSW,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.875,1,4,5,16
187681,2021,2020-21,1610612744,Golden State Warriors,1627737,Marquese Chriss,F,PF,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.4900000000000001,6.595,9,4,5,23
187685,2021,2020-21,1610612749,Milwaukee Bucks,1630241,Sam Merrill,G,SG,12-25-2020,22000006,MIL,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,6.395,23,4,5,38
187688,2021,2020-21,1610612749,Milwaukee Bucks,1629670,Jordan Nwora,F,SF,12-25-2020,22000006,MIL,GSW,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.09,8.344999999999999,25,4,5,44
