,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
158415,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,6.015,23,4,0,5
158447,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.98,8.085,25,4,0,9
158452,2021,2020-21,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.67,6.355,8,4,0,22
158460,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.14,6.825,10,4,0,53
158467,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1,8.295,25,4,1,6
158471,2021,2020-21,1610612753,Orlando Magic,1628407,Dwayne Bacon,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.52,7.675,24,4,1,12
158483,2021,2020-21,1610612751,Brooklyn Nets,1628971,Bruce Brown,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.26,6.245,23,4,1,39
158486,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.8300000000000001,7.155,16,4,2,2
158492,2021,2020-21,1610612753,Orlando Magic,1628407,Dwayne Bacon,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.915,2,4,2,34
158509,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,6.065,3,4,3,3
158513,2021,2020-21,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.38,6.505,15,4,3,10
158519,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.0699999999999998,6.985,16,4,3,25
158521,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.74,8.135,24,4,3,41
158529,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.12,6.635,8,4,3,58
158533,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.26,8.165,27,4,4,35
158536,2021,2020-21,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.45,5.735,14,4,4,45
158538,2021,2020-21,1610612751,Brooklyn Nets,1628971,Bruce Brown,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,6.035,2,4,5,2
158551,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.29,6.225,13,4,5,31
158553,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1699999999999999,8.344999999999999,25,4,5,41
158557,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,5,52
158560,2021,2020-21,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.25,6.095,4,4,5,55
158563,2021,2020-21,1610612751,Brooklyn Nets,203925,Joe Harris,F,SF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.3,7.975,25,4,6,11
158572,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.13,6.415,12,4,6,38
158576,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.71,6.484999999999999,10,4,6,57
158585,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.3,6.115,13,4,7,18
158589,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.01,8.245000000000001,24,4,7,34
158593,2021,2020-21,1610612751,Brooklyn Nets,1627789,Timothe Luwawu-Cabarrot,F,SF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.06,7.1850000000000005,17,4,7,42
158594,2021,2020-21,1610612753,Orlando Magic,1629109,Gary Clark,F,SF-PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.12,5.805,1,4,8,6
158599,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.02,6.825,14,4,8,21
158602,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.0,8.065,24,4,8,40
158606,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.02,8.375,26,4,8,46
158615,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.3,7.935,25,4,9,1
158617,2021,2020-21,1610612753,Orlando Magic,1629109,Gary Clark,F,SF-PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.77,8.115,24,4,9,16
158620,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.36,7.865,24,4,9,22
158621,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.93,8.245000000000001,26,4,9,42
158622,2021,2020-21,1610612753,Orlando Magic,203920,Khem Birch,C,C,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.3,6.975,17,4,9,58
158624,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.945,1,4,10,21
158625,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.0699999999999998,8.015,24,4,10,38
158630,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,6.135,3,4,10,54
158633,2021,2020-21,1610612753,Orlando Magic,203932,Aaron Gordon,F,PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.23,5.785,22,4,11,2
158635,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.8800000000000001,6.395,10,4,11,16
158637,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.89,6.645,12,4,11,28
158642,2021,2020-21,1610612751,Brooklyn Nets,1629617,Reggie Perry,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.925,1,4,11,48
158652,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.06,8.605,28,3,0,0
158654,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.43,6.405,7,3,0,16
158659,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.45,7.825,25,3,0,34
158668,2021,2020-21,1610612751,Brooklyn Nets,1629013,Landry Shamet,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.855,0,3,0,57
158673,2021,2020-21,1610612753,Orlando Magic,203920,Khem Birch,C,C,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,6.115,3,3,1,2
158675,2021,2020-21,1610612753,Orlando Magic,203932,Aaron Gordon,F,PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.72,7.535,24,3,1,6
158689,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.29,8.165,24,3,1,34
158707,2021,2020-21,1610612753,Orlando Magic,203932,Aaron Gordon,F,PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.76,7.405,17,3,1,59
158736,2021,2020-21,1610612753,Orlando Magic,1628407,Dwayne Bacon,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.4900000000000001,6.815,11,3,2,27
158739,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.795,0,3,2,50
158742,2021,2020-21,1610612753,Orlando Magic,203082,Terrence Ross,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.26,5.695,22,3,2,59
158746,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.5900000000000001,8.335,26,3,3,10
158747,2021,2020-21,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.01,8.305,25,3,3,22
158752,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.93,8.185,25,3,3,35
158756,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.38,8.235,24,3,3,46
158763,2021,2020-21,1610612751,Brooklyn Nets,1627789,Timothe Luwawu-Cabarrot,F,SF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.23,8.045,25,3,4,2
158765,2021,2020-21,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.765,0,3,4,16
158770,2021,2020-21,1610612751,Brooklyn Nets,1628971,Bruce Brown,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,4,26
158775,2021,2020-21,1610612751,Brooklyn Nets,201599,DeAndre Jordan,C,C,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Cutting Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.18,6.205,4,3,4,31
158779,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.06,8.285,25,3,4,57
158788,2021,2020-21,1610612753,Orlando Magic,203920,Khem Birch,C,C,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,6.035,2,3,5,4
158790,2021,2020-21,1610612751,Brooklyn Nets,1628971,Bruce Brown,G,PG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.32,6.275,23,3,5,15
158805,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.02,6.235,4,3,5,32
158807,2021,2020-21,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1699999999999999,6.465,7,3,5,44
158809,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.2,8.025,25,3,5,59
158813,2021,2020-21,1610612753,Orlando Magic,1628407,Dwayne Bacon,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.945,2,3,6,5
158817,2021,2020-21,1610612751,Brooklyn Nets,201142,Kevin Durant,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.745,0,3,6,28
158822,2021,2020-21,1610612753,Orlando Magic,1628407,Dwayne Bacon,G,SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.16,6.115,12,3,6,40
158833,2021,2020-21,1610612751,Brooklyn Nets,201145,Jeff Green,F,PF,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.995,2,3,6,55
158835,2021,2020-21,1610612753,Orlando Magic,203932,Aaron Gordon,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.31,7.555,18,3,7,23
158839,2021,2020-21,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,7,27
158842,2021,2020-21,1610612753,Orlando Magic,1628407,Dwayne Bacon,G,SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.03,5.875,1,3,7,29
158848,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.16,8.075,25,3,7,50
158857,2021,2020-21,1610612751,Brooklyn Nets,201935,James Harden,G,PG-SG,01-16-2021,22000190,BKN,ORL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.11,6.765000000000001,9,3,8,15
158872,2021,2020-21,1610612751,Brooklyn Nets,201145,Jeff Green,F,PF,01-16-2021,22000190,BKN,ORL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.875,1,3,8,36
