,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
35265,2021,2020-21,1610612753,Orlando Magic,1626184,Chasson Randle,G,PG,04-22-2021,22000893,ORL,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.17,8.025,25,4,0,29
35268,2021,2020-21,1610612740,New Orleans Pelicans,203263,James Nunnally,F,SF,04-22-2021,22000893,ORL,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.26,6.245,23,4,0,43
35270,2021,2020-21,1610612753,Orlando Magic,1629962,Devin Cannady,G,PG,04-22-2021,22000893,ORL,NOP,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2799999999999999,7.005,12,4,0,57
35273,2021,2020-21,1610612740,New Orleans Pelicans,1626195,Willy Hernangomez,C,C,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,5.975,3,4,1,8
35275,2021,2020-21,1610612753,Orlando Magic,1629606,Robert Franks,F,PF,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.02,8.425,26,4,1,19
35283,2021,2020-21,1610612753,Orlando Magic,1626184,Chasson Randle,G,PG,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.5599999999999999,6.585,9,4,1,44
35285,2021,2020-21,1610612740,New Orleans Pelicans,1630184,Kira Lewis Jr.,G,PG,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.98,8.245000000000001,26,4,1,58
35288,2021,2020-21,1610612753,Orlando Magic,1629962,Devin Cannady,G,PG,04-22-2021,22000893,ORL,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.64,7.705,25,4,2,11
35294,2021,2020-21,1610612740,New Orleans Pelicans,1626195,Willy Hernangomez,C,C,04-22-2021,22000893,ORL,NOP,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.785,0,4,2,27
35303,2021,2020-21,1610612740,New Orleans Pelicans,203263,James Nunnally,F,SF,04-22-2021,22000893,ORL,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,6.035,23,4,2,50
35307,2021,2020-21,1610612753,Orlando Magic,1629606,Robert Franks,F,PF,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.8099999999999999,8.265,26,4,3,0
35310,2021,2020-21,1610612740,New Orleans Pelicans,1626195,Willy Hernangomez,C,C,04-22-2021,22000893,ORL,NOP,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.0699999999999999,6.245,4,4,3,13
35316,2021,2020-21,1610612753,Orlando Magic,1629743,Donta Hall,F,PF,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.06,6.484999999999999,7,4,3,30
35320,2021,2020-21,1610612740,New Orleans Pelicans,1626195,Willy Hernangomez,C,C,04-22-2021,22000893,ORL,NOP,Made Shot,True,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.44,5.805,4,4,3,49
35325,2021,2020-21,1610612753,Orlando Magic,1626184,Chasson Randle,G,PG,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.32,6.055,4,4,4,2
35327,2021,2020-21,1610612740,New Orleans Pelicans,1628411,Wes Iwundu,F,SF,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.1699999999999999,7.965,21,4,4,12
35328,2021,2020-21,1610612753,Orlando Magic,1626184,Chasson Randle,G,PG,04-22-2021,22000893,ORL,NOP,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.36,6.505,8,4,4,35
35335,2021,2020-21,1610612753,Orlando Magic,1629962,Devin Cannady,G,PG,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.92,7.505,25,4,5,6
35339,2021,2020-21,1610612740,New Orleans Pelicans,203263,James Nunnally,F,SF,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3600000000000003,5.945,23,4,5,16
35340,2021,2020-21,1610612753,Orlando Magic,1626184,Chasson Randle,G,PG,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.73,7.325,17,4,5,29
35347,2021,2020-21,1610612740,New Orleans Pelicans,1626195,Willy Hernangomez,C,C,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.62,8.305,26,4,5,48
35354,2021,2020-21,1610612753,Orlando Magic,1629962,Devin Cannady,G,PG,04-22-2021,22000893,ORL,NOP,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.38,6.055,4,4,6,1
