,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
124934,2021,2020-21,1610612755,Philadelphia 76ers,203552,Seth Curry,G,SG,02-11-2021,22000394,POR,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.26,6.895,25,4,0,22
124938,2021,2020-21,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,02-11-2021,22000394,POR,PHI,Missed Shot,False,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.24,5.945,2,4,0,27
124940,2021,2020-21,1610612757,Portland Trail Blazers,1627884,Derrick Jones Jr.,F,SF,02-11-2021,22000394,POR,PHI,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.11,6.025,2,4,0,41
124941,2021,2020-21,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-11-2021,22000394,POR,PHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.38,7.355,16,4,1,1
124943,2021,2020-21,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,02-11-2021,22000394,POR,PHI,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.32,6.345,6,4,1,15
124945,2021,2020-21,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,02-11-2021,22000394,POR,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.28,8.195,27,4,1,39
124947,2021,2020-21,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,02-11-2021,22000394,POR,PHI,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.29,7.975,25,4,1,47
124953,2021,2020-21,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-11-2021,22000394,POR,PHI,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,6.065,3,4,2,3
124958,2021,2020-21,1610612757,Portland Trail Blazers,1629018,Gary Trent Jr.,G,SG,02-11-2021,22000394,POR,PHI,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.1800000000000002,8.175,26,4,2,21
124964,2021,2020-21,1610612755,Philadelphia 76ers,203552,Seth Curry,G,SG,02-11-2021,22000394,POR,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.8,7.535,25,4,2,46
124967,2021,2020-21,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,02-11-2021,22000394,POR,PHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.22,5.855,2,4,2,48
124977,2021,2020-21,1610612757,Portland Trail Blazers,202683,Enes Freedom,C,C,02-11-2021,22000394,POR,PHI,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.885,1,4,3,6
124982,2021,2020-21,1610612757,Portland Trail Blazers,2546,Carmelo Anthony,F,PF,02-11-2021,22000394,POR,PHI,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.0699999999999998,7.155,17,4,3,46
124984,2021,2020-21,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,02-11-2021,22000394,POR,PHI,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.19,7.615,21,4,3,58
124986,2021,2020-21,1610612755,Philadelphia 76ers,1627732,Ben Simmons,G,PG,02-11-2021,22000394,POR,PHI,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.975,2,4,4,15
124989,2021,2020-21,1610612757,Portland Trail Blazers,2546,Carmelo Anthony,F,PF,02-11-2021,22000394,POR,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7600000000000002,8.335,31,4,4,30
124990,2021,2020-21,1610612755,Philadelphia 76ers,203552,Seth Curry,G,SG,02-11-2021,22000394,POR,PHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.02,7.745,19,4,4,58
124994,2021,2020-21,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,02-11-2021,22000394,POR,PHI,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.8099999999999999,7.285,17,4,5,14
124999,2021,2020-21,1610612755,Philadelphia 76ers,1627788,Furkan Korkmaz,G,SG,02-11-2021,22000394,POR,PHI,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,5.995,23,4,5,24
125007,2021,2020-21,1610612757,Portland Trail Blazers,2546,Carmelo Anthony,F,PF,02-11-2021,22000394,POR,PHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.25,6.755,15,4,6,8
125010,2021,2020-21,1610612757,Portland Trail Blazers,1629018,Gary Trent Jr.,G,SG,02-11-2021,22000394,POR,PHI,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.09,8.225,24,4,6,23
125014,2021,2020-21,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,02-11-2021,22000394,POR,PHI,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.17,6.205,12,4,6,37
125016,2021,2020-21,1610612757,Portland Trail Blazers,2546,Carmelo Anthony,F,PF,02-11-2021,22000394,POR,PHI,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.58,7.035,20,4,6,53
