,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
31421,2021,2020-21,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.97,8.315,27,4,0,2
31449,2021,2020-21,1610612758,Sacramento Kings,1630169,Tyrese Haliburton,G,PG,04-25-2021,22000915,GSW,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,6.065,3,4,0,18
31453,2021,2020-21,1610612758,Sacramento Kings,1626158,Richaun Holmes,C,C,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,6.055,2,4,1,1
31455,2021,2020-21,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.29,6.265000000000001,5,4,1,3
31463,2021,2020-21,1610612744,Golden State Warriors,203110,Draymond Green,F,PF,04-25-2021,22000915,GSW,SAC,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,1,8
31467,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.985,2,4,1,9
31485,2021,2020-21,1610612744,Golden State Warriors,1626162,Kelly Oubre Jr.,F,SF,04-25-2021,22000915,GSW,SAC,Made Shot,True,Floating Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.115,3,4,1,42
31491,2021,2020-21,1610612758,Sacramento Kings,1630169,Tyrese Haliburton,G,PG,04-25-2021,22000915,GSW,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,6.135,3,4,1,55
31496,2021,2020-21,1610612744,Golden State Warriors,1626162,Kelly Oubre Jr.,F,SF,04-25-2021,22000915,GSW,SAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.835,0,4,2,9
31497,2021,2020-21,1610612758,Sacramento Kings,1630169,Tyrese Haliburton,G,PG,04-25-2021,22000915,GSW,SAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.06,6.235,4,4,2,27
31504,2021,2020-21,1610612744,Golden State Warriors,1626162,Kelly Oubre Jr.,F,SF,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,6.085,3,4,2,42
31510,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.12,8.395,26,4,2,47
31515,2021,2020-21,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.43,6.765000000000001,10,4,3,0
31521,2021,2020-21,1610612744,Golden State Warriors,203110,Draymond Green,F,PF,04-25-2021,22000915,GSW,SAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.975,2,4,3,18
31526,2021,2020-21,1610612744,Golden State Warriors,1626162,Kelly Oubre Jr.,F,SF,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.44,7.985,26,4,3,55
31544,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,04-25-2021,22000915,GSW,SAC,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,4,28
31548,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7600000000000002,7.545,24,4,4,31
31550,2021,2020-21,1610612758,Sacramento Kings,1630169,Tyrese Haliburton,G,PG,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.6800000000000002,8.715,33,4,4,40
31556,2021,2020-21,1610612758,Sacramento Kings,1630169,Tyrese Haliburton,G,PG,04-25-2021,22000915,GSW,SAC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.03,6.875,11,4,5,8
31574,2021,2020-21,1610612744,Golden State Warriors,203110,Draymond Green,F,PF,04-25-2021,22000915,GSW,SAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.94,6.835,14,4,5,37
