,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
166350,2021,2020-21,1610612758,Sacramento Kings,1629002,Chimezie Metu,C,C,01-09-2021,22000140,SAC,POR,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.885,1,4,0,17
166353,2021,2020-21,1610612758,Sacramento Kings,1629713,Justin James,F,SF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.23,6.415,23,4,0,37
166355,2021,2020-21,1610612757,Portland Trail Blazers,1629014,Anfernee Simons,G,SG,01-09-2021,22000140,SAC,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.43,8.355,26,4,0,46
166356,2021,2020-21,1610612758,Sacramento Kings,1630218,Robert Woodard II,F,SF,01-09-2021,22000140,SAC,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.1,7.005,24,4,1,2
166358,2021,2020-21,1610612757,Portland Trail Blazers,1629018,Gary Trent Jr.,G,SG,01-09-2021,22000140,SAC,POR,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.13,7.855,20,4,1,10
166360,2021,2020-21,1610612758,Sacramento Kings,1628963,Marvin Bagley III,F,PF,01-09-2021,22000140,SAC,POR,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,5.905,1,4,1,24
166362,2021,2020-21,1610612758,Sacramento Kings,1629713,Justin James,F,SF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.25,8.035,25,4,1,28
166365,2021,2020-21,1610612757,Portland Trail Blazers,1629018,Gary Trent Jr.,G,SG,01-09-2021,22000140,SAC,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.15,8.254999999999999,24,4,1,39
166370,2021,2020-21,1610612757,Portland Trail Blazers,1629018,Gary Trent Jr.,G,SG,01-09-2021,22000140,SAC,POR,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.23,7.175,18,4,2,2
166379,2021,2020-21,1610612757,Portland Trail Blazers,1629642,Nassir Little,F,PF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.15,5.975,2,4,2,16
166382,2021,2020-21,1610612757,Portland Trail Blazers,1628385,Harry Giles III,C,C,01-09-2021,22000140,SAC,POR,Missed Shot,False,Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.24,6.135,4,4,2,21
166387,2021,2020-21,1610612757,Portland Trail Blazers,1629642,Nassir Little,F,PF,01-09-2021,22000140,SAC,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.4900000000000001,8.205,24,4,2,50
166399,2021,2020-21,1610612757,Portland Trail Blazers,1628385,Harry Giles III,C,C,01-09-2021,22000140,SAC,POR,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.98,7.065,16,4,3,6
166400,2021,2020-21,1610612758,Sacramento Kings,1629002,Chimezie Metu,C,C,01-09-2021,22000140,SAC,POR,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.3299999999999999,6.455,7,4,3,23
166403,2021,2020-21,1610612758,Sacramento Kings,1629002,Chimezie Metu,C,C,01-09-2021,22000140,SAC,POR,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.995,2,4,3,30
166406,2021,2020-21,1610612757,Portland Trail Blazers,1629604,CJ Elleby,F,SF,01-09-2021,22000140,SAC,POR,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.25,5.865,22,4,3,50
166407,2021,2020-21,1610612758,Sacramento Kings,203922,Glenn Robinson III,F,SF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,5.935,23,4,4,0
166408,2021,2020-21,1610612757,Portland Trail Blazers,1629014,Anfernee Simons,G,SG,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.6,7.695,24,4,4,10
166409,2021,2020-21,1610612758,Sacramento Kings,202709,Cory Joseph,G,PG,01-09-2021,22000140,SAC,POR,Made Shot,True,Jump Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.36,5.905,3,4,4,26
166410,2021,2020-21,1610612757,Portland Trail Blazers,1629014,Anfernee Simons,G,SG,01-09-2021,22000140,SAC,POR,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,6.295,23,4,4,42
166419,2021,2020-21,1610612758,Sacramento Kings,1628963,Marvin Bagley III,F,PF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.41,6.035,4,4,4,56
166421,2021,2020-21,1610612757,Portland Trail Blazers,1629014,Anfernee Simons,G,SG,01-09-2021,22000140,SAC,POR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.3,6.075,4,4,5,8
166436,2021,2020-21,1610612758,Sacramento Kings,202709,Cory Joseph,G,PG,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.22,7.045,12,4,5,47
166442,2021,2020-21,1610612757,Portland Trail Blazers,2546,Carmelo Anthony,F,PF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.12,7.085,24,4,5,58
166446,2021,2020-21,1610612758,Sacramento Kings,1628963,Marvin Bagley III,F,PF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.05,7.555,17,4,6,9
166474,2021,2020-21,1610612757,Portland Trail Blazers,202683,Enes Freedom,C,C,01-09-2021,22000140,SAC,POR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.19,5.835,1,4,6,34
166476,2021,2020-21,1610612758,Sacramento Kings,1627741,Buddy Hield,G,SG,01-09-2021,22000140,SAC,POR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,6.035,2,4,6,50
166480,2021,2020-21,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.83,7.515,25,4,7,0
166483,2021,2020-21,1610612758,Sacramento Kings,1627741,Buddy Hield,G,SG,01-09-2021,22000140,SAC,POR,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.95,8.145,25,4,7,16
166488,2021,2020-21,1610612757,Portland Trail Blazers,2546,Carmelo Anthony,F,PF,01-09-2021,22000140,SAC,POR,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.18,6.945,11,4,7,23
166491,2021,2020-21,1610612758,Sacramento Kings,1627741,Buddy Hield,G,SG,01-09-2021,22000140,SAC,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.1,8.344999999999999,25,4,7,39
166497,2021,2020-21,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,01-09-2021,22000140,SAC,POR,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.1800000000000002,5.945,11,4,8,3
