,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
53897,2021,2020-21,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,04-09-2021,22000798,GSW,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,5.975,23,4,0,6
53901,2021,2020-21,1610612764,Washington Wizards,201566,Russell Westbrook,G,PG,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.01,8.455,26,4,0,11
53924,2021,2020-21,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.32,6.095,4,4,0,22
53929,2021,2020-21,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,5.845,3,4,0,46
53932,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-09-2021,22000798,GSW,WAS,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.855,0,4,0,33
53944,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,04-09-2021,22000798,GSW,WAS,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.835,1,4,1,9
53949,2021,2020-21,1610612744,Golden State Warriors,203110,Draymond Green,F,PF,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.71,6.945,13,4,1,29
53960,2021,2020-21,1610612744,Golden State Warriors,1626162,Kelly Oubre Jr.,F,SF,04-09-2021,22000798,GSW,WAS,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.03,5.945,1,4,2,1
53963,2021,2020-21,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,04-09-2021,22000798,GSW,WAS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.23,7.025,17,4,2,17
53975,2021,2020-21,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,04-09-2021,22000798,GSW,WAS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,6.095,3,4,2,42
53980,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.1100000000000003,7.1850000000000005,25,4,2,52
54002,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.26,8.485,29,4,3,29
54004,2021,2020-21,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,04-09-2021,22000798,GSW,WAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.65,7.505,18,4,3,45
54009,2021,2020-21,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-09-2021,22000798,GSW,WAS,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,5.975,2,4,4,8
54019,2021,2020-21,1610612764,Washington Wizards,201577,Robin Lopez,C,C,04-09-2021,22000798,GSW,WAS,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.23,6.115,12,4,4,28
54026,2021,2020-21,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.8,7.865,27,4,4,47
54031,2021,2020-21,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,04-09-2021,22000798,GSW,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.26,6.165,22,4,5,0
54038,2021,2020-21,1610612744,Golden State Warriors,1626162,Kelly Oubre Jr.,F,SF,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.35,6.245,23,4,5,18
54074,2021,2020-21,1610612764,Washington Wizards,201577,Robin Lopez,C,C,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.995,2,4,6,13
54080,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.31,5.785,13,4,5,51
54083,2021,2020-21,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,6,12
54086,2021,2020-21,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.44,6.215,15,4,6,16
54090,2021,2020-21,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,PF,04-09-2021,22000798,GSW,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.08,5.885,1,4,6,39
54105,2021,2020-21,1610612744,Golden State Warriors,1630164,James Wiseman,C,C,04-09-2021,22000798,GSW,WAS,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.38,6.675,9,4,7,11
54109,2021,2020-21,1610612764,Washington Wizards,202397,Ish Smith,G,PG,04-09-2021,22000798,GSW,WAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.08,7.355,19,4,7,24
54119,2021,2020-21,1610612764,Washington Wizards,201566,Russell Westbrook,G,PG,04-09-2021,22000798,GSW,WAS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,7,51
