,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
147872,2022,2021-22,1610612738,Boston Celtics,202683,Enes Freedom,C,C,12-10-2021,22100390,PHX,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.825,0,4,0,19
147878,2022,2021-22,1610612738,Boston Celtics,1630174,Aaron Nesmith,F,SF,12-10-2021,22100390,PHX,BOS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.825,0,4,0,23
147882,2022,2021-22,1610612738,Boston Celtics,1630174,Aaron Nesmith,F,SF,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.34,6.734999999999999,25,4,0,50
147883,2022,2021-22,1610612756,Phoenix Suns,1630688,Ish Wainright,F,PF,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.35,7.935,25,4,1,0
147888,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.12,5.695,1,4,1,18
147890,2022,2021-22,1610612738,Boston Celtics,1630202,Payton Pritchard,G,PG,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.59,7.295,21,4,1,32
147893,2022,2021-22,1610612738,Boston Celtics,1630202,Payton Pritchard,G,PG,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.34,8.125,27,4,1,40
147895,2022,2021-22,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,12-10-2021,22100390,PHX,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.24,5.645,22,4,1,46
147897,2022,2021-22,1610612756,Phoenix Suns,1628990,Chandler Hutchison,F,SF,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,5.855,2,4,1,49
147905,2022,2021-22,1610612756,Phoenix Suns,1630188,Jalen Smith,F,PF,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.35,7.885,25,4,2,18
147910,2022,2021-22,1610612738,Boston Celtics,202683,Enes Freedom,C,C,12-10-2021,22100390,PHX,BOS,Made Shot,True,Hook Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.18,5.875,2,4,2,38
147911,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-10-2021,22100390,PHX,BOS,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.4900000000000001,7.315,16,4,2,53
147912,2022,2021-22,1610612738,Boston Celtics,203953,Jabari Parker,F,PF,12-10-2021,22100390,PHX,BOS,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,3,5
147915,2022,2021-22,1610612738,Boston Celtics,202683,Enes Freedom,C,C,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,5.715,1,4,3,9
147917,2022,2021-22,1610612756,Phoenix Suns,1630688,Ish Wainright,F,PF,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.885,1,4,3,17
147925,2022,2021-22,1610612738,Boston Celtics,203953,Jabari Parker,F,PF,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.37,7.395,16,4,3,34
147928,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.16,6.535,7,4,3,40
147950,2022,2021-22,1610612738,Boston Celtics,203953,Jabari Parker,F,PF,12-10-2021,22100390,PHX,BOS,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.05,6.505,7,4,4,6
