,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
93446,2022,2021-22,1610612766,Charlotte Hornets,1630547,James Bouknight,G,SG,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.13,7.065,24,4,0,7
93448,2022,2021-22,1610612737,Atlanta Hawks,1627789,Timothe Luwawu-Cabarrot,F,SF,01-23-2022,22100703,CHA,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.94,7.555,26,4,0,18
93450,2022,2021-22,1610612737,Atlanta Hawks,1628995,Kevin Knox II,F,SF,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.63,8.045,27,4,0,23
93454,2022,2021-22,1610612766,Charlotte Hornets,1630539,Kai Jones,C,C,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-2.07,6.035,20,4,0,34
93457,2022,2021-22,1610612737,Atlanta Hawks,1630219,Skylar Mays,G,SG,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,6.045,2,4,0,44
93462,2022,2021-22,1610612766,Charlotte Hornets,1630550,JT Thor,F,PF,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.8699999999999999,7.035,15,4,1,10
93463,2022,2021-22,1610612737,Atlanta Hawks,1626153,Delon Wright,G,SG,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.94,7.825,28,4,1,22
93475,2022,2021-22,1610612737,Atlanta Hawks,1629027,Trae Young,G,PG,01-23-2022,22100703,CHA,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.32,8.775,30,4,2,4
93496,2022,2021-22,1610612737,Atlanta Hawks,1629027,Trae Young,G,PG,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.25,5.835,2,4,2,27
93516,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-23-2022,22100703,CHA,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.025,2,4,3,1
93524,2022,2021-22,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.23,5.895,2,4,3,8
93529,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,6.225,23,4,3,34
93544,2022,2021-22,1610612766,Charlotte Hornets,1629023,P.J. Washington,C,C,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.22,6.035,3,4,3,38
93556,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-23-2022,22100703,CHA,ATL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.965,2,4,4,0
93560,2022,2021-22,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,01-23-2022,22100703,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.32,6.235,23,4,4,9
