,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
126142,2022,2021-22,1610612766,Charlotte Hornets,203486,Mason Plumlee,C,C,12-29-2021,22100517,IND,CHA,Missed Shot,False,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.23,5.985,3,4,0,12
126143,2022,2021-22,1610612754,Indiana Pacers,1627747,Caris LeVert,G,SG,12-29-2021,22100517,IND,CHA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.23,8.435,26,4,0,22
126144,2022,2021-22,1610612754,Indiana Pacers,1628470,Torrey Craig,F,SF,12-29-2021,22100517,IND,CHA,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.975,2,4,0,37
126146,2022,2021-22,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,12-29-2021,22100517,IND,CHA,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.26,5.965,3,4,0,39
126148,2022,2021-22,1610612766,Charlotte Hornets,203486,Mason Plumlee,C,C,12-29-2021,22100517,IND,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.975,2,4,0,50
126149,2022,2021-22,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,12-29-2021,22100517,IND,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.16,8.325,25,4,1,13
126151,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,12-29-2021,22100517,IND,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.1699999999999999,6.675,9,4,1,25
126156,2022,2021-22,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,12-29-2021,22100517,IND,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.15,6.035,3,4,1,44
126158,2022,2021-22,1610612754,Indiana Pacers,1627747,Caris LeVert,G,SG,12-29-2021,22100517,IND,CHA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.51,8.195,24,4,2,22
126160,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,12-29-2021,22100517,IND,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.37,6.305,24,4,2,33
126162,2022,2021-22,1610612754,Indiana Pacers,1627747,Caris LeVert,G,SG,12-29-2021,22100517,IND,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.52,7.855,25,4,2,59
