,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
110516,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-10-2022,22100607,CHA,MIL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.02,6.265000000000001,4,4,0,15
110517,2022,2021-22,1610612749,Milwaukee Bucks,202083,Wesley Matthews,G,SG,01-10-2022,22100607,CHA,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,6.045,2,4,0,35
110531,2022,2021-22,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,01-10-2022,22100607,CHA,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.5,5.865,5,4,0,38
110538,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-10-2022,22100607,CHA,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.22,5.855,2,4,0,42
110542,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-10-2022,22100607,CHA,MIL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.64,7.895,22,4,1,6
110546,2022,2021-22,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,01-10-2022,22100607,CHA,MIL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.94,8.145,25,4,1,26
110550,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-10-2022,22100607,CHA,MIL,Missed Shot,False,Fadeaway Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.28,6.505,23,4,1,35
110562,2022,2021-22,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,01-10-2022,22100607,CHA,MIL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.37,5.825,13,4,2,2
110567,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-10-2022,22100607,CHA,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.73,7.955,27,4,2,18
110569,2022,2021-22,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,01-10-2022,22100607,CHA,MIL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.905,1,4,2,39
