,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
205195,2022,2021-22,1610612739,Cleveland Cavaliers,1630698,Kevin Pangos,G,PG,10-27-2021,22100064,LAC,CLE,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.22,6.175,4,4,0,12
205200,2022,2021-22,1610612746,Los Angeles Clippers,1628392,Isaiah Hartenstein,C,C,10-27-2021,22100064,LAC,CLE,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.15,6.715,9,4,0,34
205227,2022,2021-22,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,10-27-2021,22100064,LAC,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.77,8.344999999999999,26,4,0,54
205232,2022,2021-22,1610612746,Los Angeles Clippers,1628379,Luke Kennard,G,SG,10-27-2021,22100064,LAC,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.41,7.995,26,4,1,18
205236,2022,2021-22,1610612739,Cleveland Cavaliers,1630596,Evan Mobley,F,PF,10-27-2021,22100064,LAC,CLE,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,6.035,2,4,1,28
205238,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,10-27-2021,22100064,LAC,CLE,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.41,6.265000000000001,14,4,1,35
205241,2022,2021-22,1610612739,Cleveland Cavaliers,1630205,Lamar Stevens,F,PF,10-27-2021,22100064,LAC,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.61,8.045,27,4,1,44
205244,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,10-27-2021,22100064,LAC,CLE,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.23,6.045,3,4,2,3
205265,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,10-27-2021,22100064,LAC,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.33,7.085,26,4,2,47
205269,2022,2021-22,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,10-27-2021,22100064,LAC,CLE,Made Shot,True,Pullup Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.26,5.905,2,4,3,2
205273,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,10-27-2021,22100064,LAC,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.47,7.945,26,4,3,28
