,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
214376,2022,2021-22,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.15,8.075,25,4,0,9
214394,2022,2021-22,1610612739,Cleveland Cavaliers,201937,Ricky Rubio,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.4,7.955,25,4,0,19
214418,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.02,8.344999999999999,25,4,0,51
214423,2022,2021-22,1610612739,Cleveland Cavaliers,1628374,Lauri Markkanen,F,SF,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.19,8.015,25,4,1,11
214435,2022,2021-22,1610612763,Memphis Grizzlies,1629001,De'Anthony Melton,G,SG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.795,0,4,1,18
214439,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.2,8.175,26,4,1,23
214441,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.39,6.845,11,4,1,37
214451,2022,2021-22,1610612739,Cleveland Cavaliers,1630596,Evan Mobley,F,PF,10-20-2021,22100007,MEM,CLE,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.01,6.495,7,4,1,53
214452,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.53,6.455,8,4,2,8
214454,2022,2021-22,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.76,8.115,24,4,2,33
214459,2022,2021-22,1610612763,Memphis Grizzlies,1628991,Jaren Jackson Jr.,F,PF,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.24,7.985,25,4,2,49
214465,2022,2021-22,1610612739,Cleveland Cavaliers,1628374,Lauri Markkanen,F,SF,10-20-2021,22100007,MEM,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.93,8.325,27,4,3,8
214472,2022,2021-22,1610612763,Memphis Grizzlies,1629001,De'Anthony Melton,G,SG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.34,6.025,23,4,3,25
214475,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.915,1,4,3,31
214497,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.6900000000000001,8.185,25,4,3,53
214501,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.18,7.045,25,4,4,4
214506,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.765,0,4,4,13
214529,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.13,6.515000000000001,7,4,4,49
214537,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.61,7.835,26,4,5,4
214551,2022,2021-22,1610612763,Memphis Grizzlies,1630217,Desmond Bane,G,SG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.27,7.985,25,4,5,14
214560,2022,2021-22,1610612739,Cleveland Cavaliers,1628386,Jarrett Allen,C,C,10-20-2021,22100007,MEM,CLE,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.865,1,4,5,39
214568,2022,2021-22,1610612763,Memphis Grizzlies,1630217,Desmond Bane,G,SG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.11,5.925,1,4,5,54
214572,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.12,8.285,25,4,6,14
214574,2022,2021-22,1610612763,Memphis Grizzlies,1629723,John Konchar,G,SG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.895,1,4,6,33
214581,2022,2021-22,1610612739,Cleveland Cavaliers,1630171,Isaac Okoro,F,SF,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.5599999999999999,6.455,8,4,6,40
214583,2022,2021-22,1610612763,Memphis Grizzlies,203500,Steven Adams,C,C,10-20-2021,22100007,MEM,CLE,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.855,0,4,7,0
214589,2022,2021-22,1610612763,Memphis Grizzlies,1630217,Desmond Bane,G,SG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.06,6.865,10,4,7,6
214635,2022,2021-22,1610612739,Cleveland Cavaliers,1630596,Evan Mobley,F,PF,10-20-2021,22100007,MEM,CLE,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.875,1,4,7,20
214639,2022,2021-22,1610612739,Cleveland Cavaliers,1628374,Lauri Markkanen,F,SF,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.05,8.285,25,4,7,24
214643,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.02,6.6850000000000005,9,4,7,42
214650,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,6.065,3,4,7,46
214677,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.06,6.985,12,4,8,11
214686,2022,2021-22,1610612763,Memphis Grizzlies,1628991,Jaren Jackson Jr.,F,PF,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.115,3,4,8,19
214712,2022,2021-22,1610612763,Memphis Grizzlies,1629001,De'Anthony Melton,G,SG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.05,7.865,23,4,8,47
214720,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.65,8.385,26,4,9,3
214728,2022,2021-22,1610612763,Memphis Grizzlies,1626145,Tyus Jones,G,PG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.855,1,4,9,27
214737,2022,2021-22,1610612739,Cleveland Cavaliers,1628386,Jarrett Allen,C,C,10-20-2021,22100007,MEM,CLE,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.935,1,4,9,39
214744,2022,2021-22,1610612763,Memphis Grizzlies,1628991,Jaren Jackson Jr.,F,PF,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.1,8.405000000000001,26,4,9,50
214754,2022,2021-22,1610612763,Memphis Grizzlies,1630533,Ziaire Williams,F,SF,10-20-2021,22100007,MEM,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.27,6.405,23,4,10,19
214776,2022,2021-22,1610612763,Memphis Grizzlies,1629001,De'Anthony Melton,G,SG,10-20-2021,22100007,MEM,CLE,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.785,0,4,11,0
214792,2022,2021-22,1610612763,Memphis Grizzlies,1629634,Brandon Clarke,F,PF,10-20-2021,22100007,MEM,CLE,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.735,0,4,11,14
214802,2022,2021-22,1610612763,Memphis Grizzlies,1628991,Jaren Jackson Jr.,F,PF,10-20-2021,22100007,MEM,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.53,7.795,25,4,11,38
214809,2022,2021-22,1610612739,Cleveland Cavaliers,1629012,Collin Sexton,G,SG,10-20-2021,22100007,MEM,CLE,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.945,1,4,11,47
