,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
84691,2022,2021-22,1610612742,Dallas Mavericks,203493,Reggie Bullock,F,SF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.18,6.875,11,4,0,0
84695,2022,2021-22,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.34,6.045,23,4,0,0
84726,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.99,6.085,10,4,0,20
84752,2022,2021-22,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.29,8.405000000000001,26,4,0,36
84754,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-30-2022,22100755,ORL,DAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.15,6.345,5,4,0,54
84761,2022,2021-22,1610612742,Dallas Mavericks,203493,Reggie Bullock,F,SF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.85,7.655,26,4,1,12
84763,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.38,6.065,23,4,1,28
84768,2022,2021-22,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,5.985,23,4,1,55
84771,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.92,7.725,27,4,2,13
84775,2022,2021-22,1610612742,Dallas Mavericks,1627827,Dorian Finney-Smith,F,PF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.58,8.344999999999999,26,4,2,32
84804,2022,2021-22,1610612742,Dallas Mavericks,1628467,Maxi Kleber,F,PF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.38,6.225,24,4,3,7
84814,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-30-2022,22100755,ORL,DAL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.54,6.675,10,4,3,26
84818,2022,2021-22,1610612742,Dallas Mavericks,1627737,Marquese Chriss,F,PF,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,5.855,23,4,3,42
84830,2022,2021-22,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.29,8.325,25,4,4,13
84837,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-30-2022,22100755,ORL,DAL,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.01,6.315,5,4,5,0
84844,2022,2021-22,1610612742,Dallas Mavericks,203493,Reggie Bullock,F,SF,01-30-2022,22100755,ORL,DAL,Made Shot,True,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.27,5.805,22,4,5,16
84852,2022,2021-22,1610612742,Dallas Mavericks,1627737,Marquese Chriss,F,PF,01-30-2022,22100755,ORL,DAL,Made Shot,True,Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.04,6.175,4,4,5,44
84868,2022,2021-22,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,01-30-2022,22100755,ORL,DAL,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.22,5.915,2,4,6,25
84872,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-30-2022,22100755,ORL,DAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.55,5.955,5,4,6,41
84881,2022,2021-22,1610612742,Dallas Mavericks,1627737,Marquese Chriss,F,PF,01-30-2022,22100755,ORL,DAL,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,6.085,3,4,6,56
84903,2022,2021-22,1610612742,Dallas Mavericks,1629029,Luka Doncic,G,PG,01-30-2022,22100755,ORL,DAL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.6900000000000001,8.355,26,4,7,22
84907,2022,2021-22,1610612753,Orlando Magic,1629021,Moritz Wagner,C,C,01-30-2022,22100755,ORL,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.63,7.815,26,4,7,33
84923,2022,2021-22,1610612753,Orlando Magic,1629021,Moritz Wagner,C,C,01-30-2022,22100755,ORL,DAL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.985,2,4,8,6
