,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
57014,2022,2021-22,1610612765,Detroit Pistons,202709,Cory Joseph,G,PG,02-26-2022,22100905,DET,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.25,5.825,2,4,0,10
57033,2022,2021-22,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,02-26-2022,22100905,DET,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.41,8.094999999999999,27,4,0,23
57036,2022,2021-22,1610612765,Detroit Pistons,1630595,Cade Cunningham,G,SG,02-26-2022,22100905,DET,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.47,8.395,26,4,0,45
57041,2022,2021-22,1610612738,Boston Celtics,1630202,Payton Pritchard,G,PG,02-26-2022,22100905,DET,BOS,Made Shot,True,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.825,2,4,0,58
57048,2022,2021-22,1610612738,Boston Celtics,1628369,Jayson Tatum,F,SF,02-26-2022,22100905,DET,BOS,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,6.015,2,4,1,13
57056,2022,2021-22,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,02-26-2022,22100905,DET,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.27,6.905,25,4,1,47
57060,2022,2021-22,1610612765,Detroit Pistons,1630595,Cade Cunningham,G,SG,02-26-2022,22100905,DET,BOS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.31,5.905,3,4,2,6
57062,2022,2021-22,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,02-26-2022,22100905,DET,BOS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1699999999999999,5.715,1,4,2,22
57068,2022,2021-22,1610612765,Detroit Pistons,202709,Cory Joseph,G,PG,02-26-2022,22100905,DET,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.35,5.895,23,4,2,45
57070,2022,2021-22,1610612765,Detroit Pistons,1630595,Cade Cunningham,G,SG,02-26-2022,22100905,DET,BOS,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.34,8.155000000000001,27,4,2,51
