,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
190753,2022,2021-22,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.12,5.885,1,4,0,12
190754,2022,2021-22,1610612744,Golden State Warriors,1629185,Chris Chiozza,G,PG,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.37,6.405,24,4,0,29
190755,2022,2021-22,1610612745,Houston Rockets,1630528,Josh Christopher,G,SG,11-07-2021,22100145,GSW,HOU,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.975,2,4,0,52
190757,2022,2021-22,1610612744,Golden State Warriors,1630541,Moses Moody,G,SG,11-07-2021,22100145,GSW,HOU,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.61,6.945,13,4,0,58
190759,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,11-07-2021,22100145,GSW,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,6.165,4,4,1,10
190767,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.91,8.315,26,4,1,40
190769,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,11-07-2021,22100145,GSW,HOU,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.875,1,4,1,51
190770,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,11-07-2021,22100145,GSW,HOU,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.16,5.935,2,4,2,8
190774,2022,2021-22,1610612745,Houston Rockets,1630586,Usman Garuba,F,PF,11-07-2021,22100145,GSW,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.13,8.235,24,4,2,36
190779,2022,2021-22,1610612745,Houston Rockets,1630528,Josh Christopher,G,SG,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.39,6.055,24,4,3,3
190780,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,11-07-2021,22100145,GSW,HOU,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.885,1,4,3,28
190783,2022,2021-22,1610612745,Houston Rockets,1630586,Usman Garuba,F,PF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,6.085,23,4,3,53
190788,2022,2021-22,1610612745,Houston Rockets,1630528,Josh Christopher,G,SG,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,5.935,2,4,4,0
190793,2022,2021-22,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,SF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.37,6.165,24,4,4,18
190805,2022,2021-22,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,11-07-2021,22100145,GSW,HOU,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,6.025,2,4,4,35
190811,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.39,6.025,24,4,4,41
190815,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.25,5.905,22,4,5,3
190818,2022,2021-22,1610612744,Golden State Warriors,203490,Otto Porter Jr.,F,PF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.04,8.185,26,4,5,12
190823,2022,2021-22,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,6.065,3,4,5,19
190832,2022,2021-22,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,SF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.96,6.885,14,4,5,32
190841,2022,2021-22,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,6.095,23,4,5,53
190844,2022,2021-22,1610612744,Golden State Warriors,1630541,Moses Moody,G,SG,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.22,5.625,22,4,6,9
190846,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,11-07-2021,22100145,GSW,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.8,8.475,28,4,6,25
190850,2022,2021-22,1610612745,Houston Rockets,1630256,Jae'Sean Tate,F,PF,11-07-2021,22100145,GSW,HOU,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.58,5.925,5,4,6,43
190854,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,11-07-2021,22100145,GSW,HOU,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.775,0,4,7,6
