,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
214342,2022,2021-22,1610612745,Houston Rockets,1630528,Josh Christopher,G,SG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.985,2,4,0,8
214348,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,10-20-2021,22100008,MIN,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.64,7.695,25,4,0,24
214349,2022,2021-22,1610612750,Minnesota Timberwolves,1630593,McKinley Wright IV,G,PG,10-20-2021,22100008,MIN,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.86,7.625,26,4,0,49
214351,2022,2021-22,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.27,6.075,22,4,1,0
214353,2022,2021-22,1610612750,Minnesota Timberwolves,1627774,Jake Layman,F,SF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.905,1,4,1,13
214358,2022,2021-22,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,6.095,3,4,1,18
214361,2022,2021-22,1610612750,Minnesota Timberwolves,1627774,Jake Layman,F,SF,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.37,6.405,24,4,1,27
214365,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,10-20-2021,22100008,MIN,HOU,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.855,1,4,1,40
214368,2022,2021-22,1610612745,Houston Rockets,1630586,Usman Garuba,F,PF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.875,1,4,2,3
214369,2022,2021-22,1610612750,Minnesota Timberwolves,1629669,Jaylen Nowell,G,SG,10-20-2021,22100008,MIN,HOU,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,6.025,2,4,2,14
214372,2022,2021-22,1610612750,Minnesota Timberwolves,1629669,Jaylen Nowell,G,SG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.31,5.895,3,4,2,17
214373,2022,2021-22,1610612745,Houston Rockets,1630528,Josh Christopher,G,SG,10-20-2021,22100008,MIN,HOU,Made Shot,True,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.23,6.575,23,4,2,36
214397,2022,2021-22,1610612750,Minnesota Timberwolves,1627774,Jake Layman,F,SF,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.48,5.945,14,4,3,28
214399,2022,2021-22,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.915,1,4,3,37
214403,2022,2021-22,1610612750,Minnesota Timberwolves,1629669,Jaylen Nowell,G,SG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.42,6.365,7,4,3,54
214410,2022,2021-22,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.875,1,4,4,8
214413,2022,2021-22,1610612750,Minnesota Timberwolves,1630195,Leandro Bolmaro,F,SF,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.925,1,4,4,15
214414,2022,2021-22,1610612745,Houston Rockets,1630586,Usman Garuba,F,PF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.815,0,4,4,26
214415,2022,2021-22,1610612745,Houston Rockets,1630528,Josh Christopher,G,SG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,6.045,2,4,4,29
214438,2022,2021-22,1610612745,Houston Rockets,1630586,Usman Garuba,F,PF,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,5.855,1,4,4,47
214445,2022,2021-22,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,6.035,2,4,5,12
214464,2022,2021-22,1610612750,Minnesota Timberwolves,1629675,Naz Reid,C,C,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.875,1,4,5,33
214493,2022,2021-22,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.875,1,4,6,14
214503,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.31,8.595,28,4,6,37
214510,2022,2021-22,1610612750,Minnesota Timberwolves,1626156,D'Angelo Russell,G,PG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.96,7.055,16,4,7,0
214527,2022,2021-22,1610612745,Houston Rockets,1629717,Armoni Brooks,G,SG-PG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7,7.565,24,4,7,15
214536,2022,2021-22,1610612745,Houston Rockets,1628021,David Nwaba,F,SF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.855,1,4,7,44
214545,2022,2021-22,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,10-20-2021,22100008,MIN,HOU,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.915,1,4,8,6
214557,2022,2021-22,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2799999999999999,5.915,3,4,8,9
214595,2022,2021-22,1610612745,Houston Rockets,1630224,Jalen Green,G,SG,10-20-2021,22100008,MIN,HOU,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,5.875,1,4,8,24
