,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
75313,2022,2021-22,1610612746,Los Angeles Clippers,1630527,Brandon Boston,G,SG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.51,6.915,12,4,0,17
75316,2022,2021-22,1610612749,Milwaukee Bucks,202083,Wesley Matthews,G,SG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.6800000000000002,7.995,27,4,1,2
75318,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.3,8.145,27,4,1,20
75323,2022,2021-22,1610612749,Milwaukee Bucks,1628978,Donte DiVincenzo,G,SG,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.46,7.985,26,4,1,28
75327,2022,2021-22,1610612746,Los Angeles Clippers,1629599,Amir Coffey,G,SG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.945,1,4,1,40
75329,2022,2021-22,1610612749,Milwaukee Bucks,1628978,Donte DiVincenzo,G,SG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.25,8.105,26,4,2,2
75333,2022,2021-22,1610612746,Los Angeles Clippers,1630527,Brandon Boston,G,SG,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.1800000000000002,8.415,28,4,2,10
75334,2022,2021-22,1610612749,Milwaukee Bucks,1628978,Donte DiVincenzo,G,SG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.53,7.955,26,4,2,24
75336,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.775,0,4,2,44
75342,2022,2021-22,1610612749,Milwaukee Bucks,1628978,Donte DiVincenzo,G,SG,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-1.42,6.715,17,4,2,53
75361,2022,2021-22,1610612746,Los Angeles Clippers,203496,Robert Covington,F,PF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7899999999999998,7.725,26,4,3,5
75366,2022,2021-22,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,PF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.25,6.355,6,4,3,22
75367,2022,2021-22,1610612746,Los Angeles Clippers,203496,Robert Covington,F,PF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.19,8.205,27,4,3,36
75391,2022,2021-22,1610612749,Milwaukee Bucks,1626171,Bobby Portis,C,C,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.62,7.925,26,4,3,51
75395,2022,2021-22,1610612746,Los Angeles Clippers,202694,Marcus Morris Sr.,F,PF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.84,7.775,27,4,3,59
75399,2022,2021-22,1610612749,Milwaukee Bucks,1626171,Bobby Portis,C,C,02-06-2022,22100809,LAC,MIL,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.25,6.725,9,4,4,10
75403,2022,2021-22,1610612746,Los Angeles Clippers,201586,Serge Ibaka,C,C,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.35,8.195,27,4,4,30
75412,2022,2021-22,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.6800000000000002,6.745,19,4,4,47
75417,2022,2021-22,1610612746,Los Angeles Clippers,1626181,Norman Powell,F,SF-SG,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.15,8.415,28,4,5,0
75424,2022,2021-22,1610612749,Milwaukee Bucks,1626192,Pat Connaughton,F,SF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.39,8.605,28,4,5,13
75426,2022,2021-22,1610612746,Los Angeles Clippers,1626181,Norman Powell,F,SF-SG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.6,7.075,14,4,5,31
75427,2022,2021-22,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.53,5.985,5,4,5,46
75432,2022,2021-22,1610612746,Los Angeles Clippers,202694,Marcus Morris Sr.,F,PF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.62,7.925,26,4,6,0
75436,2022,2021-22,1610612749,Milwaukee Bucks,1626171,Bobby Portis,C,C,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.33,6.025,23,4,6,22
75440,2022,2021-22,1610612746,Los Angeles Clippers,201586,Serge Ibaka,C,C,02-06-2022,22100809,LAC,MIL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.825,0,4,6,37
75455,2022,2021-22,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.53,8.295,25,4,6,50
75460,2022,2021-22,1610612746,Los Angeles Clippers,203496,Robert Covington,F,PF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.73,7.985,28,4,6,59
75463,2022,2021-22,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.16,6.055,3,4,7,15
75478,2022,2021-22,1610612749,Milwaukee Bucks,1626171,Bobby Portis,C,C,02-06-2022,22100809,LAC,MIL,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.93,6.055,9,4,7,53
75483,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.62,7.935,27,4,8,14
75489,2022,2021-22,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.0699999999999999,6.275,5,4,8,42
75503,2022,2021-22,1610612749,Milwaukee Bucks,201950,Jrue Holiday,G,PG,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.775,23,4,8,53
75507,2022,2021-22,1610612746,Los Angeles Clippers,203496,Robert Covington,F,PF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,9,12
75511,2022,2021-22,1610612746,Los Angeles Clippers,1626181,Norman Powell,F,SF-SG,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1699999999999999,6.295,5,4,9,13
75526,2022,2021-22,1610612746,Los Angeles Clippers,203496,Robert Covington,F,PF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.37,5.785,23,4,9,49
75528,2022,2021-22,1610612746,Los Angeles Clippers,201586,Serge Ibaka,C,C,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.1800000000000002,7.275,19,4,9,54
75535,2022,2021-22,1610612749,Milwaukee Bucks,203918,Rodney Hood,F,PF-SF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.1,7.265,25,4,10,6
75538,2022,2021-22,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.22,6.185,4,4,10,10
75548,2022,2021-22,1610612746,Los Angeles Clippers,1626181,Norman Powell,F,SF-SG,02-06-2022,22100809,LAC,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.21,6.025,3,4,10,24
75551,2022,2021-22,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,02-06-2022,22100809,LAC,MIL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.835,0,4,10,39
75559,2022,2021-22,1610612746,Los Angeles Clippers,201586,Serge Ibaka,C,C,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.26,6.205,5,4,10,43
75566,2022,2021-22,1610612746,Los Angeles Clippers,1629611,Terance Mann,F,SF,02-06-2022,22100809,LAC,MIL,Missed Shot,False,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.16,6.205,4,4,10,45
