,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
132456,2022,2021-22,1610612747,Los Angeles Lakers,202738,Isaiah Thomas,G,PG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.28,5.885,22,4,0,16
132457,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,12-23-2021,22100487,LAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.915,23,4,0,28
132458,2022,2021-22,1610612747,Los Angeles Lakers,1630222,Mason Jones,G,SG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.5,8.375,26,4,0,49
132459,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.96,7.415,25,4,1,1
132460,2022,2021-22,1610612747,Los Angeles Lakers,202738,Isaiah Thomas,G,PG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.8300000000000001,8.455,28,4,1,18
132461,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,12-23-2021,22100487,LAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.46,7.825,25,4,1,26
132462,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.64,7.855,26,4,1,48
132463,2022,2021-22,1610612747,Los Angeles Lakers,1630222,Mason Jones,G,SG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1699999999999999,5.905,2,4,2,4
132464,2022,2021-22,1610612759,San Antonio Spurs,1630200,Tre Jones,G,PG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.04,6.275,5,4,2,11
132465,2022,2021-22,1610612747,Los Angeles Lakers,1629659,Talen Horton-Tucker,G,SG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.13,6.205,4,4,2,21
132466,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,12-23-2021,22100487,LAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.95,7.535,26,4,2,33
132467,2022,2021-22,1610612747,Los Angeles Lakers,202738,Isaiah Thomas,G,PG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.6,6.535,9,4,2,46
132468,2022,2021-22,1610612759,San Antonio Spurs,1628401,Derrick White,G,SG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.13,7.695,19,4,3,1
132469,2022,2021-22,1610612747,Los Angeles Lakers,1630222,Mason Jones,G,SG,12-23-2021,22100487,LAL,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.21,5.925,2,4,3,26
132471,2022,2021-22,1610612747,Los Angeles Lakers,201599,DeAndre Jordan,C,C,12-23-2021,22100487,LAL,SAS,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.775,0,4,4,15
132475,2022,2021-22,1610612747,Los Angeles Lakers,201566,Russell Westbrook,G,PG,12-23-2021,22100487,LAL,SAS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.45,6.415,7,4,4,44
132476,2022,2021-22,1610612759,San Antonio Spurs,1627749,Dejounte Murray,G,PG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.45,8.515,27,4,4,55
132477,2022,2021-22,1610612747,Los Angeles Lakers,2546,Carmelo Anthony,F,PF,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.6800000000000002,7.815,26,4,5,9
132479,2022,2021-22,1610612747,Los Angeles Lakers,201599,DeAndre Jordan,C,C,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,5,11
132482,2022,2021-22,1610612747,Los Angeles Lakers,1630222,Mason Jones,G,SG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.22,6.095,3,4,5,15
132484,2022,2021-22,1610612747,Los Angeles Lakers,1630222,Mason Jones,G,SG,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.005,3,4,5,19
132488,2022,2021-22,1610612759,San Antonio Spurs,1628401,Derrick White,G,SG,12-23-2021,22100487,LAL,SAS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.995,2,4,5,40
132492,2022,2021-22,1610612747,Los Angeles Lakers,2544,LeBron James,F,PF,12-23-2021,22100487,LAL,SAS,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.27,8.075,26,4,5,53
