,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
144121,2022,2021-22,1610612748,Miami Heat,1630209,Omer Yurtseven,C,C,12-13-2021,22100404,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.59,8.185,28,4,0,11
144130,2022,2021-22,1610612739,Cleveland Cavaliers,1628386,Jarrett Allen,C,C,12-13-2021,22100404,CLE,MIA,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.885,1,4,0,23
144168,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,12-13-2021,22100404,CLE,MIA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.0,7.495,26,4,0,49
144171,2022,2021-22,1610612748,Miami Heat,1629130,Duncan Robinson,G,SG,12-13-2021,22100404,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.35,8.045,26,4,1,12
144181,2022,2021-22,1610612748,Miami Heat,1630209,Omer Yurtseven,C,C,12-13-2021,22100404,CLE,MIA,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.26,6.575,8,4,1,40
144188,2022,2021-22,1610612748,Miami Heat,200782,P.J. Tucker,F,PF,12-13-2021,22100404,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.845,23,4,2,14
144192,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,12-13-2021,22100404,CLE,MIA,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.04,6.725,14,4,2,24
144195,2022,2021-22,1610612748,Miami Heat,200768,Kyle Lowry,G,PG,12-13-2021,22100404,CLE,MIA,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,5.945,1,4,2,44
144224,2022,2021-22,1610612739,Cleveland Cavaliers,1628386,Jarrett Allen,C,C,12-13-2021,22100404,CLE,MIA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.805,0,4,3,31
144236,2022,2021-22,1610612748,Miami Heat,1629216,Gabe Vincent,G,PG,12-13-2021,22100404,CLE,MIA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.6599999999999999,6.905,13,4,3,43
144245,2022,2021-22,1610612748,Miami Heat,200768,Kyle Lowry,G,PG,12-13-2021,22100404,CLE,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.815,0,4,4,12
144251,2022,2021-22,1610612739,Cleveland Cavaliers,201567,Kevin Love,C,C,12-13-2021,22100404,CLE,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.94,7.485,25,4,4,19
144256,2022,2021-22,1610612748,Miami Heat,200768,Kyle Lowry,G,PG,12-13-2021,22100404,CLE,MIA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.05,7.135,13,4,4,48
144267,2022,2021-22,1610612739,Cleveland Cavaliers,201567,Kevin Love,C,C,12-13-2021,22100404,CLE,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.73,7.545,24,4,5,10
