,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
77902,2022,2021-22,1610612740,New Orleans Pelicans,1630529,Herbert Jones,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.37,6.025,4,4,0,21
77907,2022,2021-22,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.85,7.635,26,4,0,44
77946,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.37,7.925,25,4,1,50
77951,2022,2021-22,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,SF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.41,6.045,14,4,1,59
77958,2022,2021-22,1610612743,Denver Nuggets,1628432,Davon Reed,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.52,8.135,28,4,2,24
77967,2022,2021-22,1610612740,New Orleans Pelicans,202685,Jonas Valanciunas,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1,6.405,6,4,2,45
77973,2022,2021-22,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.32,6.565,24,4,3,7
77979,2022,2021-22,1610612740,New Orleans Pelicans,1630529,Herbert Jones,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.865,0,4,3,32
77995,2022,2021-22,1610612740,New Orleans Pelicans,202685,Jonas Valanciunas,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.875,1,4,3,45
78001,2022,2021-22,1610612743,Denver Nuggets,1628432,Davon Reed,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.24,6.505,23,4,3,53
78002,2022,2021-22,1610612740,New Orleans Pelicans,1628984,Devonte' Graham,G,PG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7600000000000002,7.995,28,4,4,1
78008,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.76,7.325,17,4,4,26
78014,2022,2021-22,1610612740,New Orleans Pelicans,1630529,Herbert Jones,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.44,6.145,5,4,4,41
78027,2022,2021-22,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,SF,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,8.325,25,4,5,5
78048,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.38,6.715,10,4,5,40
78060,2022,2021-22,1610612740,New Orleans Pelicans,1630631,Jose Alvarado,G,PG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.1,8.065,25,4,6,3
78062,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.23,5.925,2,4,6,22
78068,2022,2021-22,1610612740,New Orleans Pelicans,1630529,Herbert Jones,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2799999999999999,5.855,2,4,6,39
78073,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.0,8.265,26,4,6,47
78078,2022,2021-22,1610612740,New Orleans Pelicans,202685,Jonas Valanciunas,C,C,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,6.045,3,4,6,56
78082,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.16,8.405000000000001,26,4,7,21
78084,2022,2021-22,1610612740,New Orleans Pelicans,1630529,Herbert Jones,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.53,7.825,25,4,7,35
78104,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.16,8.344999999999999,28,4,7,50
78107,2022,2021-22,1610612740,New Orleans Pelicans,1630529,Herbert Jones,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.4,8.245000000000001,25,4,8,8
78144,2022,2021-22,1610612743,Denver Nuggets,1630538,Bones Hyland,G,SG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.35,8.105,26,4,9,2
78152,2022,2021-22,1610612740,New Orleans Pelicans,1629638,Nickeil Alexander-Walker,G,SG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.875,1,4,9,19
78173,2022,2021-22,1610612743,Denver Nuggets,203210,JaMychal Green,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.905,1,4,10,7
78180,2022,2021-22,1610612743,Denver Nuggets,1627854,Bryn Forbes,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7,7.725,25,4,10,24
78192,2022,2021-22,1610612743,Denver Nuggets,203085,Austin Rivers,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0699999999999999,6.555,7,4,10,44
78193,2022,2021-22,1610612740,New Orleans Pelicans,1630530,Trey Murphy III,F,SF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.55,6.095,6,4,11,5
78202,2022,2021-22,1610612743,Denver Nuggets,1627854,Bryn Forbes,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.02,7.405,25,4,11,27
78227,2022,2021-22,1610612743,Denver Nuggets,1627854,Bryn Forbes,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-1.61,6.765000000000001,18,3,0,0
78233,2022,2021-22,1610612740,New Orleans Pelicans,1629638,Nickeil Alexander-Walker,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.21,8.335,25,3,0,9
78236,2022,2021-22,1610612743,Denver Nuggets,1630538,Bones Hyland,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.23,8.004999999999999,25,3,0,33
78240,2022,2021-22,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,SF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.3199999999999998,6.855,17,3,0,41
78242,2022,2021-22,1610612743,Denver Nuggets,1630192,Zeke Nnaji,F,PF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,1,2
78247,2022,2021-22,1610612743,Denver Nuggets,203210,JaMychal Green,F,PF,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.12,8.205,26,3,1,8
78273,2022,2021-22,1610612743,Denver Nuggets,1630538,Bones Hyland,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.25,5.845,2,3,1,28
78276,2022,2021-22,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,SF,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.8099999999999999,8.375,27,3,1,39
78283,2022,2021-22,1610612743,Denver Nuggets,1627854,Bryn Forbes,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.42,6.635,9,3,1,46
78316,2022,2021-22,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.26,5.925,3,3,2,40
78332,2022,2021-22,1610612743,Denver Nuggets,1627854,Bryn Forbes,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.51,7.885,25,3,3,10
78344,2022,2021-22,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,SF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.3399999999999999,6.025,4,3,3,21
78351,2022,2021-22,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.35,6.115,23,3,3,41
78356,2022,2021-22,1610612740,New Orleans Pelicans,1629637,Jaxson Hayes,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.5900000000000001,6.965,13,3,3,55
78360,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.26,5.905,2,3,4,12
78368,2022,2021-22,1610612740,New Orleans Pelicans,1629638,Nickeil Alexander-Walker,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.42,6.095,5,3,4,17
78372,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1699999999999999,5.715,1,3,4,41
78374,2022,2021-22,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,SF,02-04-2022,22100794,DEN,NOP,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.1,6.065,11,3,5,6
78421,2022,2021-22,1610612740,New Orleans Pelicans,202685,Jonas Valanciunas,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.18,8.335,25,3,5,42
78429,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.23,6.195,4,3,5,54
78437,2022,2021-22,1610612740,New Orleans Pelicans,202685,Jonas Valanciunas,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.29,5.945,3,3,6,11
78442,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.91,7.505,25,3,6,26
78453,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2799999999999999,5.995,3,3,6,54
78459,2022,2021-22,1610612740,New Orleans Pelicans,1627742,Brandon Ingram,F,SF,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.42,5.865,14,3,7,2
78462,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,7,14
78470,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,02-04-2022,22100794,DEN,NOP,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.02,6.395,6,3,7,18
78489,2022,2021-22,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,02-04-2022,22100794,DEN,NOP,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.47,8.344999999999999,26,3,7,49
