,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
93472,2022,2021-22,1610612753,Orlando Magic,1628976,Wendell Carter Jr.,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.825,0,4,0,55
93477,2022,2021-22,1610612741,Chicago Bulls,1628396,Tony Bradley,C,C,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.06,7.995,22,4,1,15
93479,2022,2021-22,1610612753,Orlando Magic,1628976,Wendell Carter Jr.,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.925,1,4,1,28
93484,2022,2021-22,1610612741,Chicago Bulls,1630792,Malcolm Hill,F,SF-SG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.56,7.005,19,4,1,44
93485,2022,2021-22,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Running Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.805,0,4,2,0
93498,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.51,6.655,10,4,2,14
93503,2022,2021-22,1610612741,Chicago Bulls,1629632,Coby White,G,PG,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.11,6.425,6,4,2,38
93505,2022,2021-22,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.735,0,4,2,50
93520,2022,2021-22,1610612741,Chicago Bulls,1628972,Troy Brown Jr.,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.05,6.295,5,4,2,58
93526,2022,2021-22,1610612753,Orlando Magic,1629678,Admiral Schofield,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.865,23,4,3,5
93548,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.945,1,4,3,47
93563,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.39,6.025,4,4,4,19
93567,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.02,6.985,12,4,4,35
93568,2022,2021-22,1610612753,Orlando Magic,1628976,Wendell Carter Jr.,F,PF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.815,0,4,4,45
93581,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.92,6.995,15,4,5,10
93587,2022,2021-22,1610612741,Chicago Bulls,202696,Nikola Vucevic,C,C,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.78,7.835,27,4,4,59
93593,2022,2021-22,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.64,7.575,24,4,5,18
93595,2022,2021-22,1610612741,Chicago Bulls,1629632,Coby White,G,PG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.3,7.515,21,4,5,42
93622,2022,2021-22,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.725,0,4,5,56
93624,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.8099999999999999,7.345,17,4,6,3
93629,2022,2021-22,1610612753,Orlando Magic,1628976,Wendell Carter Jr.,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.14,8.015,25,4,6,17
93634,2022,2021-22,1610612741,Chicago Bulls,1629632,Coby White,G,PG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.39,5.995,4,4,6,39
93639,2022,2021-22,1610612753,Orlando Magic,1629643,Chuma Okeke,F,PF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.09,6.855,10,4,6,47
93646,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.04,7.255,14,4,7,1
93678,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,6.145,3,4,7,35
93704,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.05,7.1850000000000005,14,4,8,9
93726,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.985,2,4,8,31
93749,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.05,7.145,13,4,8,50
93752,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.905,1,4,9,3
93759,2022,2021-22,1610612741,Chicago Bulls,1628972,Troy Brown Jr.,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.24,5.945,22,4,9,17
93764,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-1.75,5.945,17,4,9,25
93770,2022,2021-22,1610612741,Chicago Bulls,1629076,Tyler Cook,F,PF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.26,6.065,3,4,9,34
93776,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.06,6.345,5,4,9,43
93781,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.5900000000000001,7.165,15,4,9,57
93811,2022,2021-22,1610612753,Orlando Magic,1629021,Moritz Wagner,C,C,01-23-2022,22100701,ORL,CHI,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.725,0,4,10,9
93820,2022,2021-22,1610612741,Chicago Bulls,202696,Nikola Vucevic,C,C,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.31,8.365,26,4,10,16
93822,2022,2021-22,1610612753,Orlando Magic,1629021,Moritz Wagner,C,C,01-23-2022,22100701,ORL,CHI,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.855,0,4,10,32
93831,2022,2021-22,1610612741,Chicago Bulls,202696,Nikola Vucevic,C,C,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.8099999999999999,7.725,21,4,10,39
93833,2022,2021-22,1610612753,Orlando Magic,1629649,Ignas Brazdeikis,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.785,0,4,10,58
93850,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.78,8.225,25,4,11,24
93865,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.39,6.365,7,4,11,47
93893,2022,2021-22,1610612741,Chicago Bulls,1629632,Coby White,G,PG,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.48,7.935,26,3,0,0
93932,2022,2021-22,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.22,6.395,6,3,0,32
93955,2022,2021-22,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.13,6.235,4,3,0,40
93963,2022,2021-22,1610612741,Chicago Bulls,201942,DeMar DeRozan,F,PF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.01,6.615,8,3,0,52
93970,2022,2021-22,1610612753,Orlando Magic,1629649,Ignas Brazdeikis,F,SF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.51,8.075,27,3,1,15
93984,2022,2021-22,1610612741,Chicago Bulls,202696,Nikola Vucevic,C,C,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.09,6.445,6,3,1,33
93987,2022,2021-22,1610612753,Orlando Magic,1629021,Moritz Wagner,C,C,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,6.025,22,3,1,51
94008,2022,2021-22,1610612753,Orlando Magic,1629678,Admiral Schofield,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.12,6.965,24,3,2,29
94029,2022,2021-22,1610612753,Orlando Magic,1629649,Ignas Brazdeikis,F,SF,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.855,1,3,2,54
94065,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,01-23-2022,22100701,ORL,CHI,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.775,0,3,3,12
94083,2022,2021-22,1610612741,Chicago Bulls,1629632,Coby White,G,PG,01-23-2022,22100701,ORL,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.945,1,3,3,18
94088,2022,2021-22,1610612753,Orlando Magic,1629643,Chuma Okeke,F,PF,01-23-2022,22100701,ORL,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.37,8.115,27,3,3,34
