,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
20617,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,03-26-2022,22101108,ORL,SAC,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.2,7.115,13,5,0,2
20629,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,03-26-2022,22101108,ORL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.975,23,5,0,9
20633,2022,2021-22,1610612758,Sacramento Kings,203084,Harrison Barnes,F,PF,03-26-2022,22101108,ORL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.21,5.735,22,5,0,12
20636,2022,2021-22,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,03-26-2022,22101108,ORL,SAC,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.16,6.505,7,5,0,35
20640,2022,2021-22,1610612758,Sacramento Kings,1628978,Donte DiVincenzo,G,SG,03-26-2022,22101108,ORL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.25,5.775,22,5,0,54
20647,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,03-26-2022,22101108,ORL,SAC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.15,8.105,25,5,1,12
20653,2022,2021-22,1610612758,Sacramento Kings,1627745,Damian Jones,C,C,03-26-2022,22101108,ORL,SAC,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.39,6.734999999999999,10,5,1,34
20656,2022,2021-22,1610612753,Orlando Magic,1630175,Cole Anthony,G,PG,03-26-2022,22101108,ORL,SAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.02,7.835,22,5,1,51
20664,2022,2021-22,1610612753,Orlando Magic,1629643,Chuma Okeke,F,PF,03-26-2022,22101108,ORL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,6.105,23,5,2,27
20669,2022,2021-22,1610612758,Sacramento Kings,1630558,Davion Mitchell,G,PG,03-26-2022,22101108,ORL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.71,8.165,24,5,2,56
