,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
5070,2022,2021-22,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.24,8.555,30,4,0,6
5093,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,7
5097,2022,2021-22,1610612761,Toronto Raptors,201152,Thaddeus Young,F,PF,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.23,5.945,2,4,0,10
5113,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,32
5115,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.44,6.365,7,4,0,32
5118,2022,2021-22,1610612755,Philadelphia 76ers,1630178,Tyrese Maxey,G,PG,04-07-2022,22101197,TOR,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.775,0,4,0,52
5125,2022,2021-22,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.64,6.985,20,4,0,59
5129,2022,2021-22,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,04-07-2022,22101197,TOR,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.25,5.885,2,4,1,23
5131,2022,2021-22,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,04-07-2022,22101197,TOR,PHI,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.855,0,4,1,30
5138,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Made Shot,True,Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.26,6.085,4,4,1,50
5141,2022,2021-22,1610612755,Philadelphia 76ers,201980,Danny Green,F,SF,04-07-2022,22101197,TOR,PHI,Made Shot,True,Floating Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.32,5.715,23,4,2,13
5144,2022,2021-22,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.27,6.045,3,4,2,16
5147,2022,2021-22,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,04-07-2022,22101197,TOR,PHI,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2799999999999999,8.335,25,4,2,32
5155,2022,2021-22,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,04-07-2022,22101197,TOR,PHI,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.15,6.355,5,4,3,8
5162,2022,2021-22,1610612755,Philadelphia 76ers,201980,Danny Green,F,SF,04-07-2022,22101197,TOR,PHI,Made Shot,True,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.45,7.835,25,4,3,31
5168,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Driving Bank Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.31,6.025,3,4,3,36
5175,2022,2021-22,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.04,8.425,26,4,3,54
5180,2022,2021-22,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,04-07-2022,22101197,TOR,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,6.025,3,4,4,19
5188,2022,2021-22,1610612755,Philadelphia 76ers,201935,James Harden,G,PG,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.38,8.465,27,4,4,38
5195,2022,2021-22,1610612755,Philadelphia 76ers,1630178,Tyrese Maxey,G,PG,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.45,8.035,26,4,4,46
5199,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Made Shot,True,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1699999999999999,6.484999999999999,7,4,5,4
5201,2022,2021-22,1610612755,Philadelphia 76ers,1630178,Tyrese Maxey,G,PG,04-07-2022,22101197,TOR,PHI,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.37,6.985,12,4,5,22
5207,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.43,8.305,25,4,5,34
5221,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.0699999999999999,7.535,17,4,5,57
5228,2022,2021-22,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,04-07-2022,22101197,TOR,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,6.305,23,4,6,10
5233,2022,2021-22,1610612755,Philadelphia 76ers,1630178,Tyrese Maxey,G,PG,04-07-2022,22101197,TOR,PHI,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.29,6.045,3,4,6,30
