,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
156484,2022,2021-22,1610612756,Phoenix Suns,1630188,Jalen Smith,F,PF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.43,5.925,4,4,0,22
156488,2022,2021-22,1610612744,Golden State Warriors,1627814,Damion Lee,G,SG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.05,6.725,9,4,0,38
156491,2022,2021-22,1610612756,Phoenix Suns,1630188,Jalen Smith,F,PF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3399999999999999,5.975,3,4,0,51
156496,2022,2021-22,1610612756,Phoenix Suns,1630188,Jalen Smith,F,PF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.915,1,4,1,5
156497,2022,2021-22,1610612744,Golden State Warriors,1627780,Gary Payton II,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,6.405,24,4,1,15
156511,2022,2021-22,1610612756,Phoenix Suns,203901,Elfrid Payton,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1699999999999999,6.385,6,4,1,55
156513,2022,2021-22,1610612744,Golden State Warriors,1627814,Damion Lee,G,SG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.77,6.115,8,4,2,3
156514,2022,2021-22,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.995,2,4,2,27
156515,2022,2021-22,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.13,7.575,18,4,2,41
156523,2022,2021-22,1610612744,Golden State Warriors,1627814,Damion Lee,G,SG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.4,8.085,27,4,3,4
156546,2022,2021-22,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,SF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3,5.725,23,4,3,31
156551,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.06,6.755,9,4,3,39
156562,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.48,5.955,5,4,3,57
156572,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.975,2,4,4,21
156581,2022,2021-22,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,5.855,22,4,4,46
156594,2022,2021-22,1610612744,Golden State Warriors,1629673,Jordan Poole,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7899999999999998,7.885,27,4,5,10
156598,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7899999999999998,7.695,26,4,5,34
156604,2022,2021-22,1610612744,Golden State Warriors,1627780,Gary Payton II,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,6.445,6,4,5,59
156610,2022,2021-22,1610612756,Phoenix Suns,101108,Chris Paul,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,0.45,10.315,45,4,6,14
156624,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.06,6.345,5,4,6,38
156627,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.65,7.625,19,4,6,42
156633,2022,2021-22,1610612744,Golden State Warriors,1627780,Gary Payton II,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.985,2,4,6,58
156643,2022,2021-22,1610612744,Golden State Warriors,203952,Andrew Wiggins,F,SF,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.54,7.975,26,4,7,13
156646,2022,2021-22,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,12-03-2021,22100340,GSW,PHX,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.09,6.484999999999999,7,4,7,34
156651,2022,2021-22,1610612744,Golden State Warriors,203110,Draymond Green,F,PF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.93,8.395,27,4,7,49
156683,2022,2021-22,1610612756,Phoenix Suns,101108,Chris Paul,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.13,6.235,4,4,8,2
156690,2022,2021-22,1610612744,Golden State Warriors,1627780,Gary Payton II,G,SG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,6.405,23,4,8,12
156693,2022,2021-22,1610612756,Phoenix Suns,1628969,Mikal Bridges,F,SF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,5.975,22,4,8,27
156704,2022,2021-22,1610612744,Golden State Warriors,202357,Nemanja Bjelica,C,C,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.51,6.115,6,4,8,45
156708,2022,2021-22,1610612756,Phoenix Suns,1629028,Deandre Ayton,C,C,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.27,6.045,3,4,9,7
156736,2022,2021-22,1610612744,Golden State Warriors,1627780,Gary Payton II,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,5.795,22,4,9,35
156743,2022,2021-22,1610612744,Golden State Warriors,1627780,Gary Payton II,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.47,5.875,4,4,9,57
156761,2022,2021-22,1610612756,Phoenix Suns,201580,JaVale McGee,C,C,12-03-2021,22100340,GSW,PHX,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.975,2,4,10,26
156769,2022,2021-22,1610612744,Golden State Warriors,202357,Nemanja Bjelica,C,C,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.29,8.605,28,4,10,40
156775,2022,2021-22,1610612756,Phoenix Suns,201580,JaVale McGee,C,C,12-03-2021,22100340,GSW,PHX,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.995,2,4,10,55
156778,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,10,58
156781,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.91,6.445,11,4,11,3
156793,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.51,6.095,6,4,11,11
156797,2022,2021-22,1610612744,Golden State Warriors,202357,Nemanja Bjelica,C,C,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.14,8.395,28,4,11,24
156808,2022,2021-22,1610612756,Phoenix Suns,1629661,Cameron Johnson,F,PF,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.995,2,4,11,47
156819,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.43,5.885,4,3,0,17
156821,2022,2021-22,1610612744,Golden State Warriors,1627780,Gary Payton II,G,SG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.29,5.845,22,3,0,31
156823,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.55,5.905,5,3,0,51
156830,2022,2021-22,1610612744,Golden State Warriors,202357,Nemanja Bjelica,C,C,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.47,6.135,5,3,1,2
156831,2022,2021-22,1610612756,Phoenix Suns,201580,JaVale McGee,C,C,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,1,22
156835,2022,2021-22,1610612756,Phoenix Suns,203109,Jae Crowder,F,PF,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.25,7.965,25,3,1,28
156843,2022,2021-22,1610612756,Phoenix Suns,1626166,Cameron Payne,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.7899999999999998,7.675,26,3,2,0
156847,2022,2021-22,1610612744,Golden State Warriors,1629308,Juan Toscano-Anderson,F,SF,12-03-2021,22100340,GSW,PHX,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,2,12
156853,2022,2021-22,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.27,6.265000000000001,5,3,2,17
156857,2022,2021-22,1610612756,Phoenix Suns,201580,JaVale McGee,C,C,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,2,27
156863,2022,2021-22,1610612756,Phoenix Suns,201580,JaVale McGee,C,C,12-03-2021,22100340,GSW,PHX,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,2,28
