,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
67262,2022,2021-22,1610612756,Phoenix Suns,1628470,Torrey Craig,F,SF,02-12-2022,22100855,PHX,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,6.135,3,4,1,15
67274,2022,2021-22,1610612753,Orlando Magic,1629678,Admiral Schofield,F,SF,02-12-2022,22100855,PHX,ORL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,6.885,11,4,0,0
67277,2022,2021-22,1610612756,Phoenix Suns,203901,Elfrid Payton,G,PG,02-12-2022,22100855,PHX,ORL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.61,7.425,17,4,0,19
67281,2022,2021-22,1610612753,Orlando Magic,1629649,Ignas Brazdeikis,F,SF,02-12-2022,22100855,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.6599999999999999,8.275,25,4,0,30
67288,2022,2021-22,1610612756,Phoenix Suns,1628470,Torrey Craig,F,SF,02-12-2022,22100855,PHX,ORL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.82,8.525,28,4,0,39
67296,2022,2021-22,1610612753,Orlando Magic,1629678,Admiral Schofield,F,SF,02-12-2022,22100855,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.25,7.065,25,4,1,2
67301,2022,2021-22,1610612756,Phoenix Suns,1628988,Aaron Holiday,G,PG,02-12-2022,22100855,PHX,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.72,7.775,26,4,1,12
67322,2022,2021-22,1610612756,Phoenix Suns,203901,Elfrid Payton,G,PG,02-12-2022,22100855,PHX,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.3299999999999999,6.065,4,4,1,49
67325,2022,2021-22,1610612753,Orlando Magic,1629678,Admiral Schofield,F,SF,02-12-2022,22100855,PHX,ORL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.1800000000000002,7.405,20,4,1,56
67333,2022,2021-22,1610612756,Phoenix Suns,1628988,Aaron Holiday,G,PG,02-12-2022,22100855,PHX,ORL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.51,6.305,7,4,2,7
