,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
12339,2022,2021-22,1610612757,Portland Trail Blazers,1630553,Keon Johnson,G,SG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.955,2,4,0,21
12340,2022,2021-22,1610612759,San Antonio Spurs,1629111,Jock Landale,C,C,04-01-2022,22101158,SAS,POR,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.605,23,4,0,34
12344,2022,2021-22,1610612757,Portland Trail Blazers,1629617,Reggie Perry,F,PF,04-01-2022,22101158,SAS,POR,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.905,1,4,1,22
12347,2022,2021-22,1610612757,Portland Trail Blazers,1630314,Brandon Williams,G,PG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,6.045,23,4,1,41
12355,2022,2021-22,1610612757,Portland Trail Blazers,1629617,Reggie Perry,F,PF,04-01-2022,22101158,SAS,POR,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,2,24
12358,2022,2021-22,1610612757,Portland Trail Blazers,1629617,Reggie Perry,F,PF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,2,27
12364,2022,2021-22,1610612757,Portland Trail Blazers,1630553,Keon Johnson,G,SG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.98,6.6850000000000005,13,4,2,32
12378,2022,2021-22,1610612757,Portland Trail Blazers,1630553,Keon Johnson,G,SG,04-01-2022,22101158,SAS,POR,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,3,2
12383,2022,2021-22,1610612757,Portland Trail Blazers,1630314,Brandon Williams,G,PG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.905,1,4,3,7
12392,2022,2021-22,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,04-01-2022,22101158,SAS,POR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,6.175,4,4,3,12
12401,2022,2021-22,1610612757,Portland Trail Blazers,1629617,Reggie Perry,F,PF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.8,8.344999999999999,26,4,3,24
12404,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,04-01-2022,22101158,SAS,POR,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,3,35
12411,2022,2021-22,1610612759,San Antonio Spurs,1630200,Tre Jones,G,PG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.16,6.385,13,4,3,38
12414,2022,2021-22,1610612757,Portland Trail Blazers,1630553,Keon Johnson,G,SG,04-01-2022,22101158,SAS,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.89,7.625,26,4,4,5
12421,2022,2021-22,1610612757,Portland Trail Blazers,1630314,Brandon Williams,G,PG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.43,7.615,18,4,4,9
12436,2022,2021-22,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.17,7.065,25,4,4,37
12459,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.37,5.925,23,4,5,3
12462,2022,2021-22,1610612757,Portland Trail Blazers,1629234,Drew Eubanks,C,C,04-01-2022,22101158,SAS,POR,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.02,6.825,10,4,5,16
12465,2022,2021-22,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,04-01-2022,22101158,SAS,POR,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.16,5.785,1,4,5,30
12468,2022,2021-22,1610612757,Portland Trail Blazers,1630535,Greg Brown III,F,SF,04-01-2022,22101158,SAS,POR,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.955,1,4,5,54
12482,2022,2021-22,1610612757,Portland Trail Blazers,1630553,Keon Johnson,G,SG,04-01-2022,22101158,SAS,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.97,7.425,25,4,6,14
12486,2022,2021-22,1610612759,San Antonio Spurs,1630563,Joshua Primo,F,SF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.02,8.305,25,4,6,20
12491,2022,2021-22,1610612757,Portland Trail Blazers,1630314,Brandon Williams,G,PG,04-01-2022,22101158,SAS,POR,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.96,7.415,19,4,6,34
12508,2022,2021-22,1610612757,Portland Trail Blazers,1629234,Drew Eubanks,C,C,04-01-2022,22101158,SAS,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,6.025,2,4,6,53
12539,2022,2021-22,1610612759,San Antonio Spurs,1627751,Jakob Poeltl,C,C,04-01-2022,22101158,SAS,POR,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.22,6.365,6,4,7,3
12542,2022,2021-22,1610612757,Portland Trail Blazers,1630314,Brandon Williams,G,PG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.23,6.055,3,4,7,21
12546,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,04-01-2022,22101158,SAS,POR,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.34,5.815,23,4,7,31
12554,2022,2021-22,1610612759,San Antonio Spurs,1630200,Tre Jones,G,PG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.21,5.865,2,4,7,48
12561,2022,2021-22,1610612757,Portland Trail Blazers,1629604,CJ Elleby,F,SF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.51,5.945,5,4,7,56
12567,2022,2021-22,1610612759,San Antonio Spurs,1630563,Joshua Primo,F,SF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.36,8.035,26,4,8,9
12570,2022,2021-22,1610612757,Portland Trail Blazers,1629604,CJ Elleby,F,SF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.8,7.165,16,4,8,18
12577,2022,2021-22,1610612759,San Antonio Spurs,1627751,Jakob Poeltl,C,C,04-01-2022,22101158,SAS,POR,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.815,0,4,8,41
12600,2022,2021-22,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,04-01-2022,22101158,SAS,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.94,8.125,25,4,8,57
12607,2022,2021-22,1610612757,Portland Trail Blazers,203463,Ben McLemore,G,SG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,8.405000000000001,26,4,9,6
12614,2022,2021-22,1610612759,San Antonio Spurs,1630563,Joshua Primo,F,SF,04-01-2022,22101158,SAS,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.61,7.755,25,4,9,18
12634,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.48,6.705,10,4,9,45
12637,2022,2021-22,1610612757,Portland Trail Blazers,1627739,Kris Dunn,G,PG,04-01-2022,22101158,SAS,POR,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.25,6.535,8,4,9,56
12643,2022,2021-22,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.81,7.535,25,4,10,6
12647,2022,2021-22,1610612757,Portland Trail Blazers,203463,Ben McLemore,G,SG,04-01-2022,22101158,SAS,POR,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.38,6.775,25,4,10,26
12659,2022,2021-22,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,04-01-2022,22101158,SAS,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.83,7.535,25,4,10,40
12691,2022,2021-22,1610612757,Portland Trail Blazers,1629617,Reggie Perry,F,PF,04-01-2022,22101158,SAS,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.42,7.615,18,4,10,56
12697,2022,2021-22,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,04-01-2022,22101158,SAS,POR,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,5.775,1,4,11,12
12705,2022,2021-22,1610612759,San Antonio Spurs,1630200,Tre Jones,G,PG,04-01-2022,22101158,SAS,POR,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.78,6.415,10,4,11,31
