,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
130149,2022,2021-22,1610612758,Sacramento Kings,1629663,Louis King,F,SF,12-26-2021,22100496,SAC,MEM,Missed Shot,False,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.4300000000000002,7.985,26,4,0,0
130151,2022,2021-22,1610612758,Sacramento Kings,1629663,Louis King,F,SF,12-26-2021,22100496,SAC,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,5.825,1,4,0,22
130152,2022,2021-22,1610612763,Memphis Grizzlies,1629634,Brandon Clarke,F,PF,12-26-2021,22100496,SAC,MEM,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,5.875,1,4,0,30
130153,2022,2021-22,1610612758,Sacramento Kings,1629663,Louis King,F,SF,12-26-2021,22100496,SAC,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.91,8.135,25,4,0,42
130154,2022,2021-22,1610612763,Memphis Grizzlies,1629681,Killian Tillie,C,C,12-26-2021,22100496,SAC,MEM,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.65,8.245000000000001,25,4,0,52
130155,2022,2021-22,1610612758,Sacramento Kings,1630186,Jahmi'us Ramsey,G,SG,12-26-2021,22100496,SAC,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,5.815,1,4,1,8
130157,2022,2021-22,1610612758,Sacramento Kings,1629663,Louis King,F,SF,12-26-2021,22100496,SAC,MEM,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.36,6.705,9,4,1,13
130158,2022,2021-22,1610612763,Memphis Grizzlies,1629634,Brandon Clarke,F,PF,12-26-2021,22100496,SAC,MEM,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.855,0,4,1,21
130160,2022,2021-22,1610612763,Memphis Grizzlies,1630179,Tyrell Terry,G,PG,12-26-2021,22100496,SAC,MEM,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.0,7.295,15,4,1,44
130162,2022,2021-22,1610612763,Memphis Grizzlies,1629783,Shaq Buchanan,G,SG,12-26-2021,22100496,SAC,MEM,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.9,7.425,25,4,1,51
130163,2022,2021-22,1610612758,Sacramento Kings,1630218,Robert Woodard II,F,SF,12-26-2021,22100496,SAC,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.52,7.625,23,4,2,8
130180,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,12-26-2021,22100496,SAC,MEM,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.09,5.935,1,4,3,6
130182,2022,2021-22,1610612758,Sacramento Kings,203090,Maurice Harkless,F,SF,12-26-2021,22100496,SAC,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.25,7.955,25,4,3,22
130185,2022,2021-22,1610612763,Memphis Grizzlies,1630217,Desmond Bane,G,SG,12-26-2021,22100496,SAC,MEM,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.64,7.375,22,4,3,37
130189,2022,2021-22,1610612763,Memphis Grizzlies,1629630,Ja Morant,G,PG,12-26-2021,22100496,SAC,MEM,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.38,5.825,13,4,3,49
130197,2022,2021-22,1610612763,Memphis Grizzlies,203500,Steven Adams,C,C,12-26-2021,22100496,SAC,MEM,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.22,6.555,8,4,4,24
