,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
212063,2022,2021-22,1610612759,San Antonio Spurs,1627749,Dejounte Murray,G,PG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.06,8.375,26,4,0,14
212070,2022,2021-22,1610612743,Denver Nuggets,1629008,Michael Porter Jr.,F,SF,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.36,5.815,3,4,0,18
212073,2022,2021-22,1610612759,San Antonio Spurs,1628401,Derrick White,G,SG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.58,7.675,24,4,0,34
212076,2022,2021-22,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,10-22-2021,22100024,DEN,SAS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.55,7.325,16,4,0,42
212081,2022,2021-22,1610612759,San Antonio Spurs,1628401,Derrick White,G,SG,10-22-2021,22100024,DEN,SAS,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.42,7.885,25,4,1,6
212088,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.21,6.035,3,4,1,12
212095,2022,2021-22,1610612759,San Antonio Spurs,1627749,Dejounte Murray,G,PG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.43,5.955,4,4,1,24
212096,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,10-22-2021,22100024,DEN,SAS,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.3199999999999998,6.135,13,4,1,32
212121,2022,2021-22,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.39,6.195,5,4,2,6
212137,2022,2021-22,1610612759,San Antonio Spurs,1627749,Dejounte Murray,G,PG,10-22-2021,22100024,DEN,SAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.36,6.365,6,4,2,44
212143,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,10-22-2021,22100024,DEN,SAS,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.09,6.645,8,4,2,55
212151,2022,2021-22,1610612759,San Antonio Spurs,203926,Doug McDermott,F,PF,10-22-2021,22100024,DEN,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.25,5.995,22,4,3,17
212159,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,10-22-2021,22100024,DEN,SAS,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.05,6.555,7,4,3,28
212197,2022,2021-22,1610612743,Denver Nuggets,1629008,Michael Porter Jr.,F,SF,10-22-2021,22100024,DEN,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.67,7.725,25,4,4,5
212200,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.6900000000000001,5.825,6,4,4,11
212207,2022,2021-22,1610612743,Denver Nuggets,203115,Will Barton,G,SG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.62,7.695,25,4,4,22
212212,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.3299999999999999,8.415,26,4,4,41
212228,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,10-22-2021,22100024,DEN,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,5.995,2,4,5,18
212254,2022,2021-22,1610612759,San Antonio Spurs,1627749,Dejounte Murray,G,PG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.25,6.065,3,4,5,30
212261,2022,2021-22,1610612743,Denver Nuggets,1628420,Monte Morris,G,PG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.61,7.705,25,4,5,45
212265,2022,2021-22,1610612759,San Antonio Spurs,1627749,Dejounte Murray,G,PG,10-22-2021,22100024,DEN,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.4300000000000002,6.145,14,4,5,57
212269,2022,2021-22,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,10-22-2021,22100024,DEN,SAS,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1,6.545,7,4,6,10
212273,2022,2021-22,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,10-22-2021,22100024,DEN,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.855,1,4,6,31
