,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
198435,2022,2021-22,1610612759,San Antonio Spurs,1629111,Jock Landale,C,C,11-01-2021,22100095,IND,SAS,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.895,1,4,0,18
198436,2022,2021-22,1610612754,Indiana Pacers,1629048,Goga Bitadze,C,C,11-01-2021,22100095,IND,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.8800000000000001,8.165,25,4,0,29
198437,2022,2021-22,1610612759,San Antonio Spurs,1629111,Jock Landale,C,C,11-01-2021,22100095,IND,SAS,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,5.835,1,4,0,37
198438,2022,2021-22,1610612754,Indiana Pacers,1629052,Oshae Brissett,F,SF,11-01-2021,22100095,IND,SAS,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.23,5.815,2,4,0,45
198440,2022,2021-22,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,11-01-2021,22100095,IND,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.15,8.395,28,4,1,2
198444,2022,2021-22,1610612754,Indiana Pacers,202954,Brad Wanamaker,G,PG,11-01-2021,22100095,IND,SAS,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.91,6.355,10,4,1,10
198446,2022,2021-22,1610612759,San Antonio Spurs,1629111,Jock Landale,C,C,11-01-2021,22100095,IND,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.02,8.415,26,4,1,26
198450,2022,2021-22,1610612754,Indiana Pacers,1630613,Duane Washington Jr.,G,PG,11-01-2021,22100095,IND,SAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.93,8.094999999999999,24,4,1,35
198453,2022,2021-22,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,11-01-2021,22100095,IND,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,5.795,22,4,1,46
198457,2022,2021-22,1610612754,Indiana Pacers,1630613,Duane Washington Jr.,G,PG,11-01-2021,22100095,IND,SAS,Made Shot,True,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.08,7.1850000000000005,25,4,1,59
198460,2022,2021-22,1610612754,Indiana Pacers,1630613,Duane Washington Jr.,G,PG,11-01-2021,22100095,IND,SAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.3,7.395,20,4,2,19
198463,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.22,5.895,2,4,2,35
198470,2022,2021-22,1610612759,San Antonio Spurs,1629111,Jock Landale,C,C,11-01-2021,22100095,IND,SAS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.855,1,4,2,58
198475,2022,2021-22,1610612754,Indiana Pacers,1629052,Oshae Brissett,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.21,5.905,2,4,3,15
198485,2022,2021-22,1610612754,Indiana Pacers,1630537,Chris Duarte,G,SG,11-01-2021,22100095,IND,SAS,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.25,6.205,4,4,3,25
198487,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,11-01-2021,22100095,IND,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.53,7.925,26,4,3,35
198492,2022,2021-22,1610612759,San Antonio Spurs,1629022,Lonnie Walker IV,G,SG,11-01-2021,22100095,IND,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.86,7.675,20,4,3,39
198498,2022,2021-22,1610612754,Indiana Pacers,1629103,Kelan Martin,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.21,7.245,26,4,3,56
198499,2022,2021-22,1610612759,San Antonio Spurs,1630170,Devin Vassell,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.16,6.625,8,4,4,15
198507,2022,2021-22,1610612754,Indiana Pacers,1628470,Torrey Craig,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.12,5.775,1,4,4,31
198512,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.29,6.095,4,4,4,48
198516,2022,2021-22,1610612754,Indiana Pacers,204456,T.J. McConnell,G,PG,11-01-2021,22100095,IND,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.25,5.725,12,4,4,57
198526,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.955,1,4,5,20
198532,2022,2021-22,1610612759,San Antonio Spurs,201152,Thaddeus Young,F,PF,11-01-2021,22100095,IND,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.48,6.295,7,4,5,24
198539,2022,2021-22,1610612754,Indiana Pacers,1630537,Chris Duarte,G,SG,11-01-2021,22100095,IND,SAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.02,8.565,27,4,5,35
198546,2022,2021-22,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,11-01-2021,22100095,IND,SAS,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.905,1,4,5,56
