,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
23216,2022,2021-22,1610612761,Toronto Raptors,1629139,Yuta Watanabe,F,SF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.02,8.375,26,4,0,15
23217,2022,2021-22,1610612739,Cleveland Cavaliers,1629164,Brandon Goodwin,G,PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,6.145,3,4,0,31
23218,2022,2021-22,1610612761,Toronto Raptors,1630625,Dalano Banton,G,PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,0,47
23221,2022,2021-22,1610612761,Toronto Raptors,1629004,Svi Mykhailiuk,F,SF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1699999999999999,6.075,3,4,0,47
23224,2022,2021-22,1610612739,Cleveland Cavaliers,1629164,Brandon Goodwin,G,PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,6.055,2,4,0,56
23225,2022,2021-22,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,03-24-2022,22101095,TOR,CLE,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.43,6.555,8,4,1,6
23227,2022,2021-22,1610612739,Cleveland Cavaliers,1630612,RJ Nembhard Jr.,G,SG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.2,7.605,18,4,1,20
23242,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.71,8.225,25,4,1,40
23250,2022,2021-22,1610612739,Cleveland Cavaliers,1627747,Caris LeVert,G,SG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.84,7.395,24,4,2,9
23255,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.02,7.825,20,4,2,20
23263,2022,2021-22,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.12,6.205,4,4,2,53
23268,2022,2021-22,1610612739,Cleveland Cavaliers,1628374,Lauri Markkanen,F,SF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.96,7.165,24,4,3,14
23270,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.925,1,4,3,36
23274,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Jump Bank Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,5.985,22,4,3,42
23278,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.55,7.025,13,4,4,0
23282,2022,2021-22,1610612739,Cleveland Cavaliers,1630596,Evan Mobley,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Hook Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.795,1,4,4,21
23285,2022,2021-22,1610612761,Toronto Raptors,1628449,Chris Boucher,F,SF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.48,5.945,5,4,4,32
23294,2022,2021-22,1610612761,Toronto Raptors,1628449,Chris Boucher,F,SF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.8,7.575,25,4,5,13
23308,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.58,6.695,10,4,5,35
23311,2022,2021-22,1610612761,Toronto Raptors,201152,Thaddeus Young,F,PF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.33,5.915,23,4,5,43
23314,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.82,6.115,8,4,5,54
23316,2022,2021-22,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.04,5.835,10,4,6,10
23323,2022,2021-22,1610612761,Toronto Raptors,1628449,Chris Boucher,F,SF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.25,6.025,3,4,6,36
23326,2022,2021-22,1610612739,Cleveland Cavaliers,1628374,Lauri Markkanen,F,SF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.1100000000000003,6.945,24,4,6,52
23327,2022,2021-22,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.32,7.335,15,4,7,3
23329,2022,2021-22,1610612739,Cleveland Cavaliers,1630596,Evan Mobley,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0699999999999999,5.975,2,4,7,27
23333,2022,2021-22,1610612761,Toronto Raptors,1629717,Armoni Brooks,G,SG-PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.42,8.035,26,4,7,39
23337,2022,2021-22,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.09,8.205,26,4,7,45
23341,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.4300000000000002,7.815,24,4,8,8
23342,2022,2021-22,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.21,6.065,3,4,8,25
23347,2022,2021-22,1610612739,Cleveland Cavaliers,1630205,Lamar Stevens,F,PF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1699999999999999,6.355,6,4,8,44
23350,2022,2021-22,1610612739,Cleveland Cavaliers,1629636,Darius Garland,G,PG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.77,6.415,10,4,8,52
23353,2022,2021-22,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,03-24-2022,22101095,TOR,CLE,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.02,8.195,26,4,9,17
23363,2022,2021-22,1610612739,Cleveland Cavaliers,1630205,Lamar Stevens,F,PF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.51,7.765,24,4,9,44
23367,2022,2021-22,1610612761,Toronto Raptors,1628449,Chris Boucher,F,SF,03-24-2022,22101095,TOR,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.63,7.885,26,4,10,6
23372,2022,2021-22,1610612739,Cleveland Cavaliers,1630171,Isaac Okoro,F,SF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.15,5.855,1,4,10,28
23376,2022,2021-22,1610612739,Cleveland Cavaliers,1627747,Caris LeVert,G,SG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4900000000000001,5.535,5,4,10,37
23381,2022,2021-22,1610612761,Toronto Raptors,201152,Thaddeus Young,F,PF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.075,3,4,10,41
23385,2022,2021-22,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,5.905,22,4,10,45
23388,2022,2021-22,1610612739,Cleveland Cavaliers,201567,Kevin Love,C,C,03-24-2022,22101095,TOR,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.5,7.815,25,4,11,1
23390,2022,2021-22,1610612739,Cleveland Cavaliers,1627747,Caris LeVert,G,SG,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.15,6.9350000000000005,11,4,11,8
23391,2022,2021-22,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,03-24-2022,22101095,TOR,CLE,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.02,6.695,9,4,11,21
23395,2022,2021-22,1610612739,Cleveland Cavaliers,1630171,Isaac Okoro,F,SF,03-24-2022,22101095,TOR,CLE,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.855,1,4,11,44
