,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
26718,2022,2021-22,1610612764,Washington Wizards,204001,Kristaps Porzingis,F,PF,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.04,5.735,0,4,2,40
26758,2022,2021-22,1610612745,Houston Rockets,1626174,Christian Wood,C,C,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.29,6.035,3,4,0,37
26761,2022,2021-22,1610612764,Washington Wizards,203484,Kentavious Caldwell-Pope,G,SG,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.27,6.115,4,4,1,0
26766,2022,2021-22,1610612745,Houston Rockets,201569,Eric Gordon,G,SG,03-21-2022,22101077,HOU,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.83,8.025,29,4,1,11
26772,2022,2021-22,1610612764,Washington Wizards,203484,Kentavious Caldwell-Pope,G,SG,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.58,8.415,27,4,1,36
26777,2022,2021-22,1610612745,Houston Rockets,1626174,Christian Wood,C,C,03-21-2022,22101077,HOU,WAS,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.42,9.004999999999999,32,4,1,42
26802,2022,2021-22,1610612745,Houston Rockets,1626174,Christian Wood,C,C,03-21-2022,22101077,HOU,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.31,6.015,3,4,2,17
26827,2022,2021-22,1610612745,Houston Rockets,1626174,Christian Wood,C,C,03-21-2022,22101077,HOU,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.8099999999999999,8.435,27,4,3,0
26829,2022,2021-22,1610612764,Washington Wizards,203484,Kentavious Caldwell-Pope,G,SG,03-21-2022,22101077,HOU,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.29,5.975,3,4,3,24
26833,2022,2021-22,1610612764,Washington Wizards,204001,Kristaps Porzingis,F,PF,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.02,8.475,27,4,3,52
26838,2022,2021-22,1610612745,Houston Rockets,1626174,Christian Wood,C,C,03-21-2022,22101077,HOU,WAS,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.5900000000000001,8.435,27,4,4,8
26852,2022,2021-22,1610612764,Washington Wizards,203526,Raul Neto,G,PG,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2799999999999999,6.275,5,4,4,39
26875,2022,2021-22,1610612745,Houston Rockets,1629645,Kevin Porter Jr.,G,PG,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.27,6.195,4,4,4,49
26877,2022,2021-22,1610612764,Washington Wizards,1630557,Corey Kispert,F,SF,03-21-2022,22101077,HOU,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.7600000000000002,7.685,25,4,5,0
26887,2022,2021-22,1610612745,Houston Rockets,1626174,Christian Wood,C,C,03-21-2022,22101077,HOU,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.31,8.415,26,4,5,22
26889,2022,2021-22,1610612764,Washington Wizards,203526,Raul Neto,G,PG,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.15,8.235,27,4,5,34
26899,2022,2021-22,1610612745,Houston Rockets,1630578,Alperen Sengun,C,C,03-21-2022,22101077,HOU,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.92,8.235,26,4,5,56
26905,2022,2021-22,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.32,5.935,23,4,6,7
26920,2022,2021-22,1610612745,Houston Rockets,1629645,Kevin Porter Jr.,G,PG,03-21-2022,22101077,HOU,WAS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.15,6.115,3,4,6,26
26931,2022,2021-22,1610612745,Houston Rockets,1629645,Kevin Porter Jr.,G,PG,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.77,6.565,11,4,7,2
26941,2022,2021-22,1610612764,Washington Wizards,203484,Kentavious Caldwell-Pope,G,SG,03-21-2022,22101077,HOU,WAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.82,7.315,17,4,7,27
26959,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,-2.02,6.765000000000001,22,4,7,51
26963,2022,2021-22,1610612745,Houston Rockets,203471,Dennis Schroder,G,SG-PG,03-21-2022,22101077,HOU,WAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.92,6.975,15,4,8,13
26968,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.85,7.555,25,4,8,29
26989,2022,2021-22,1610612745,Houston Rockets,1630224,Jalen Green,G,SG,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.81,7.805,27,4,8,45
26994,2022,2021-22,1610612764,Washington Wizards,203107,Tomas Satoransky,G,SG-PG-SF,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.4,8.395,26,4,9,6
27000,2022,2021-22,1610612745,Houston Rockets,1630224,Jalen Green,G,SG,03-21-2022,22101077,HOU,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.25,8.165,26,4,9,26
27009,2022,2021-22,1610612764,Washington Wizards,203107,Tomas Satoransky,G,SG-PG-SF,03-21-2022,22101077,HOU,WAS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.31,6.055,4,4,9,49
