,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
96030,2022,2021-22,1610612764,Washington Wizards,1626149,Montrezl Harrell,C,C,01-21-2022,22100689,WAS,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.95,7.715,27,4,0,4
96052,2022,2021-22,1610612761,Toronto Raptors,1628384,OG Anunoby,,,01-21-2022,22100689,WAS,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,6.095,3,4,0,20
96054,2022,2021-22,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.21,6.565,14,4,0,22
96059,2022,2021-22,1610612764,Washington Wizards,203915,Spencer Dinwiddie,G,PG-SG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.73,7.775,26,4,0,47
96063,2022,2021-22,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-21-2022,22100689,WAS,TOR,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.03,7.395,25,4,0,59
96076,2022,2021-22,1610612764,Washington Wizards,1626149,Montrezl Harrell,C,C,01-21-2022,22100689,WAS,TOR,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.13,5.945,2,4,1,10
96082,2022,2021-22,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.65,6.955,20,4,1,13
96101,2022,2021-22,1610612764,Washington Wizards,1626149,Montrezl Harrell,C,C,01-21-2022,22100689,WAS,TOR,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.985,2,4,1,39
96106,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.37,6.405,7,4,1,41
96114,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.74,6.985,14,4,1,52
96129,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.8099999999999999,6.445,10,4,2,13
96134,2022,2021-22,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.69,7.815,26,4,2,39
96140,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,-0.71,6.325,8,4,2,49
96150,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,5.975,23,4,3,11
96165,2022,2021-22,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,3,28
96172,2022,2021-22,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.25,8.445,26,4,3,35
96180,2022,2021-22,1610612764,Washington Wizards,1626149,Montrezl Harrell,C,C,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.05,5.915,1,4,3,56
96185,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.92,7.545,26,4,4,0
96219,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.02,6.405,6,4,4,51
96225,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-21-2022,22100689,WAS,TOR,Made Shot,True,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.01,6.255,4,4,5,16
96229,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,01-21-2022,22100689,WAS,TOR,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.13,7.425,16,4,5,31
96237,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,01-21-2022,22100689,WAS,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.905,2,4,5,47
96247,2022,2021-22,1610612761,Toronto Raptors,1628384,OG Anunoby,,,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.18,5.885,2,4,5,54
96251,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-21-2022,22100689,WAS,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.06,5.915,1,4,6,14
96257,2022,2021-22,1610612761,Toronto Raptors,1628384,OG Anunoby,,,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.4,5.885,24,4,6,22
96258,2022,2021-22,1610612764,Washington Wizards,203915,Spencer Dinwiddie,G,PG-SG,01-21-2022,22100689,WAS,TOR,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.67,8.295,26,4,6,51
96285,2022,2021-22,1610612761,Toronto Raptors,1628384,OG Anunoby,,,01-21-2022,22100689,WAS,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.04,6.795,14,4,7,14
96292,2022,2021-22,1610612761,Toronto Raptors,1628384,OG Anunoby,,,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2799999999999999,6.995,12,4,7,41
96318,2022,2021-22,1610612764,Washington Wizards,1629060,Rui Hachimura,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,5.935,2,4,7,56
96325,2022,2021-22,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.85,6.845,13,4,8,7
96328,2022,2021-22,1610612764,Washington Wizards,203915,Spencer Dinwiddie,G,PG-SG,01-21-2022,22100689,WAS,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.15,5.945,2,4,8,32
96331,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,01-21-2022,22100689,WAS,TOR,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.06,7.865,20,4,8,46
96344,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-21-2022,22100689,WAS,TOR,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.45,5.885,14,4,9,9
96350,2022,2021-22,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.38,5.725,13,4,9,17
96364,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-21-2022,22100689,WAS,TOR,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.25,6.415,6,4,9,37
96372,2022,2021-22,1610612761,Toronto Raptors,1628449,Chris Boucher,F,SF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,4,9,44
96381,2022,2021-22,1610612761,Toronto Raptors,1628384,OG Anunoby,,,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.21,8.045,25,4,9,51
96389,2022,2021-22,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.26,7.375,16,4,9,56
96397,2022,2021-22,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.5699999999999998,7.865,26,4,10,8
96407,2022,2021-22,1610612761,Toronto Raptors,1627783,Pascal Siakam,F,PF,01-21-2022,22100689,WAS,TOR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.1,7.305,18,4,10,20
