,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
144783,2023,2022-23,1610612745,Houston Rockets,1630578,Alperen Sengun,C,C,03-29-2023,22201137,BKN,HOU,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.4,6.15,6,1,11,6
144784,2023,2022-23,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,03-29-2023,22201137,BKN,HOU,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,8.85,3,1,10,21
144785,2023,2022-23,1610612745,Houston Rockets,1631095,Jabari Smith Jr.,F,PF,03-29-2023,22201137,BKN,HOU,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,1,10,15
144786,2023,2022-23,1610612745,Houston Rockets,1629645,Kevin Porter Jr.,G,PG,03-29-2023,22201137,BKN,HOU,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.4,28.65,26,1,9,55
144787,2023,2022-23,1610612745,Houston Rockets,1631095,Jabari Smith Jr.,F,PF,03-29-2023,22201137,BKN,HOU,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,5.55,0,1,9,36
144788,2023,2022-23,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,03-29-2023,22201137,BKN,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.1,23.25,25,1,8,58
144789,2023,2022-23,1610612745,Houston Rockets,1630224,Jalen Green,G,SG,03-29-2023,22201137,BKN,HOU,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.6,14.85,15,1,8,22
144790,2023,2022-23,1610612745,Houston Rockets,1630578,Alperen Sengun,C,C,03-29-2023,22201137,BKN,HOU,Made Shot,True,Driving Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.15,0,1,7,51
144791,2023,2022-23,1610612745,Houston Rockets,1629645,Kevin Porter Jr.,G,PG,03-29-2023,22201137,BKN,HOU,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.0,20.45,24,1,7,14
144792,2023,2022-23,1610612745,Houston Rockets,1630231,Kenyon Martin Jr.,F,SF,03-29-2023,22201137,BKN,HOU,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,8.45,3,1,7,7
144793,2023,2022-23,1610612745,Houston Rockets,1630578,Alperen Sengun,C,C,03-29-2023,22201137,BKN,HOU,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.2,5.35,4,1,6,29
