,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
128174,2023,2022-23,1610612746,LA Clippers,1628379,Luke Kennard,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.8,32.15,27,1,11,26
128175,2023,2022-23,1610612746,LA Clippers,202331,Paul George,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.2,28.15,25,1,10,52
128176,2023,2022-23,1610612746,LA Clippers,1628379,Luke Kennard,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,6.25,2,1,10,24
128177,2023,2022-23,1610612746,LA Clippers,202695,Kawhi Leonard,F,SF,01-31-2023,22200766,CHI,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.0,29.75,25,1,10,1
128178,2023,2022-23,1610612746,LA Clippers,202331,Paul George,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.9,30.45,25,1,9,35
128179,2023,2022-23,1610612746,LA Clippers,1629611,Terance Mann,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.8,13.15,8,1,9,13
128180,2023,2022-23,1610612746,LA Clippers,202331,Paul George,G,SG,01-31-2023,22200766,CHI,LAC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.15,0,1,9,0
128181,2023,2022-23,1610612746,LA Clippers,1628379,Luke Kennard,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.1,30.45,25,1,8,29
128182,2023,2022-23,1610612746,LA Clippers,1628379,Luke Kennard,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.4,29.25,25,1,7,34
128183,2023,2022-23,1610612746,LA Clippers,202331,Paul George,G,SG,01-31-2023,22200766,CHI,LAC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1,12.55,7,1,6,35
128184,2023,2022-23,1610612746,LA Clippers,202695,Kawhi Leonard,F,SF,01-31-2023,22200766,CHI,LAC,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.55,0,1,5,48
128185,2023,2022-23,1610612746,LA Clippers,202331,Paul George,G,SG,01-31-2023,22200766,CHI,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,5.05,23,1,5,6
128186,2023,2022-23,1610612746,LA Clippers,1626181,Norman Powell,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.4,24.55,25,1,4,43
128187,2023,2022-23,1610612746,LA Clippers,1626181,Norman Powell,G,SG,01-31-2023,22200766,CHI,LAC,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.8,11.15,6,1,3,44
128188,2023,2022-23,1610612746,LA Clippers,202331,Paul George,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.05,1,1,3,17
128189,2023,2022-23,1610612746,LA Clippers,201587,Nicolas Batum,F,PF,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.95,1,1,3,13
128190,2023,2022-23,1610612746,LA Clippers,202695,Kawhi Leonard,F,SF,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,24.95,24,1,2,46
128191,2023,2022-23,1610612746,LA Clippers,202695,Kawhi Leonard,F,SF,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,8.95,3,1,2,16
128192,2023,2022-23,1610612746,LA Clippers,1626181,Norman Powell,G,SG,01-31-2023,22200766,CHI,LAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.55,0,1,1,50
128193,2023,2022-23,1610612746,LA Clippers,203496,Robert Covington,F,PF,01-31-2023,22200766,CHI,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1,29.55,24,1,1,12
128194,2023,2022-23,1610612746,LA Clippers,202704,Reggie Jackson,G,PG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.0,28.95,25,1,0,47
128195,2023,2022-23,1610612746,LA Clippers,1626181,Norman Powell,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.5,28.75,27,1,0,30
128196,2023,2022-23,1610612746,LA Clippers,202331,Paul George,G,SG,01-31-2023,22200766,CHI,LAC,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.9,27.75,25,2,11,30
