,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
119210,2023,2022-23,1610612747,Los Angeles Lakers,1629022,Lonnie Walker IV,G,SG,12-25-2022,22200494,DAL,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,6.45,23,1,11,42
119211,2023,2022-23,1610612747,Los Angeles Lakers,2544,LeBron James,F,PF,12-25-2022,22200494,DAL,LAL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.85,1,1,11,18
119212,2023,2022-23,1610612747,Los Angeles Lakers,1628418,Thomas Bryant,C,C,12-25-2022,22200494,DAL,LAL,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.5,14.95,9,1,10,51
119213,2023,2022-23,1610612747,Los Angeles Lakers,2544,LeBron James,F,PF,12-25-2022,22200494,DAL,LAL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.7,15.75,10,1,10,15
119214,2023,2022-23,1610612747,Los Angeles Lakers,2544,LeBron James,F,PF,12-25-2022,22200494,DAL,LAL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.25,2,1,10,0
119215,2023,2022-23,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,PG,12-25-2022,22200494,DAL,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,6.85,2,1,9,21
119216,2023,2022-23,1610612747,Los Angeles Lakers,2544,LeBron James,F,PF,12-25-2022,22200494,DAL,LAL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.5,25.35,23,1,8,39
119217,2023,2022-23,1610612747,Los Angeles Lakers,2544,LeBron James,F,PF,12-25-2022,22200494,DAL,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,7.35,3,1,8,20
119218,2023,2022-23,1610612747,Los Angeles Lakers,2544,LeBron James,F,PF,12-25-2022,22200494,DAL,LAL,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.3,7.95,4,1,7,51
119219,2023,2022-23,1610612747,Los Angeles Lakers,1628418,Thomas Bryant,C,C,12-25-2022,22200494,DAL,LAL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.05,1,1,7,17
