,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
73308,2023,2022-23,1610612752,New York Knicks,1629011,Mitchell Robinson,C,C,11-02-2022,22200110,NYK,ATL,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.25,0,1,11,45
73309,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,5.75,2,1,11,11
73310,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.7,24.35,25,1,10,51
73311,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-3.1,20.15,15,1,10,15
73312,2023,2022-23,1610612752,New York Knicks,1629011,Mitchell Robinson,C,C,11-02-2022,22200110,NYK,ATL,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,4.95,1,1,9,59
73313,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,5.35,2,1,9,26
73314,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.2,28.45,25,1,9,7
73315,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.5,28.85,24,1,8,42
73316,2023,2022-23,1610612752,New York Knicks,203095,Evan Fournier,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.0,29.85,25,1,8,17
73317,2023,2022-23,1610612752,New York Knicks,203095,Evan Fournier,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.9,28.85,25,1,7,50
73318,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,4.95,0,1,7,24
73319,2023,2022-23,1610612752,New York Knicks,1629011,Mitchell Robinson,C,C,11-02-2022,22200110,NYK,ATL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.65,1,1,6,15
73320,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.7,13.25,8,1,5,41
73321,2023,2022-23,1610612752,New York Knicks,203095,Evan Fournier,G,SG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.2,25.25,24,1,5,26
73322,2023,2022-23,1610612752,New York Knicks,201565,Derrick Rose,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,5.0,23.25,18,1,4,51
73323,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.0,21.05,24,1,4,46
73324,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,8.45,3,1,3,58
73325,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.15,0,1,3,56
73326,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,4.95,0,1,3,31
73327,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.8,3.75,5,1,2,59
73328,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.2,11.75,6,1,2,30
73329,2023,2022-23,1610612752,New York Knicks,1628392,Isaiah Hartenstein,C,C,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,4.85,23,1,2,26
73330,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,5.35,2,1,1,35
73331,2023,2022-23,1610612752,New York Knicks,201565,Derrick Rose,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,24.55,24,1,1,11
73332,2023,2022-23,1610612752,New York Knicks,1628392,Isaiah Hartenstein,C,C,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.7,16.45,11,1,0,35
73333,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,9.05,3,1,0,14
73334,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.6,15.65,11,2,11,2
73335,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.4,14.15,8,2,10,34
73336,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.9,10.75,8,2,10,6
73337,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,4.65,2,2,9,49
73338,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,3.85,23,2,9,26
73339,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.9,24.95,25,2,8,38
73340,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.3,16.45,24,2,7,37
73341,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-21.9,5.85,21,2,6,59
73342,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.3,24.15,26,2,6,36
73343,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,8.85,4,2,5,39
73344,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.1,14.15,15,2,5,9
73345,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,11.95,6,2,4,41
73346,2023,2022-23,1610612752,New York Knicks,1629011,Mitchell Robinson,C,C,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.45,0,2,4,37
73347,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,5.25,2,2,4,15
73348,2023,2022-23,1610612752,New York Knicks,203095,Evan Fournier,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.8,15.75,11,2,3,56
73349,2023,2022-23,1610612752,New York Knicks,1629011,Mitchell Robinson,C,C,11-02-2022,22200110,NYK,ATL,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.85,2,2,3,53
73350,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.45,0,2,3,23
73351,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,26.75,25,2,2,37
73352,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.9,24.95,25,2,1,15
73353,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.6,13.65,8,2,0,32
73354,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.4,31.75,26,2,0,3
73355,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,10.85,23,3,11,4
73356,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.35,1,3,10,4
73357,2023,2022-23,1610612752,New York Knicks,203095,Evan Fournier,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.5,19.45,14,3,9,40
73358,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.5,10.45,5,3,9,14
73359,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.2,28.65,25,3,8,30
73360,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.8,9.55,11,3,7,42
73361,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.9,10.55,5,3,7,10
73362,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.15,0,3,6,49
73363,2023,2022-23,1610612752,New York Knicks,203095,Evan Fournier,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.1,21.85,24,3,6,23
73364,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,6.15,23,3,5,26
73365,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,12.75,7,3,3,59
73366,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.65,1,3,3,51
73367,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.4,36.15,32,3,3,48
73368,2023,2022-23,1610612752,New York Knicks,1629629,Cam Reddish,F,SF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.7,29.75,25,3,3,5
73369,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.4,11.95,23,3,2,36
73370,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.35,0,3,2,3
73371,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.1,17.15,12,3,1,0
73372,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.2,28.65,25,3,0,32
73373,2023,2022-23,1610612752,New York Knicks,1629629,Cam Reddish,F,SF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,4.15,1,4,11,42
73374,2023,2022-23,1610612752,New York Knicks,201565,Derrick Rose,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.9,26.75,24,4,11,0
73375,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.35,0,4,10,57
73376,2023,2022-23,1610612752,New York Knicks,1628392,Isaiah Hartenstein,C,C,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,10,55
73377,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.65,0,4,10,54
73378,2023,2022-23,1610612752,New York Knicks,1629629,Cam Reddish,F,SF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.2,21.95,26,4,10,21
73379,2023,2022-23,1610612752,New York Knicks,201565,Derrick Rose,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.75,1,4,9,53
73380,2023,2022-23,1610612752,New York Knicks,1629629,Cam Reddish,F,SF,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,10.75,23,4,9,32
73381,2023,2022-23,1610612752,New York Knicks,1629629,Cam Reddish,F,SF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.5,27.75,26,4,8,19
73382,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.55,1,4,8,9
73383,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.55,1,4,7,40
73384,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,11-02-2022,22200110,NYK,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,3.05,23,4,7,10
73385,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,3.55,23,4,6,35
73386,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,5.05,23,4,6,21
73387,2023,2022-23,1610612752,New York Knicks,1628392,Isaiah Hartenstein,C,C,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.8,29.75,26,4,5,59
73388,2023,2022-23,1610612752,New York Knicks,1630167,Obi Toppin,F,PF,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.15,0,4,5,26
73389,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.1,17.85,13,4,4,5
73390,2023,2022-23,1610612752,New York Knicks,1629656,Quentin Grimes,G,SG,11-02-2022,22200110,NYK,ATL,Missed Shot,False,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,12.75,24,4,3,43
