,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
75463,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,11.05,7,1,11,47
75464,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.0,25.25,25,1,11,14
75465,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.7,15.65,10,1,11,5
75466,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,7.35,22,1,11,1
75467,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.5,24.75,24,1,9,50
75468,2023,2022-23,1610612752,New York Knicks,1629656,Quentin Grimes,G,SG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.9,23.05,25,1,9,21
75469,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.4,20.35,24,1,8,39
75470,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,12-20-2022,22200463,NYK,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.3,28.45,26,1,8,5
75471,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.9,3.65,5,1,7,32
75472,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.4,21.25,25,1,7,13
75473,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.4,30.35,25,1,6,56
75474,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.6,27.75,25,1,5,49
75475,2023,2022-23,1610612752,New York Knicks,1629628,RJ Barrett,G,SG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.7,12.15,7,1,5,39
75476,2023,2022-23,1610612752,New York Knicks,1629656,Quentin Grimes,G,SG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,23.35,25,1,5,8
75477,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.1,16.55,11,1,4,35
75478,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.95,2,1,4,15
75479,2023,2022-23,1610612752,New York Knicks,1629656,Quentin Grimes,G,SG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.3,23.85,25,1,4,3
75480,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,12-20-2022,22200463,NYK,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.95,1,1,3,39
75481,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,27.35,25,1,3,18
75482,2023,2022-23,1610612752,New York Knicks,1630193,Immanuel Quickley,G,PG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.4,14.45,9,1,2,30
75483,2023,2022-23,1610612752,New York Knicks,203944,Julius Randle,F,PF,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,8.45,3,1,2,22
75484,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.8,25.35,24,1,1,59
75485,2023,2022-23,1610612752,New York Knicks,1628973,Jalen Brunson,G,PG,12-20-2022,22200463,NYK,GSW,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.3,13.85,10,1,1,30
75486,2023,2022-23,1610612752,New York Knicks,1629011,Mitchell Robinson,C,C,12-20-2022,22200463,NYK,GSW,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.95,0,1,0,56
75487,2023,2022-23,1610612752,New York Knicks,1629656,Quentin Grimes,G,SG,12-20-2022,22200463,NYK,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.8,22.85,25,1,0,1
